text	category
Google Glass Explorer Edition goes on sale in the UK for £1000	t
Microsoft Releases - A Rollup of Microsoft's Biggest Hits and Flops	t
Carney signals earlier British rate rise, sterling soars	b
Did Edgar Wright walk away from Ant-Man because he wasn't happy with  ...	e
New Taiwan dollar rises to NT$30.162 vs. greenback	b
China Plans major Infrastructure and Transport Network Improvement	b
The End of Windows XP Support– Are You Prepared?	t
Kim Kardashian celebrates close friend Ciara's baby shower	e
Kim Kardashian & Kanye West's Marriage Is Getting Weirder by the Day	e
CDC Estimates 1 In 68 Children ID'd With Autism Spectrum Disorder	m
Normal Subway Service Resumes After Queens Derailment	b
Harry Potter is Back, Turning 34 This July	e
Ebola test proves negative again in Ghana	m
X-Men: Days of Future Past (3D)	e
9-Year-Old Shaves Head to Support Friend, is Suspended from School	m
US Wins WTO Dispute With China Over Autos, Parts	b
Review: Nokia X — A Messy Android Affair	t
Soul legend Bobby Womack dies	e
Draghi Increases Likelihood Of Further Easing	b
'Guardians Of The Galaxy' End Credits Sequence Leaked Online	e
Titanfall ships with 792p rendering	t
Selena to return to rehab? Justin Bieber not committed to Gomez	e
Kim Kardashian Celebrates Her Bachelorette in the Streets of Paris! Come See  ...	e
Stocks finish higher on earnings gains	b
Cleanup continues 2 months after deadly mudslide	t
US adds 209000 jobs in July, unemployment rate ticks up to 6.2 percent	b
Tesla Motors Inc (TSLA) Responds Positively to Open Letter With Suggestions	t
EUR/GBP Should Expect Further Downward Movement	b
Veep Power Rankings: 'Alicia'	e
Fort Bend ranked on of Texas' healthiest counties	m
Casey Kasem - Casey Kasem's Body Remains In Morgue	e
Nation&World briefs	t
Energy Drinks All The Buzz	m
Kim Kardashian, Kanye West set for secret wedding?	e
Iran demands Pakistan free abducted guards	e
Get it while it's hot: A restaurant in Chicago is serving a $100 grilled cheese  ...	e
Philip Morris buys Nicocigs	b
Surgeon general warns of melanoma surge	m
AstraZeneca shareholders upset at rejection of Pfizer offer (AZN)	b
MERS sickens UAE paramedics, Jordanian, more Saudis	m
Legendary cinematographer Gordon Willis dies at 82; see his finest work from  ...	e
'Foil,' Weird Al's Parody of 'Royals,' Isn't Entirely About Food – Watch The New  ...	e
Analysts predict Fox/Time Warner 'bloodbath'	b
Barbara Walters Sets 'View' Exit Date	e
Retailer withdraws child's shirt after some say it looks like Jewish concentration  ...	e
Michaels Confirms Security Breach in 3 Alaska Stores	b
Thor, Goddess of Thunder: Hammer-swinging Marvel superhero now officially a  ...	e
Google moves to cut prices of Android smartphones to under US$100	t
The World Wide Web: By the numbers	t
A look at the biggest fast-casual pizza chains	b
California Launch Of NASA Carbon-Monitoring Satellite Delayed Until 3 PM  ...	t
Ebola Outbreak Spreading in Africa	m
Xbox One makes hot debut as console war revs up	t
VOICE VIEWS: Ranking the Top 12 on The Voice	e
Chris Brown seen stumbling after awards show	e
9/11 Memorial Museum preps for opening	e
HTC looking for marketing boost by hiring former Samsung mastermind	t
WHO: Numbers infected by Ebola could exceed 20000	m
GUEST COMMENTARY: We need to ensure quality medical care for all	m
Op-Ed: Special interests and the Tesla ban in US states	b
Doctor awaiting trial among top Medicaid billers	m
Officials: Illinois man with MERS not contagious	m
China's JD.com IPO raises $1.78 billion, augurs well for Alibaba	b
Mental And Physical Toll Of Bullying Persists For Decades	m
Sycamore Wants to Buy Express	b
US allows oil exports for 1st time since 1970s: WSJ	b
Tech helped hospital contain MERS virus	m
Rob Kardashian reportedly has serious drug problem	e
Nine British Citizens on board Malaysian passenger plane- 295 confirmed dead	b
Webcam captures hatching sea turtles	t
Toned woman quits gym for being too fit	m
Zara Removes Child's 'Holocaust Pyjamas' from Sale Following Complaints	e
How Climate Change Has Devastated The World In One Map	t
Pilots lacked automation understanding in Asiana crash	b
Google Maps App for iOS and Android: Is Apple Maps in Trouble After Latest  ...	t
BNP to cut dividend, issue bonds as US settlement nears-WSJ	b
'Dancing with the Stars' Recap: Season 18, Episode 1	e
Offshore cash of $2 trillion sparks hunt for tax-friendly deals	b
Brad Pitt Just Got Punched in the Face at the Maleficent Premiere	e
Good News! Big Gulps Are Okay Again In New York City	m
Say goodbye to tax-free bitcoins	b
US stocks rise on Citi earnings, retail sales	b
Dollar trades at lower 101 yen in early Tokyo trading	b
US Airways rushed out an apology Monday after a graphic sexual image was  ...	e
Rumors about the Samsung Galaxy Note 4′s camera emerge	t
Baton Rouge-based Amedisys agrees to pay $150 million settlement	m
Bow to the Dow	b
Free skin cancer screenings	m
Oldman comes to defense of Gibson, Baldwin	e
Go beyond flowers with these weird Mother's Day gifts	e
UCLA's Pauley Pavilion drenched in hoops history	b
Penis-cutting rapper 'on Angel Dust'	e
Amazon offers authors e-book proceeds	b
Motorsports - Helicopter firm files complaint over Schumacher records	m
Canada's Dollar Fluctuates After Growth Trails Forecast	b
Samsung Galaxy S6 Rumor Train Starts Chugging as Galaxy S5 Release Date  ...	t
S&P says affirms BNP's long-term credit rating, outlook negative	b
Richard Gere dating Indian beauty Padma Lakshmi	e
Nissan says full-year profit jumps 14.0% to US$3.8b	b
Wu-Tang Clan to Auction Only One Copy of Top Secret Album 'Once Upon A  ...	e
Samsung's shotgun approach to selling phones fails in Q2	b
'The Other Woman': Formulaic farce falls short	e
Kourtney Kardashian Pregnant With Baby Number Three?	e
This week's television highlights	e
Aaron Taylor-Johnson Says Godzilla 2 Could Pull From Jaws Inspirations	e
Noah nude shoot poses problems for Crowe	e
Violence Erupts At BET Awards Parties	e
Samsung Galaxy S5 Copper Gold pictures and hands-on	t
Samsung Galaxy Tab S 10.5 release date, price and specs: new Samsung tablet  ...	t
Facebook Secret Study	t
Cause of GWAR frontman's death revealed: Shock rocker Dave Brockie AKA  ...	e
Jury leaves damages Samsung must pay Apple unchanged at $119.6 mln	t
The Trailer for Ben Affleck and David Fincher's Gone Girl Hits	e
Samsung unveils Galaxy S5 in India, available from April 11	t
Commerce Department easing federal rules on US oil exports	b
SAC record $1.8-bn insider plea caps 7-year probe	b
Dear Sheryl Sandberg: There Are Far Worse Things Than Being Called Bossy	e
Mobileye shares jump 58 pct in bumper debut	b
After MH370 disappears, Inmarsat offers free tracking	b
Halle Berry Lands on TV for 'Extant'	e
New Lifetime High Reached By Integrys Energy Group (TEG)	b
Some Moving Video Footage From The New 9/11 Museum	e
FTSE 100 watch: Weak China PMI weighs on Footsie	b
Draghi: Cramped credit hurting recovery	b
"Zac Efron: Being Open About Rehab is ""A Giant Weight Off My Chest"""	e
Nicolas Cage Dishes On His Tortured Character In 'Joe': Watch	e
Spider-Man stars grace red carpet in London	e
Shia LaBeouf's Ample Collection of Dirty Tees	e
No access to Play store	t
Ronnie Wood: L'Wren Scott Death 'Devastating'	e
Neil Young will be launching New Music Player tomorrow	e
Outrage: Barack Hussein Obama Bows to Japanese Robot: Video	t
Gas prices in Rhode Island down a penny to $3.59 a gallon; just over the  ...	t
Justin Bieber Under Investigation For Attempted Robbery At Dave & Buster's	e
Gary Oldman: Dreyfus is a hero	e
Tech Five: Microsoft steady following tablet reveal	t
Recall wipes out GM profits	b
Adobe releases Voice – free app for video storytelling	t
Diabetes Related Health Complications Lower Among U.S. Adults	m
Seven fruit and veg portions a day saves lives, say experts	m
Justin Bieber Deposition Videos Go Online	e
Bachelorette Bombshell: Andi Dorfman Chooses Her Man And Nick Viall Shocks  ...	e
After 10 Years, Sony Discontinues PSP -- What's Your Favorite Memory?	t
FDA backpedals on cheese board ban	m
VIDEO: BBC America's ORPHAN BLACK - Season 2 Begins Tonight	e
"Kaley Cuoco Fools the Internet, ""Cracking Up"" at Drastic Haircut Reports"	e
Solange Knowles (kinda) Addresses Elevator Scuffle with Jay Z	e
The Geezer - No Woman Should Beat a Geezer and Go Unscathed	e
Critical zero-day endangers all versions of Internet Explorer -- and XP isn't  ...	t
Acadia Healthcare Company Inc.: Acadia Healthcare Signs Definitive Agreement  ...	m
Germany beats France 1-0 to reach World Cup semifinals	b
Nollywood Contributes Massively To Nigeria's GDP - Ventures Africa	b
April 15 not much of a deadline for most taxpayers these days	b
Zach Braff: Don't over-complicate movies	e
VIDEO: Pat Sajak spins climate change on Twitter	e
Alicia Keys Announces 2nd Pregnancy on Instagram	e
Popular soft drinks to drop controversial ingredient	b
SIGN POST: Sweet jam in the smartphone sarmie	t
Robert De Niro - Robert De Niro talks about gay father	e
Windows 8.1 Update 2 rumored for September 9 launch	t
CORRECTED-UPDATE 3-Candy Crush maker King Digital shares sour in  ...	b
China GDP growth slows to 7.4 per cent in Q1	b
EU bank chief: More banks will be fined following record $9bn penalty for BNP	b
Miranda Lambert's New Album Examines Life At 30	e
Why the merger of ATK and Orbital Sciences makes sense	b
Will Arnett files for divorce from Amy Poehler, 18 months after their separation  ...	e
'Sons of Guns' Star Will Hayden Arrested for Violating His Daughter 'Almost Daily'	e
Placenta is not as sterile as once thought, it contains bacteria, viruses and fungi	m
Love and 'The Normal Heart'	e
Microsoft-Nokia Deal Closing Friday With Changes	t
Some US airlines drop limes from beverage service	b
Call of Duty: Ghosts - Bringing MW3's Dome to Next-Gen	t
Turn off the stove with your iPhone	t
Pink Floyd to release 1st new album since 1994	e
HTC One vs LG G Pro 2 – Battery Life, Display, Design & Prices	t
Sales of US homes slip to 20-month low	b
US economic-growth rate in last quarter revised higher	b
Neil Patrick Harris Unveils Cover For 'Choose Your Own Autobiography'	e
Colonoscopy Is Good, Not Perfect	m
Roll Call: The Decepticons of Transformers: Age of Extinction	e
UPDATE 2-Nestle sees faster growth after weak start to year	b
Toyota pays record $1.2bn penalty for covering up defects	t
Nasa's New Horizons Spacecraft to Probe Pluto's Moon Charon For Ancient  ...	t
Brothers disappointed that HGTV canceled their show	e
Airbnb and Uber Partner with Concur to Enable Next Generation of Business  ...	b
BBB Warning: Here's What to Do About “Heartbleed” Bug	t
JPMorgan's Jamie Dimon Has Throat Cancer	b
China's foreign trade down	b
Gold holds above $1300 ahead of Fed meeting	b
ATTENTION! Robert Pattinson is homeless and looking for somewhere to stay!!	e
U.S. new home sales rise by most in six months	b
Producer prices rise 0.5% in US	b
Russian factory activity shrinks for 8th straight month in June: PMI	b
Sony Xperia Z2 Tablet review	t
NASA spacecraft completes mission with planned lunar impact	t
Hillary Clinton to appear on Fox News to promote new book, talk about Benghazi	b
Baby North victim of racial attack	e
Amazon Appstore Selection Nearly Triples Year-Over-Year	t
Microsoft develops 'universal translator'	t
Shell share price: Company cuts stake in Australia's Woodside	b
E-cigarette study finds they affect the lungs in a similar way to tobacco	m
Dollar Stabilizes After Rough Week	b
New, noninvasive, stool-based colorectal cancer screening test	m
Euro struggles near 1-year low on weak German data, Draghi's comments	b
'Homeland' actor James Rebhorn, prolific film and TV star, dies at 65	e
Drug recalled after different pills found in its bottles	m
Heartbleed bug claims its first victim	t
Worse global warming effects ahead for Texas, federal report says	t
Roku Makes The 3500R Streaming Stick Official With Todays Launch	t
Are you a newbie to Record Store Day? Here are some tips on scoring some  ...	e
What's News—	b
Obamacare gives boost to Medicare, but more needed	b
New study reveals a startling distrust of modern technology among Americans	t
Oracle Reports GAAP EPS up 8% to 56 Cents, Non-GAAP EPS up 5% to 68 Cents	b
Carney Relocation to London Cost More Than 100000 Pounds	b
2014 MTV VMAs Winners List	e
Sherlock Season 4: Martin Freeman Reveals Show's Possible Return Date and  ...	e
French fraud case: IMF's Lagarde under investigation	b
OkCupid CEO Responds to Anti-Gay Donation Controversy	t
Marvel releases Avengers: Age Of Ultron concept art	e
Analyst: GM may offer $2B-plus to settle recall claims	t
Fiery crash that killed actor Paul Walker attributed to 'unsafe speed'	e
Latimer: University study sheds light on autism	m
ABC Confirms Frozen Cameo In Once Upon a Time	e
AstraZeneca bid by Pfizer now over	b
Frankfurt Stocks Finish Markedly Lower	b
Portland issues largest boil water alert ever	m
PlayStation 4 follows Xbox One into China	t
Cockpit 'mismanagement' blamed in Asiana crash	b
PS4 VS Xbox One: PlayStation 4 Sales Had A Small Lead In US Before Titanfall  ...	t
THIS Mediterranean Diet Food Combo May Help Your Heart	m
Air Quality Has Improved In US, Says NASA	t
Amy Adams offers her first class plane seat to soldier	e
NASA Reaches Deal With Boeing to Build Deep Space Rockets	t
Alzheimer's disease will strike 1 out of 6 older women, study says	m
RPT-Alstom should be a good investment for France, says CEO Kron	b
“Girls” star Allison Williams to play Peter Pan in live NBC production	e
McDonald's Declares An All-Out Breakfast War Against Taco Bell! See The Shots  ...	b
Google I/O Gets Positive Reviews From Analysts	t
Justin Bieber gets rear-ended in his $230000 Ferrari	e
Mayors Unanimously Pass Climate Resolution	t
Windshield washer fluid a source of Legionnaires	m
Trace Adkins Divorce: Wife Rhonda Divorcing Trace After Drunk Relapse and  ...	e
Valeant increases offer for Botox maker Allergan to $49.4bn	b
Movie review: 'Tammy' is Melissa McCarthy run amok	e
"LOS ANGELES (AP) — Edgar Wright and ""Ant-Man"" are going their separate ways."	e
The U.S. home sales declined unexpectedly	b
13 Things You Probably Didn't Know About Miley Cyrus	e
SAP alters data warehousing with Business Warehouse 7.4	t
Mickey Rooney wife Jan Chamberlin learned of husband's death online (Photo)	e
Lanzhou Gov't Takes Emergent Measures to Supply Free Water to Residents	b
Mila Kunis 'pregnant with first child'	e
'The Interview' is just latest parody of Kim Jong Un	e
People prefer friends with similar DNA	m
Google Hangouts – Learn to Download for Free and Make the Most of the App	t
Thriller from beyond grave: New Jackson songs wow critics	e
McKinley co-sponsors Medicare legislation	m
Karrueche Tran says sorry after mocking Blue Ivy's hair… blames TV show for  ...	e
Paul Mazursky, 5-time Oscar nominee, dies	e
iPhone 6 leaks: Images reportedly from Foxconn show Apple's next-gen  ...	t
St. John United Church of Christ Holy Week services	e
Colorado becomes first state to approve bill giving terminally ill access to  ...	m
Alibaba Goes For NYSE And Not Rival Nasdaq	b
Cameron softens tone on Pfizer deal as boss flies in	b
VLC launches on Windows 8 in beta following Kickstarter success	t
Google designs self-driving car	t
European Uber protest headed for Trafalgar Square	b
Facebook cracking down on 'clickbait' with update	t
Frankie Knuckles, Godfather of House Music, dead at 59	e
Robert Downey Jr. and Mark Ruffalo share 'Avengers: Age of Ultron' set pics	e
GM chief apologizes for deaths from flaws	b
Asia shares down before China inflation data	b
Actor's mom seeks guardianship of grandchild	e
Tracy Baxter: Confusing state laws on fireworks spark debate	e
Barbara Walters: ABC plans May 16 sendoff	e
Pop star *Justin Bieber *has apologised for telling a racist joke when he was 15.	e
The Hottest Stories Right Now!	e
A Little Positivity! Tracy Morgan Showing Signs Of Improvement After Car  ...	e
The Yves Behar Designed Vessyl Cup Launches, Tracks What You Are Drinking	t
Why you should care about open internet: Net neutrality and internet fast lanes  ...	t
Flight 370 search: Thai satellite identifies hundreds of objects in Indian Ocean	b
Alien Isolation will feature Sigourney Weaver and original Alien cast	e
FDA grants Priority Review for Roche's Avastin Drug	m
Kanye West and Kim Kardashian plan North's first birthday	e
27/08/2014IMF chief Lagarde's legal woes: a timeline	b
Cristina Says Goodbye to 'Grey's Anatomy': Season Finale Recap!	e
Vietnam accuses Chinese ship of sinking fishing boat	b
Google Secures All Emails With HTTPS To Keep NSA Out [VIDEO]	t
VA Releases Findings On Deaths, Injuries From Delayed Tests	m
Get the iPhone 5S for a free seven-day trial with T-Mobile Test Drive	t
Applications for US unemployment benefits edge up	b
Dogs sniff out prostate cancer	m
Taco Bell Creates a New Fast-Casual Brand	b
Can claims data crack the health care cost riddle?	m
Justin Beiber Deletes Selena Gomez Tweet	e
Legal settlement restricts marketing of Four Loko alcoholic drinks	m
US Jobless Aid Applications Rise to 304000	b
EBA Stress Test 2014 - Final Methodology And Scenarios Released	b
'Yeah but it feels good, dunnit?'	e
Google Maps for Android improves navigation for cyclists and drivers	t
'The Bachelorette' 2014 spoilers: What goes down during 'Men Tell All' episode	e
Germ-killing ingredient banned	m
Darden to Sell Red Lobster, Retain Olive Garden	b
Stocks Hold Steady Ahead of FOMC Statement	b
Update Samsung Galaxy Note 3 N900 to Android 4.4.2 KitKat Assassin Custom  ...	t
Miley Cyrus Rebounds Up Social 50 Chart	e
Wichita man prays for mom who contracted Ebola	m
Robert Downey Jr. son arrested for cocaine possession	e
Spirit Airlines sucks hardest in new complaints survey, but Frontier's gaining fast	b
Second Opinion - Captain America: The Winter Soldier (2014)	e
'Candy Crush' to be Released in China by Tencent	b
'Heartbleed' bug fix may slow Internet performance	t
BMW confirms new X7	b
Colin Firth leaves 'Paddington,' picks 'conscious uncoupling' while recording lines	e
Valeria Lukyanova is anti-kids: 'Human Barbie' admits racism in GQ interview	e
Google's wacky new Cardboard project could help take virtual reality mainstream	t
ASX 200: weekly market wrap	b
Dolce & Gabbana's guilty verdict for tax evasion held up in Italian court	e
Relay for Life survivors' dinner set for Thursday	m
Stock futures declining; AT&T to acquire DirecTV; AstraZeneca rejects Pfizer  ...	b
Clinton to Geithner: Slit Blankfein's throat? Nah	b
Samsung profit may slip again in second quarter	b
Twitter Inks $230M Mobile Ad Deal With Omnicom	b
John Hamm and Paul Rudd in 2009	e
Glass all gone after one-day sale, Google says	t
Dutch police arrest six Greenpeace activists over oil rig demos	b
China first-quarter growth slows to 7.3%: AFP survey	b
Want to Upload Your Brain? How Johnny Depp's 'Transcendence' Comes to Life	e
PlayStation 4 coming to China in the future	t
Kanye West Goes On Another Round Of Self-Exaltation In New Rant	e
Johnny Depp desires to have 100 more children	e
Chrysler Group Reports Loss of $690 Million in First Quarter	b
"Get Cameras Ready To Capture ""Supermoon"""	t
DIG Now: 'Game of Thrones' returns for season four	e
Astronomers discover a 'Godzilla' of Earths	t
Washington state issues marijuana shop licenses	b
NASA finds habitable 'Earth-like' planet	t
Bershidsky: More vacation or a four-day work week?	t
Saudi Arabia takes heat for spread of MERS virus	m
Oregon jobless rate lowest since 2008	b
Lawmakers have bigger tax woes than IRS workers	b
Tesla Motors Inc shares surge after U.S. safety regulator investigating fires finds  ...	t
Twitter's Earnings: What to Watch	b
What a difference a year makes for Kim Kardashian	e
Another View: 'Right to be forgotten' by Google may be useful EU experiment	t
Google developer conference in San Francisco begins	t
Sun worshippers see spike in cases of skin cancer (w/video)	m
Floyd Mayweather and rapper T.I. brawl at Las Vegas' Fatburger	e
Jay Z and Beyoncé Knowles didn't attend Kanye West's wedding.	e
Chris Christie not going to miss David Letterman	e
Brent up near $113 on supply worries as Iraq violence rises	b
Apple punches holes in the walled garden with iOS 8	t
Dow and S&P 500 bosted	b
Traditional political discourse undermines scientific progress	m
Game Of Thrones Season 4 Finale: Let's Talk About That Ending	e
'Godzilla' Director Gareth Edwards To Helm First Stand-Alone 'Star Wars' Film	e
7/2 - CNN Business: T-Mobile Accused of Bogus Charges	t
Freshwater from the Colorado River After 16 years	t
Microsoft fights off US efforts to access data stored abroad	t
Mr. Son Comes To Washington With Big Broadband Vision But Few Facts	t
Will the Oculus Buy Give Facebook a Leg Up?	t
Ikea raises hourly pay for retail workers	b
BMO Harris Bank: Monday's Mortgage Interest Rates Mar 17	b
Utah dinosaur tracks go on display this fall	t
India central bank leaves rates on hold; election, monsoon in focus	b
U.S. retail sales rise modestly; Nevada official upbeat about '14	b
Asiana airlines crash caused by pilot error and confusion, investigators say	b
Is Lana Del Rey performing at KimYe's wedding?	e
Smoking bans cut asthma attacks and premature births by 10 percent, study says	m
Family first, career second for Kim Kardashian	e
The Easter Bunny is a rabbit who lacks a tale	e
Robert Morse talks his musical, final 'Mad Men' scene	e
Tesla reaches deal with Ohio auto dealers	b
Edgar Wright Leaves Marvel's 'Ant-Man' As Director Over 'Differences In Their  ...	e
3000 Toyota Jobs to Move to Texas from California	b
Antidepressant Use During Pregnancy Linked To Autism In Boys	m
New ISU study answers: Is that morning run really worth it?	m
Wall St falls in broad selloff	b
Shares of Coca-Cola pop after strong China sales boost revenue	b
UPDATE 1-NY state joins NYC in suing FedEx over untaxed cigarettes	b
Beyonce Divorce Update: Jay-Z Cuts Off All Contact With Rachel Roy, Runs To  ...	e
'How I Met Your Mother' Finale Spoilers: Robin-Barney Divorce; Mother Dies	e
Why Minnesota Fed Chief Kocherlakota Broke Ranks	b
Angry Birds Transformers rolls out later this year	e
Target publishes letter asking customers to not shop with guns	b
Samsung Galaxy S5 Dx (mini) leaked, maybe on purpose	t
How to minimize risk of skin cancer in summers	m
Emma Roberts reveals horror fears	e
Lawyer hired by NC in probe represented Duke	b
Spotify hits 10 million Premium subscribers milestone	e
Will Queen Bey reign supreme? Beyonce leads MTV Video Music Awards with  ...	e
Kim Kardashian Steps Out With Bleached Blond Hair — See the Dramatic Look  ...	e
Bryan Singer faces second lawsuit for sexual assault	e
Teen raped at Keith Urban concert, dozens more arrested and hospitalized	e
TV on Tap: Sean Hayes Joins “The Millers,” IFC Wants More “Spoils” and  ...	e
Star Wars Fans Given Chance To Be In New Film	e
Factory production: HSBC manufacturing PMI sees fastest growth in India since  ...	b
Samsung Galaxy S4 vs HTC One – Battery Life, Display, Design & Prices	t
Tesco reports 6% profit fall	b
Jayonce alert! Music's first couple to go on tour together this summer	e
Bardarbunga Volcano Update: Iceland Retracts Eruption Alert But Continues  ...	t
This Rotten Week: Predicting Maleficent And A Million Ways To Die In The West  ...	e
Wal-Mart To Offer Money-Transfer Service	b
"Arch Campbell Show: Melissa McCarthy delivers laughs in ""Tammy"""	e
Fast Food Workers Will Go on Strike Next Week	b
Why Zogenix Inc. Stock Tumbled	m
US regulators probe allegations of 'pyramid scheme' at Herbalife	b
US government green-lights data swapping for security firms	t
Vessyl iOS-connected smart cup analyzes, tracks what you drink	t
Comic-Con International 2014	e
Facebook making big changes to its advertisements	t
Daisy Ridley: Everything You Need To Know About Star Wars' New Leading Lady	e
White House touts Medicaid expansion for Texas	m
Taylor Swift Continues Holiday Weekend Celebrations with Emma Stone  ...	e
Yahoo Shows Positive Signs With Q1 Earnings, Stock Rises YHOO	b
Crimean annexation illegal, UN General Assembly says	b
Gaithersburg biotech believes it has vaccine to fight MERS	m
Conn. Exchange Chief To Run Healthcare.gov	m
WWE Stock Takes Huge Hit After Network Numbers Come Out, WWE  ...	t
IG: La. collected $7M too much in enrollment bonus - WHLT 22 Connecting the  ...	m
Ebola outbreak in Africa has minimal impact so far on educational exchanges	m
Greater usability for iWork and more news from April 1, 2014	t
Chris cheated on Gwyn: report	e
Credit Card Information Stolen: California DMV Targeted	b
Long-nosed 'Pinocchio rex' dinosaur discovered by scientists	t
FTC: T-Mobile netted 'hundreds of millions of dollars' in fraudulent premium SMS  ...	t
Longmont's Twin Peaks Golf Course back from flood, ready for play	e
2014 Mercedes-Benz C-Class holds advantage over competition	t
Box Office: '22 Jump Street' hits #1, 'Dragon 2′ takes #2	e
Brent Trades Near Nine-Month High on Iraq Violence; WTI Gains	b
Bob Hastings, star of 'McHale's Navy,' dies at 89	e
Aus fans welcome Harry Potter update	e
Title for Batman Vs Superman confirmed	e
Closure of I-495 bridge in Delaware causes heavier traffic for motorists on I-95	b
SpaceX's land investments grow	t
Pfizer Experimental Drug Shows Promising Results in Phase II Study	m
Covered California Announces Rates For 2015	b
Ready for icy challenge	e
TIMELINE: Fox and Corso	b
Mortgage Rate Summary for HSBC, BMO Harris Apr 17	b
Darden Restaurants to sell Red Lobster to Golden Gate Capital for $2.1 billion	b
Why Should I Hate The AT&T-DirecTV Merger? – The Why	t
AT Rejects Netflix Call For Free Interconnection As Unfair	t
AT&T pushed by Comcast to move on DirecTV	t
Russia, China Agree On $25B Prepayment Under Supply Deal: Gazprom	b
Earth to get first look at meteors from 'new' comet	t
Miley Cyrus goes raunchy, puts mouth around giant inflatable penis	e
Will Microsoft Mobile Be The New Threat To Google Android And Apple?	t
Samsung Galaxy S3 & S3 Mini May Rejoice In KitKat Soon	t
Ebola epidemic likely to last months: UN	m
Oscar-Winning Gandhi director Richard Attenborough dies at age 90	e
Amazon Launches Dubious Music Streaming Service	e
Arizona Weekly Gas Price Update and Outlook	t
"Tom Cruise Says Triple ""Edge of Tomorrow"" Premieres Were Tough"	e
SpaceX cargo ship attached to space station	t
Kim Kardashian Marrying Kanye West This Week?!	e
US airlines pilot says he almost crashed into a drone in mid-air	b
Apple conditionally agrees to $450 million settlement in e-book price fixing suit	t
Carney hints at imminent interest rate rises	b
Samsung Galaxy S6 Visualization Is As Awesome As It Sounds	t
Melissa Mccarthy - Melissa McCarthy: Susan Sarandon's gorgeous ankles	e
Deadly MERS virus migrates to the US but no need to get alarmed, says CDC	m
Tesla Motors Gets Small Victory, Can Keep its Electric Car Stocks in New York  ...	b
Ford injury halts 'Star Wars' production	e
Presidential Daily Brief for June 16, 2014	b
Police sent to enforce car ban as Paris battles smog	t
S&P 500 notches first-ever close above 1900	b
French Montana Buys Khloe Kardashian a $49K Car For Her Birthday — Report  ...	e
Citigroup reaches mortgage settlement	b
Fourth of July Gasoline at Six-Year High	b
The world economy may well be stuck in neutral for years	b
WHO Warns of Polio Comeback	m
Microsoft latest US tech target in Beijing	t
Allergan, Inc. (NYSE:AGN) To Offer New Takeover Bid ToShire PLC (ADR  ...	b
Crowds Gather for Fourth of July Fireworks in NYC	e
Winter Sleep wins Palme d'Or	e
Choosing a place to land NASA's next Mars rover	t
Study Blames Rap Music For Teens Driving Drunk	m
Alibaba Opts for New York Stock Exchange	b
4000 Pounds of Beef Recalled for Mad Cow Disease, Some at Whole Foods	m
A breakdown of the latest Apple-Samsung dustup	t
BMW - Bayerische Motoren Werke AG: BMW Group looks ahead to 2014 with  ...	b
Apple reportedly closing in on 3.2bn USD Beats buyout	t
Get in the habit of changing your passwords often	t
Syria chemical weapons moved to US ship in Italy	b
Brian Williams Raps 'Gin and Juice'	e
First SM-3 Launch for Aegis Ashore	b
The Voice crowns season 6 winner	e
Nintendo Revealed Its New Figurine Platform For 3DS & Wii U	t
