analysis_name,parameter_name,parameter_unit,elabor_t_lyhend
Hematoloogilised uuringud,11 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,11 B-IG%,%,B-IG%
Hematoloogilised uuringud,11 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,11 B-MCH,pg,B-MCH
Hematoloogilised uuringud,11 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,11 B-MCV,fL,B-MCV
Hematoloogilised uuringud,11 B-MPV,fL,B-MPV
Hematoloogilised uuringud,11 B-PLT,10L,B-Plt
Hematoloogilised uuringud,11 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,11 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,11 E-MCH,pg,B-MCH
Hematoloogilised uuringud,11 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,11 E-MCV,fL,B-MCV
Hematoloogilised uuringud,11 IG#,10L,B-IG#
Hematoloogilised uuringud,11 IG%),%,B-IG%
Hematoloogilised uuringud,11 MPV,fL,B-MPV
Hematoloogilised uuringud,11 PCT,%,B-Pct
Hematoloogilised uuringud,11 PDW,fL,B-PDW
Hematoloogilised uuringud,11 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,11 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,12 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,12 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,12 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,12 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,12 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,12 B-Hct,%,B-Hct
Hematoloogilised uuringud,12 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,12 B-IG%,%,B-IG%
Hematoloogilised uuringud,12 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,12 B-MCH,pg,B-MCH
Hematoloogilised uuringud,12 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,12 B-MCV,fL,B-MCV
Hematoloogilised uuringud,12 B-MPV,fL,B-MPV
Hematoloogilised uuringud,12 B-PLT,10L,B-Plt
Hematoloogilised uuringud,12 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,12 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,12 E-MCH,pg,B-MCH
Hematoloogilised uuringud,12 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,12 E-MCV,fL,B-MCV
Hematoloogilised uuringud,12 IG#,10L,B-IG#
Hematoloogilised uuringud,12 IG%),%,B-IG%
Hematoloogilised uuringud,12 MPV,fL,B-MPV
Hematoloogilised uuringud,12 PCT,%,B-Pct
Hematoloogilised uuringud,12 PDW,fL,B-PDW
Hematoloogilised uuringud,12 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,12 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,13 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,13 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,13 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,13 B-Hct,%,B-Hct
Hematoloogilised uuringud,13 B-PLT,10L,B-Plt
Hematoloogilised uuringud,13 E-MCH,pg,B-MCH
Hematoloogilised uuringud,13 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,13 E-MCV,fL,B-MCV
Hematoloogilised uuringud,13 IG#,10L,B-IG#
Hematoloogilised uuringud,13 IG%),%,B-IG%
Hematoloogilised uuringud,13 MPV,fL,B-MPV
Hematoloogilised uuringud,13 PCT,%,B-Pct
Hematoloogilised uuringud,13 PDW,fL,B-PDW
Hematoloogilised uuringud,13 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,13 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,14 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,14 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,14 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,14 B-Hct,%,B-Hct
Hematoloogilised uuringud,14 B-PLT,10L,B-Plt
Hematoloogilised uuringud,14 E-MCH,pg,B-MCH
Hematoloogilised uuringud,14 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,14 E-MCV,fL,B-MCV
Hematoloogilised uuringud,14 IG#,10L,B-IG#
Hematoloogilised uuringud,14 IG%),%,B-IG%
Hematoloogilised uuringud,14 MPV,fL,B-MPV
Hematoloogilised uuringud,14 PCT,%,B-Pct
Hematoloogilised uuringud,14 PDW,fL,B-PDW
Hematoloogilised uuringud,14 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,14 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,15 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,15 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,15 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,15 B-Hct,%,B-Hct
Hematoloogilised uuringud,15 B-PLT,10L,B-Plt
Hematoloogilised uuringud,15 E-MCH,pg,B-MCH
Hematoloogilised uuringud,15 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,15 E-MCV,fL,B-MCV
Hematoloogilised uuringud,15 IG#,10L,B-IG#
Hematoloogilised uuringud,15 IG%),%,B-IG%
Hematoloogilised uuringud,15 MPV,fL,B-MPV
Hematoloogilised uuringud,15 PCT,%,B-Pct
Hematoloogilised uuringud,15 PDW,fL,B-PDW
Hematoloogilised uuringud,15 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,15 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,16 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,16 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,16 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,16 B-Hct,%,B-Hct
Hematoloogilised uuringud,16 B-PLT,10L,B-Plt
Hematoloogilised uuringud,16 E-MCH,pg,B-MCH
Hematoloogilised uuringud,16 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,16 E-MCV,fL,B-MCV
Hematoloogilised uuringud,16 IG#,10L,B-IG#
Hematoloogilised uuringud,16 IG%),%,B-IG%
Hematoloogilised uuringud,16 MPV,fL,B-MPV
Hematoloogilised uuringud,16 PCT,%,B-Pct
Hematoloogilised uuringud,16 PDW,fL,B-PDW
Hematoloogilised uuringud,16 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,16 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,17 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,17 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,17 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,17 B-Hct,%,B-Hct
Hematoloogilised uuringud,17 B-PLT,10L,B-Plt
Hematoloogilised uuringud,17 E-MCH,pg,B-MCH
Hematoloogilised uuringud,17 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,17 E-MCV,fL,B-MCV
Hematoloogilised uuringud,17 IG#,10L,B-IG#
Hematoloogilised uuringud,17 IG%),%,B-IG%
Hematoloogilised uuringud,17 MPV,fL,B-MPV
Hematoloogilised uuringud,17 PCT,%,B-Pct
Hematoloogilised uuringud,17 PDW,fL,B-PDW
Hematoloogilised uuringud,17 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,17 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,18 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,18 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,18 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,18 B-Hct,%,B-Hct
Hematoloogilised uuringud,18 B-PLT,10L,B-Plt
Hematoloogilised uuringud,18 E-MCH,pg,B-MCH
Hematoloogilised uuringud,18 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,18 E-MCV,fL,B-MCV
Hematoloogilised uuringud,18 IG#,10L,B-IG#
Hematoloogilised uuringud,18 IG%),%,B-IG%
Hematoloogilised uuringud,18 MPV,fL,B-MPV
Hematoloogilised uuringud,18 PCT,%,B-Pct
Hematoloogilised uuringud,18 PDW,fL,B-PDW
Hematoloogilised uuringud,18 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,18 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,1 B-Baso#,/nL,B-Baso#
Hematoloogilised uuringud,1 B-Baso%,%,B-Baso%
Hematoloogilised uuringud,1 B-Diff-Baso-%,%,B-Baso%
Hematoloogilised uuringud,1 B-Diff-Baso-arv,10L,B-Baso#
Hematoloogilised uuringud,1 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,1 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,1 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,1 B-Diff-Mono-%,%,B-Mono%
Hematoloogilised uuringud,1 B-Diff-Mono-arv,10L,B-Mono#
Hematoloogilised uuringud,1 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,1 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,1 B-HbA1C,%,B-HbA1c
Hematoloogilised uuringud,1 B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,1 B-Hct,%,B-Hct
Hematoloogilised uuringud,1 B-Hgb,g/L,B-Hb
Hematoloogilised uuringud,1 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,1 B-MCH,pg,B-MCH
Hematoloogilised uuringud,1 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,1 B-MCV,fL,B-MCV
Hematoloogilised uuringud,1 B-Mono-%,%,B-Mono%
Hematoloogilised uuringud,1 B-Mono#,/nL,B-Mono#
Hematoloogilised uuringud,1 B-Mono%,%,B-Mono%
Hematoloogilised uuringud,1 B-Mono-arv,10E9/L,B-Mono#
Hematoloogilised uuringud,1 B-MPV,fL,B-MPV
Hematoloogilised uuringud,1 B-PLT,10L,B-Plt
Hematoloogilised uuringud,1 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,1 B-RBC,/pL,B-RBC
Hematoloogilised uuringud,1 B-RBC,10L,B-RBC
Hematoloogilised uuringud,1 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,1 B-WBC,/nL,B-WBC
Hematoloogilised uuringud,1 B-WBC,10L,B-WBC
Hematoloogilised uuringud,1 E-MCH,pg,B-MCH
Hematoloogilised uuringud,1 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,1 E-MCV,fL,B-MCV
Hematoloogilised uuringud,1 Eosinofiilid,%,B-Eo%
Hematoloogilised uuringud,1 IG#,10L,B-IG#
Hematoloogilised uuringud,1 IG%),%,B-IG%
Hematoloogilised uuringud,1 Kepptuum. neut.,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,1 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,1 MPV,fL,B-MPV
Hematoloogilised uuringud,1 PCT,%,B-Pct
Hematoloogilised uuringud,1 PDW,fL,B-PDW
Hematoloogilised uuringud,1 RDWa,%,B-RDW-CV
Hematoloogilised uuringud,1 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,1 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,1 Segmenttuumsed,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,1 Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,2 B-Baso#,/nL,B-Baso#
Hematoloogilised uuringud,2 B-Baso%,%,B-Baso%
Hematoloogilised uuringud,2 B-Diff-Baso-%,%,B-Baso%
Hematoloogilised uuringud,2 B-Diff-Baso-arv,10L,B-Baso#
Hematoloogilised uuringud,2 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,2 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,2 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,2 B-Diff-Mono-%,%,B-Mono%
Hematoloogilised uuringud,2 B-Diff-Mono-arv,10L,B-Mono#
Hematoloogilised uuringud,2 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,2 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,2 B-HbA1C,%,B-HbA1c
Hematoloogilised uuringud,2 B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,2 B-Hct,%,B-Hct
Hematoloogilised uuringud,2 B-Hgb,g/L,B-Hb
Hematoloogilised uuringud,2 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,2 B-IG%,%,B-IG%
Hematoloogilised uuringud,2 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,2 B-MCH,pg,B-MCH
Hematoloogilised uuringud,2 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,2 B-MCV,fL,B-MCV
Hematoloogilised uuringud,2 B-Mono-%,%,B-Mono%
Hematoloogilised uuringud,2 B-Mono#,/nL,B-Mono#
Hematoloogilised uuringud,2 B-Mono%,%,B-Mono%
Hematoloogilised uuringud,2 B-Mono-arv,10E9/L,B-Mono#
Hematoloogilised uuringud,2 B-MPV,fL,B-MPV
Hematoloogilised uuringud,2 B-PLT,10L,B-Plt
Hematoloogilised uuringud,2 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,2 B-RBC,/pL,B-RBC
Hematoloogilised uuringud,2 B-RBC,10L,B-RBC
Hematoloogilised uuringud,2 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,2 B-WBC,/nL,B-WBC
Hematoloogilised uuringud,2 B-WBC,10L,B-WBC
Hematoloogilised uuringud,2 E-MCH,pg,B-MCH
Hematoloogilised uuringud,2 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,2 E-MCV,fL,B-MCV
Hematoloogilised uuringud,2 #EOS,U/L,B-Eo#
Hematoloogilised uuringud,2 %EOS,%,B-Eo%
Hematoloogilised uuringud,2 Eosinofiilid,%,B-Eo%
Hematoloogilised uuringud,2 HCT,%,B-Hct
Hematoloogilised uuringud,2 HGB,g/L,B-Hb
Hematoloogilised uuringud,2 IG#,10L,B-IG#
Hematoloogilised uuringud,2 IG%),%,B-IG%
Hematoloogilised uuringud,2 Kepptuum. neut.,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,2 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,2 %LYMPH,%,B-Lymph%
Hematoloogilised uuringud,2 MCH,pg,B-MCH
Hematoloogilised uuringud,2 MCHC,g/L,B-MCHC
Hematoloogilised uuringud,2 MCV,fL,B-MCV
Hematoloogilised uuringud,2 MPV,fL,B-MPV
Hematoloogilised uuringud,2 PCT,%,B-Pct
Hematoloogilised uuringud,2 PDW,%,B-PDW-CV
Hematoloogilised uuringud,2 PDW,fL,B-PDW
Hematoloogilised uuringud,2 PLT,10U/L,B-Plt
Hematoloogilised uuringud,2 RDW),%,B-RDW-CV
Hematoloogilised uuringud,2 RDWa,%,B-RDW-CV
Hematoloogilised uuringud,2 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,2 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,2 Segmenttuumsed,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,2 Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,3 B-Baso#,/nL,B-Baso#
Hematoloogilised uuringud,3 B-Baso%,%,B-Baso%
Hematoloogilised uuringud,3 B-Diff-Baso-%,%,B-Baso%
Hematoloogilised uuringud,3 B-Diff-Baso-arv,10L,B-Baso#
Hematoloogilised uuringud,3 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,3 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,3 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,3 B-Diff-Mono-%,%,B-Mono%
Hematoloogilised uuringud,3 B-Diff-Mono-arv,10L,B-Mono#
Hematoloogilised uuringud,3 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,3 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,3 B-HbA1C,%,B-HbA1c
Hematoloogilised uuringud,3 B-Hct,%,B-Hct
Hematoloogilised uuringud,3 B-Hgb,g/L,B-Hb
Hematoloogilised uuringud,3 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,3 B-IG%,%,B-IG%
Hematoloogilised uuringud,3 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,3 B-MCH,pg,B-MCH
Hematoloogilised uuringud,3 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,3 B-MCV,fL,B-MCV
Hematoloogilised uuringud,3 B-Mono-%,%,B-Mono%
Hematoloogilised uuringud,3 B-Mono#,/nL,B-Mono#
Hematoloogilised uuringud,3 B-Mono%,%,B-Mono%
Hematoloogilised uuringud,3 B-Mono-arv,10E9/L,B-Mono#
Hematoloogilised uuringud,3 B-MPV,fL,B-MPV
Hematoloogilised uuringud,3 B-PLT,10L,B-Plt
Hematoloogilised uuringud,3 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,3 B-RBC,/pL,B-RBC
Hematoloogilised uuringud,3 B-RBC,10L,B-RBC
Hematoloogilised uuringud,3 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,3 B-WBC,10L,B-WBC
Hematoloogilised uuringud,3 B-WBC,/nL,B-WBC
Hematoloogilised uuringud,3 E-MCH,pg,B-MCH
Hematoloogilised uuringud,3 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,3 E-MCV,fL,B-MCV
Hematoloogilised uuringud,3 IG#,10L,B-IG#
Hematoloogilised uuringud,3 IG%),%,B-IG%
Hematoloogilised uuringud,3 Kepptuum. neut.,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,3 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,3 MPV,fL,B-MPV
Hematoloogilised uuringud,3 PCT,%,B-Pct
Hematoloogilised uuringud,3 PDW,fL,B-PDW
Hematoloogilised uuringud,3 RDWa,%,B-RDW-CV
Hematoloogilised uuringud,3 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,3 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,4 B-Baso#,/nL,B-Baso#
Hematoloogilised uuringud,4 B-Baso%,%,B-Baso%
Hematoloogilised uuringud,4 B-Diff-Baso-%,%,B-Baso%
Hematoloogilised uuringud,4 B-Diff-Baso-arv,10L,B-Baso#
Hematoloogilised uuringud,4 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,4 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,4 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,4 B-Diff-Mono-%,%,B-Mono%
Hematoloogilised uuringud,4 B-Diff-Mono-arv,10L,B-Mono#
Hematoloogilised uuringud,4 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,4 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,4 B-HbA1C,%,B-HbA1c
Hematoloogilised uuringud,4 B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,4 B-Hct,%,B-Hct
Hematoloogilised uuringud,4 B-Hgb,g/L,B-Hb
Hematoloogilised uuringud,4 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,4 B-IG%,%,B-IG%
Hematoloogilised uuringud,4 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,4 B-MCH,pg,B-MCH
Hematoloogilised uuringud,4 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,4 B-MCV,fL,B-MCV
Hematoloogilised uuringud,4 B-Mono#,/nL,B-Mono#
Hematoloogilised uuringud,4 B-Mono%,%,B-Mono%
Hematoloogilised uuringud,4 B-MPV,fL,B-MPV
Hematoloogilised uuringud,4 B-PLT,10L,B-Plt
Hematoloogilised uuringud,4 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,4 B-RBC,/pL,B-RBC
Hematoloogilised uuringud,4 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,4 B-WBC,/nL,B-WBC
Hematoloogilised uuringud,4 B-WBC,10L,B-WBC
Hematoloogilised uuringud,4 E-MCH,pg,B-MCH
Hematoloogilised uuringud,4 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,4 E-MCV,fL,B-MCV
Hematoloogilised uuringud,4 IG#,10L,B-IG#
Hematoloogilised uuringud,4 IG%),%,B-IG%
Hematoloogilised uuringud,4 Kepptuum. neut.,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,4 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,4 MPV,fL,B-MPV
Hematoloogilised uuringud,4 PCT,%,B-Pct
Hematoloogilised uuringud,4 PDW,fL,B-PDW
Hematoloogilised uuringud,4 RDWa,%,B-RDW-CV
Hematoloogilised uuringud,4 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,4 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,5 B-Diff-Baso-%,%,B-Baso%
Hematoloogilised uuringud,5 B-Diff-Baso-arv,10L,B-Baso#
Hematoloogilised uuringud,5 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,5 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,5 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,5 B-Diff-Mono-%,%,B-Mono%
Hematoloogilised uuringud,5 B-Diff-Mono-arv,10L,B-Mono#
Hematoloogilised uuringud,5 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,5 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,5 B-Hct,%,B-Hct
Hematoloogilised uuringud,5 B-Hgb,g/L,B-Hb
Hematoloogilised uuringud,5 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,5 B-IG%,%,B-IG%
Hematoloogilised uuringud,5 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,5 B-MCH,pg,B-MCH
Hematoloogilised uuringud,5 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,5 B-MCV,fL,B-MCV
Hematoloogilised uuringud,5 B-MPV,fL,B-MPV
Hematoloogilised uuringud,5 B-PLT,10L,B-Plt
Hematoloogilised uuringud,5 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,5 B-RBC,10L,B-RBC
Hematoloogilised uuringud,5 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,5 B-WBC,10L,B-WBC
Hematoloogilised uuringud,5 E-MCH,pg,B-MCH
Hematoloogilised uuringud,5 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,5 E-MCV,fL,B-MCV
Hematoloogilised uuringud,5 Eosinofiilid,%,B-Eo%
Hematoloogilised uuringud,5 IG#,10L,B-IG#
Hematoloogilised uuringud,5 IG%),%,B-IG%
Hematoloogilised uuringud,5 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,5 MPV,fL,B-MPV
Hematoloogilised uuringud,5 PCT,%,B-Pct
Hematoloogilised uuringud,5 PDW,fL,B-PDW
Hematoloogilised uuringud,5 RDWa,%,B-RDW-CV
Hematoloogilised uuringud,5 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,5 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,6 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,6 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,6 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,6 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,6 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,6 B-Hct,%,B-Hct
Hematoloogilised uuringud,6 B-Hgb,g/L,B-Hb
Hematoloogilised uuringud,6 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,6 B-IG%,%,B-IG%
Hematoloogilised uuringud,6 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,6 B-MCH,pg,B-MCH
Hematoloogilised uuringud,6 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,6 B-MCV,fL,B-MCV
Hematoloogilised uuringud,6 B-MPV,fL,B-MPV
Hematoloogilised uuringud,6 B-PLT,10L,B-Plt
Hematoloogilised uuringud,6 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,6 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,6 E-MCH,pg,B-MCH
Hematoloogilised uuringud,6 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,6 E-MCV,fL,B-MCV
Hematoloogilised uuringud,6 IG#,10L,B-IG#
Hematoloogilised uuringud,6 IG%),%,B-IG%
Hematoloogilised uuringud,6 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,6 MPV,fL,B-MPV
Hematoloogilised uuringud,6 PCT,%,B-Pct
Hematoloogilised uuringud,6 PDW,fL,B-PDW
Hematoloogilised uuringud,6 RDWa,%,B-RDW-CV
Hematoloogilised uuringud,6 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,6 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,7 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,7 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,7 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,7 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,7 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,7 B-Hct,%,B-Hct
Hematoloogilised uuringud,7 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,7 B-IG%,%,B-IG%
Hematoloogilised uuringud,7 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,7 B-MCH,pg,B-MCH
Hematoloogilised uuringud,7 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,7 B-MCV,fL,B-MCV
Hematoloogilised uuringud,7 B-MPV,fL,B-MPV
Hematoloogilised uuringud,7 B-PLT,10L,B-Plt
Hematoloogilised uuringud,7 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,7 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,7 E-MCH,pg,B-MCH
Hematoloogilised uuringud,7 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,7 E-MCV,fL,B-MCV
Hematoloogilised uuringud,7 Eosinofiilid,%,B-Eo%
Hematoloogilised uuringud,7 IG#,10L,B-IG#
Hematoloogilised uuringud,7 IG%),%,B-IG%
Hematoloogilised uuringud,7 Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,7 MPV,fL,B-MPV
Hematoloogilised uuringud,7 PCT,%,B-Pct
Hematoloogilised uuringud,7 PDW,fL,B-PDW
Hematoloogilised uuringud,7 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,7 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,8 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,8 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,8 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,8 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,8 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,8 B-Hct,%,B-Hct
Hematoloogilised uuringud,8 B-IG#,/nL,B-IG#
