,ORG,PER,LOC
"('Crystal',)",,2.0,
"('Gerrald',)",,1.0,
"('Jari',)",,1.0,
"('Tottenham',)",,1.0,
"('White', 'Hart')",,2.0,
"('Sven-Göran',)",,1.0,
"('Rasheed',)",,1.0,
"('Portlandi', 'Damon')",,1.0,
"('Van',)",,1.0,
"('LÕUNA',)",,2.0,
"('Kopli',)",,1.0,
"('Paolo',)",,1.0,
"('Rene',)",,4.0,
"('Egil',)",,2.0,
"('Frode',)",,2.0,
"('Dag',)",,2.0,
"('Ole', 'Einar')",,2.0,
"('Marco',)",,1.0,
"('Alexander',)",,1.0,
"('Ricco',)",,1.0,
"('Julien',)",,1.0,
"('Raphael',)",,1.0,
"('Ivan',)",,2.0,
"('Roman',)",,4.0,
"('Zdenek',)",,1.0,
"('Wilfried',)",,1.0,
"('Johann',)",,2.0,
"('Christian',)",,1.0,
"('Christian', 'Hoffmann')",,1.0,
"('Cristian',)",,1.0,
"('Pietro', 'Piller')",,1.0,
"('Fulvio',)",,1.0,
"('Justin',)",,1.0,
"('Centa',)",,1.0,
"('Mihhail', 'Botvinov')",,1.0,
"('Gerhard', 'Urain')",,1.0,
"('Fabio',)",,1.0,
"('Achim', 'Walcher')",,1.0,
"('Markus', 'Hasler')",,1.0,
"('Hiroyuki', 'Imai')",,1.0,
"('Reto',)",,1.0,
"('Bundi',)",,1.0,
"('Emmanuel',)",,1.0,
"('Wilhelm',)",,1.0,
"('Jan', 'Jacob')",,1.0,
"('Juan', 'Jesus')",,1.0,
"('Alexander', 'Marent')",,1.0,
"('Robert',)",,3.0,
"('Alexandre',)",,1.0,
"('Christopher',)",,4.0,
"('Lea',)",,6.0,
"('Eero',)",,1.0,
"('Mervi',)",,1.0,
"('Piia',)",,1.0,
"('Inga',)",,1.0,
"('Reija',)",,1.0,
"('Pasi',)",,1.0,
"('Jussi',)",,1.0,
"('Petri',)",,1.0,
"('Sami',)",,1.0,
"('Olli',)",,1.0,
"('Ari',)",,1.0,
"('Suomen',)",,1.0,
"('Raisio',)",,1.0,
"('Gunnar',)",,5.0,
"('Valju',)",,1.0,
"('Ella',)",,1.0,
"('Harry',)",,4.0,
"('Meelis',)",,4.0,
"('Anži',)",,1.0,
"('Anžile',)",,1.0,
"('Diego',)",,2.0,
"('Claudio',)",,1.0,
"('Martina',)",,1.0,
"('Kim',)",,1.0,
"('Melanie',)",,1.0,
"('Gert',)",,2.0,
"('Damir',)",,1.0,
"('Predrag',)",,1.0,
"('Lucien', 'Van')",,1.0,
"('Rauno',)",,2.0,
"('Jon',)",,2.0,
"('Ralph',)",,1.0,
"('Markko',)",,4.0,
"('Subaru',)",,7.0,
"('Richard',)",,5.0,
"('Toshihiro',)",,2.0,
"('Marek',)",,3.0,
"('Stig',)",,1.0,
"('Teitur',)",,1.0,
"('Kristen',)",,1.0,
"('Harald',)",,1.0,
"('Reinbok',)",,1.0,
"('Ando',)",,1.0,
"('Kristina',)",,7.0,
"('Bente',)",,2.0,
"('Beckie',)",,3.0,
"('Gabriella',)",,2.0,
"('Stefania',)",,2.0,
"('Peep',)",,9.0,
"('A.Le',)",,10.0,
"('Edmunds',)",,1.0,
"('Kaur',)",,1.0,
"('Kaido',)",,4.0,
"('Harri',)",,2.0,
"('Margit',)",,1.0,
"('Ville',)",,1.0,
"('Nybit',)",,1.0,
"('A. Le',)",,9.0,
"('Vallo',)",,1.0,
"('Rummat', 'Chris')",,1.0,
"('Raido',)",,1.0,
"('Märtin',)",,1.0,
"('Hossam',)",,1.0,
"('Lothar',)",,1.0,
"('Garri',)",,1.0,
"('Viswanathan',)",,1.0,
"('Jens',)",,1.0,
"('Samppa',)",,1.0,
"('Kristina', 'Stefania')",,1.0,
"('Gabriela',)",,1.0,
"('Lembit',)",,1.0,
"('Judit',)",,1.0,
"('Jan',)",,2.0,
"('Hendrik',)",,4.0,
"('Gaston',)",,4.0,
"('Jean',)",,4.0,
"('Alain',)",,4.0,
"('Reval',)",,1.0,
"('Wõro',)",,1.0,
"('Tauno',)",,1.0,
"('Aado',)",,2.0,
"('Kalev',)",,3.0,
"('Einar',)",,4.0,
"('Allar',)",,2.0,
"('Uno',)",,1.0,
"('Märt',)",,5.0,
"('Aase',)",,1.0,
"('Lennart',)",,14.0,
"('Leo',)",,5.0,
"('Moora',)",,1.0,
"('Robert', 'de')",,1.0,
"('Kristiina',)",,2.0,
"('Elisabet', 'Borsiin')",,1.0,
"('Toomas', 'Hendrik')",,9.0,
"('Göran',)",,2.0,
"('Alar',)",,2.0,
"('Philip',)",,1.0,
"('Liisa',)",,6.0,
"('Jürgen',)",,3.0,
"('Väino',)",,2.0,
"('Ülo',)",,7.0,
"('Andrus',)",,2.0,
"('Meri',)",,2.0,
"('Elmut',)",,1.0,
"('Merit',)",,2.0,
"('Mati',)",,5.0,
"('Vahur',)",,3.0,
"('Ants',)",,3.0,
"('Villu',)",,2.0,
"('Liina',)",,1.0,
"('Jaanus',)",,3.0,
"('Igors',)",,1.0,
"('Artur',)",,1.0,
"('Agnes',)",,1.0,
"('Eerik-Juhan',)",,1.0,
"('Jaano',)",,1.0,
"('Eerik',)",,1.0,
"('Helve',)",,1.0,
"('Madis',)",,2.0,
"('LÜNGAD',)",,1.0,
"('Raviarst',)",,1.0,
"('Merle',)",,1.0,
"('Pekka',)",,2.0,
"('Algirdas',)",,2.0,
"('Aet',)",,1.0,
"('Brunhild-Dorothea',)",,1.0,
"('Oole',)",,2.0,
"('Merike',)",,1.0,
"('Alan',)",,4.0,
"('Artjom',)",,1.0,
"('Aili',)",,2.0,
"('Kaja',)",,2.0,
"('Gea',)",,1.0,
"('Heido',)",,6.0,
"('Arvin',)",,2.0,
"('Vello',)",,2.0,
"('Meema',)",,1.0,
"('Veiko',)",,1.0,
"('Agne',)",,1.0,
"('JA',)",,2.0,
"('Atko',)",,3.0,
"('Valdeko',)",,1.0,
"('Ernst',)",,1.0,
"('Fred',)",,2.0,
"('Konstantin',)",,6.0,
"('Helle',)",,3.0,
"('Wastewise',)",,1.0,
"('Ragn',)",,3.0,
"('Dmitri',)",,1.0,
"('Taimar',)",,1.0,
"('Alla',)",,1.0,
"('Mait',)",,3.0,
"('Kersti',)",,4.0,
"('Valeri',)",,3.0,
"('Krista',)",,2.0,
"('Tatjana',)",,5.0,
"('Nelli',)",,2.0,
"('Evi',)",,2.0,
"('Sigrid',)",,2.0,
"('Svetlana',)",,2.0,
"('Galina',)",,2.0,
"('Aktsiaselts',)",,1.0,
"('Erakliinik',)",,1.0,
"('Osaühing',)",,2.0,
"('Inna',)",,7.0,
"('Aki',)",,1.0,
"('Viktor',)",,3.0,
"('Chris', ""Moore'i"")",,1.0,
"('Hüüdnimi',)",,1.0,
"('Heli',)",,2.0,
"('Aire',)",,1.0,
"('Aldo',)",,1.0,
"('Rocco',)",,1.0,
"('Kai',)",,2.0,
"('Kaupo',)",,1.0,
"('Sakari',)",,1.0,
"('Silver',)",,1.0,
"('Tuuli',)",,1.0,
"('Riina',)",,1.0,
"('JAGAMINE',)",,1.0,
"('Mall',)",,1.0,
"('Marika',)",,1.0,
"('Yrjö',)",,1.0,
"('Oliver',)",,1.0,
"('Niinepuu',)",,1.0,
"('Kristel',)",,2.0,
"('Hain',)",,1.0,
"('Gregg',)",,1.0,
"('Jutta',)",,1.0,
"('Henning',)",,1.0,
"('Kärt',)",,1.0,
"('Aino',)",,2.0,
"('Raul-Roman',)",,1.0,
"('Tanja',)",,1.0,
"('Henn',)",,1.0,
"('Irina',)",,1.0,
"('Hilda',)",,1.0,
"('Otte',)",,1.0,
"('Anatoli',)",,1.0,
"('Edite',)",,1.0,
"('Hikmat',)",,1.0,
"('Vytenis',)",,1.0,
"('Abdul', 'Razzaq')",,1.0,
"('Vaira',)",,1.0,
"('Vitali',)",,1.0,
"('Vojislav',)",,1.0,
"('Osama', 'bin')",,5.0,
"('Bin',)",,3.0,
"('William', 'Cohen')",,1.0,
"('Dennis',)",,1.0,
"('Cold', 'Spring')",,1.0,
"('John', 'Spellari')",,1.0,
"('Tobias',)",,1.0,
"('Leoncio',)",,1.0,
"('Biljana',)",,2.0,
"('Radovan',)",,1.0,
"('Momcilo',)",,1.0,
"('Gerhard',)",,2.0,
"('Renate',)",,2.0,
"('Karl-Heinz',)",,1.0,
"('Mei',)",,3.0,
"('Tian',)",,3.0,
"('Lucy',)",,1.0,
"('Liu',)",,1.0,
"('Ariel',)",,3.0,
"('Ehud',)",,3.0,
"('Silvan',)",,1.0,
"('Ultraortodoksne',)",,1.0,
"('Amnon',)",,1.0,
"('Wonderland',)",,2.0,
"('Kirsti',)",,5.0,
"('Hartwall',)",,1.0,
"('Chi',)",,1.0,
"('Ho', 'Chi')",,10.0,
"('Nho', 'Dinh')",,1.0,
"('Scott', 'Harlap')",,1.0,
"('Lord',)",,3.0,
"('Ahto',)",,1.0,
"('Time',)",,2.0,
"('Maire',)",,1.0,
"('Taevakanal',)",,1.0,
"('Mohammed', 'bin')",,1.0,
"('Ayman',)",,1.0,
"('Anwar',)",,1.0,
"('Marta',)",,2.0,
"('Mercado',)",,1.0,
"('Zoe',)",,1.0,
"('George', 'W. Bush')",,2.0,
"('South', 'Florida')",,1.0,
"('Antanas',)",,1.0,
"('Rimvydas',)",,1.0,
"('William',)",,1.0,
"('Kofi',)",,1.0,
"('Augusto',)",,1.0,
"('Juan',)",,1.0,
"('Ulla',)",,1.0,
"('Doyle',)",,1.0,
"('Heidar',)",,1.0,
"('Anu',)",,2.0,
"('Eiki',)",,1.0,
"('Jaan', 'Tõnissoni')",,1.0,
"('Agu',)",,1.0,
"('Alo',)",,1.0,
"('Anzori',)",,1.0,
"('Pille',)",,3.0,
"('Ilona',)",,1.0,
"('Antti',)",,2.0,
"('Ivo',)",,1.0,
"('Sony',)",,1.0,
"('Seamus',)",,1.0,
"('Toy',)",,1.0,
"('Lucas',)",,1.0,
"('Sierra',)",,1.0,
"('Quake',)",,1.0,
"(""King's"",)",,1.0,
"('Helen',)",,1.0,
"('Tõnu',)",,1.0,
"('Kimi',)",,2.0,
"('Antonia',)",,1.0,
"('Antonio',)",,1.0,
"('Bruno',)",,1.0,
"('Carl',)",,1.0,
"('Mazzacane',)",,1.0,
"('Magny',)",,1.0,
"('Jerezis', 'Ralf')",,1.0,
"('Benettoni',)",,1.0,
"('Giancarlo',)",,1.0,
"('Ralf',)",,1.0,
"('Jenson',)",,1.0,
"('Arrowsi', 'Jos')",,1.0,
"('Nick',)",,1.0,
"('Giancarlo', 'Fisichella')",,1.0,
"('Ralf', 'Schumacher')",,1.0,
"('Marc', 'Gene')",,1.0,
"('Olivier',)",,1.0,
"('Jos', 'Verstappen')",,1.0,
"('Conner',)",,1.0,
"('Dodge',)",,1.0,
"('Nissan',)",,3.0,
"('Toyota',)",,1.0,
"('Truck', 'Buying')",,2.0,
"('Chrysler',)",,1.0,
"('Buick',)",,1.0,
"('Volvo',)",,1.0,
"('Dodge', 'Grand')",,1.0,
"('Dave', 'Van')",,1.0,
"('Finbarr', 'O', ""'"")",,1.0,
"('Jeep',)",,1.0,
"('Range',)",,1.0,
"('Birgit',)",,1.0,
"('Valter',)",,1.0,
"('Ja',)",,2.0,
"('Maarja',)",,2.0,
"('Charles',)",,1.0,
"('Merlis',)",,1.0,
"('Elizabeth',)",,2.0,
"('Edward',)",,1.0,
"('Netiagentuur',)",,2.0,
"('Tamara',)",,4.0,
"('Britney',)",,1.0,
"('Katherine',)",,1.0,
"('mr .',)",,1.0,
"('Christina',)",,1.0,
"(""Alice'iks"",)",,1.0,
"('Material',)",,1.0,
"('Angelina',)",,1.0,
"('Courtney',)",,1.0,
"('Mariah',)",,1.0,
"('Jennifer',)",,1.0,
"('Abdul', 'Muin')",,1.0,
"('Abdul',)",,3.0,
"('Rohaya',)",,1.0,
"('Cheri',)",,1.0,
"('Shmuley',)",,1.0,
"('Jake',)",,1.0,
"('Clintonit',)",,1.0,
"('Betty',)",,1.0,
"('Hillary',)",,1.0,
"('Socks',)",,1.0,
"('Janek',)",,3.0,
"('Pakosta',)",,1.0,
"('Bingo',)",,1.0,
"('Iris',)",,1.0,
"('Sulev',)",,6.0,
"('Moidela',)",,1.0,
"('Kõhetu',)",,1.0,
"('Oskar',)",,2.0,
"('Asta',)",,1.0,
"('Ita',)",,1.0,
"('Olev',)",,1.0,
"('Grace',)",,1.0,
"('Sharon',)",,1.0,
"('Larry',)",,2.0,
"('Mitt',)",,1.0,
"('Rupert',)",,1.0,
"('Dow',)",,3.0,
"('J.P. Morgan',)",,1.0,
"('Veritas',)",,1.0,
"('Vodafone',)",,1.0,
"('Eduardo',)",,3.0,
"('Albert',)",,2.0,
"('Imre',)",,1.0,
"('Diagnoos',)",,1.0,
"('Kai-Mai',)",,1.0,
"('Elo',)",,1.0,
"('Paul', 'Yonggi')",,1.0,
"('Marju',)",,2.0,
"('Mantraks', 'Hare')",,1.0,
"('Arne',)",,1.0,
"('Malev',)",,1.0,
"('Ernesto',)",,1.0,
"('Auris',)",,2.0,
"('Härmo',)",,1.0,
"('Hans',)",,1.0,
"('Heldur',)",,1.0,
"('Kris',)",,2.0,
"('Rait',)",,1.0,
"('Tunne',)",,1.0,
"('Even',)",,1.0,
"('Rain',)",,1.0,
"('Aadu',)",,1.0,
"('Endel',)",,1.0,
"('Kerttu',)",,2.0,
"('Anne',)",,1.0,
"('Kiur',)",,1.0,
"('Krister',)",,1.0,
"('Viive',)",,2.0,
"('Jana',)",,1.0,
"('Greet',)",,1.0,
"('Kauksi',)",,1.0,
"('Kati',)",,1.0,
"('Malle',)",,1.0,
"('Öömust',)",,1.0,
"('Pablo',)",,1.0,
"('Esta',)",,1.0,
"('Pamela',)",,2.0,
"('Haide',)",,2.0,
"('Eri',)",,1.0,
"('Miliza',)",,1.0,
"('Ida',)",,1.0,
"('Kass',)",,2.0,
"('Heitur',)",,1.0,
"('Helje',)",,2.0,
"('Kosta',)",,1.0,
"('Elna',)",,1.0,
"('Mirjam',)",,1.0,
"('Ingrid',)",,1.0,
"('Külli', 'Hansen')",,1.0,
"('Saudi',)",,,3.0
"('Eestist',)",,,1.0
"('Haapsallu',)",,,1.0
"('Shikoku',)",,,1.0
"('Hansabankas',)",,,1.0
"('Rocca', 'al')",,,1.0
"('Türi',)",,,1.0
"('Nokia',)",,,1.0
"('Tallinnast',)",,,1.0
"('Mähel',)",,,1.0
"('Muuga',)",,,1.0
"('Taani',)",,,1.0
"('Makedoonias',)",,,1.0
"('Birmingham',)",,,1.0
"('Pärnu', 'FC')",,,1.0
"('Roobale',)",,,1.0
"('Ida-Virumaa',)",,,1.0
"('Lake',)",,,1.0
"('Vene', 'Balti')",,,2.0
"('Järva',)",,,1.0
"('Skandinaavia',)",,,1.0
"('Tartus',)",,,1.0
"('Nüpli',)",,,1.0
"('Alansi',)",,,2.0
"('Tallinna-Pärnu', 'ja')",,,1.0
"('Utria',)",,,1.0
"('Sarnito',)",,,1.0
"('Koola',)",,,1.0
"('Vaikse',)",,,1.0
"('Jaapani',)",,,1.0
"('Barentsi',)",,,1.0
"('Kongo',)",,,1.0
"('Ciangmai',)",,,1.0
"('Pärsia',)",,,1.0
"('NSV',)",,,3.0
"('Jordani',)",,,1.0
"('Indohiina',)",,,1.0
"('Nevada',)",,,1.0
"('Nõukogude',)",,,2.0
"('Marylandis',)",,,2.0
"('Florida',)",,,3.0
"('Infrogames', ',')",,,1.0
"('Kiisalt',)",,,1.0
"('Kaug-Idas',)",,,1.0
"('Põhja-Malaisias', 'Kedahi')",,,1.0
"('Illinoisi',)",,,1.0
"('Elbe',)",,,4.0
"('Joonia',)",,,5.0
"('Aadria',)",,,2.0
"('Jugoslaavia',)",,,1.0
"('Utah', ""'"")",,,1.0
"('EchoStar', ',')",,,1.0
"('Lõuna-Ameerika',)",,,1.0
