analysis_name,parameter_name,parameter_unit,t_lyhend,loinc_code,substrate,evidence
Biokeemilised uuringud,fS-HDL-Chol 2,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemilised uuringud,fS-LDL-Cho,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemilised uuringud,fS-LDL-Chol,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemilised uuringud,fS-LDL-Chol 1,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemilised uuringud,fS-LDL-Chol 2,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemilised uuringud,fs-Urea 1,mmol/L,"S,P-Urea",22664-7,Ser/Plas,manual
Biokeemilised uuringud,fs-Urea 2,mmol/L,"S,P-Urea",22664-7,Ser/Plas,manual
Biokeemilised uuringud,HbA1c,%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,HbA1c (IFCC,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Biokeemilised uuringud,HgbA1,%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,HgbA1c,%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,Kreat. kliirens,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
Biokeemilised uuringud,LDL kolesterool,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemilised uuringud,S-ALAT 1,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemilised uuringud,S-ALAT 2,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemilised uuringud,S-ALAT 3,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemilised uuringud,S-ALAT 4,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemilised uuringud,S-ALAT 5,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemilised uuringud,S-ASAT 1,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemilised uuringud,S-ASAT 2,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemilised uuringud,S-ASAT 3,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemilised uuringud,S-ASAT 4,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemilised uuringud,S-ASAT 5,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemilised uuringud,S-Chol 1,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemilised uuringud,S-Chol 2,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemilised uuringud,S-Chol 3,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemilised uuringud,S-HDL-Cho,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
B-Vere �igepreparaadi mikroskoopia,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,manual
B-Vere äigepreparaadi mikroskoopia,Basofiilid HK:0000,%,B-Basofiilid %,30180-4,Bld,manual
B-Vere äigepreparaadi mikroskoopia,Eosinofiilid HK:0000,%,B-Eo%,713-8,Bld,manual
B-Vere äigepreparaadi mikroskoopia,Kepptuumsed neutrofiilid HK:0000,%,B-Kepptuumsed neutrofiilid %,26508-2,Bld,manual
B-Vere äigepreparaadi mikroskoopia,Monotsüüdid HK:0000,%,B-Monotsüüdid %,26485-3,Bld,manual
B-Vere äigepreparaadi mikroskoopia,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,manual
B-Vere äigepreparaadi mikroskoopia,Segmenttuumsed neutrofiilid HK:0000,%,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,manual
CK Kreatiini kinaas seerumis,Kreatiini kinaas seerumis,U/L,"S,P-CK",2157-6,Ser/Plas,manual
CK MB isoensüümi aktiivsus,Kreatiini kinaasi MB isoensüümi aktiivsus,U/L,"S,P-CK-MB",32673-6,Ser/Plas,manual
CK-MBm,Kreatiini kinaasi MB isoensüümi mass,ng/mL,"S,P-CK-MBm",13969-1,Ser/Plas,manual
CK-MBm,Kreatiini kinaasi MB isoensüümi mass,ug/L,"S,P-CK-MBm",13969-1,Ser/Plas,manual
C-reaktiivne valk seerumis,C-reaktiivne valk,mg/L,"S,P-CRP",1988-5,Ser/Plas,manual
CRP - C-reaktiivne valk,C-reaktiivne valk,mg/L,"S,P-CRP",1988-5,Ser/Plas,manual
Eger - Hinnangulina Glomerulaarfiltratsiooni Kiirus(Egfr),Hinnangulina glomerulaarfiltratsiooni kiirus,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
eGFR,33914-3,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
eGFR,Hinnanguline glomerulaarfiltratsooni kiirus,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
Egfr (Ckd-Epi),62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI),62238-1,Ser/Plas,manual
"Egfr (Crea, Ckd-Epi)",62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI),62238-1,Ser/Plas,manual
"Egfr (Crea, Ckd-Epi)",62238-1 eGFR,ml/min/1.73m2,eGFR (CKD-EPI),62238-1,Ser/Plas,manual
eGFR hinnanguline glomerulaarfiltratsiooni kiirus,S2-Crea-eGFR,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
FT4,02-FT4,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
FT4,Vaba türoksiin,ng/dL,"S,P-fT4",14920-3,Ser/Plas,manual
FT4,Vaba türoksiin,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
fT4,Vaba türoksiin,ng/dL,"S,P-fT4",14920-3,Ser/Plas,manual
fT4,Vaba türoksiin,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
fT4 Vaba türoksiin plasmas,Vaba türoksiin plasmas,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
FT4 Vaba türoksiin seerumis,Vaba türoksiin seerumis,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
fT4 - Vaba türoksiin seerumis,Vaba türoksiin seerumis,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
fT4 Vaba türoksiin seerumis,Vaba türoksiin,pmol/L,"S,P-fT4",14920-3,Ser/Plas,manual
Glomerulaarfiltratiooni kiirus MDRD valemiga,Glomerulaarfiltratsioon MDRD valemiga,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
glükeeritud hemoglobiin,6513 HbA1c,%,B-HbA1c,4548-4,Bld,manual
Glükohemoglobii,Glükohemoglobii,%,B-HbA1c,4548-4,Bld,manual
Glükohemoglobii,Glükohemoglobii,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin,HbA1c IFCC,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin (IFCC),Glükohemoglobiin,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin veres,Glükohemoglobiin veres,%,B-HbA1c,4548-4,Bld,manual
Glükohemoglobiin veres,HbA1c %,%,B-HbA1c,4548-4,Bld,manual
Glükohemoglobiin veres,HbA1c HK:0000,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin veres (DCA),HbA1c %,%,B-HbA1c,4548-4,Bld,manual
Glükohemoglobiin veres (IFCC),B-HbA1c_,%,B-HbA1c,4548-4,Bld,manual
Glükohemoglobiin veres (IFCC),B-HbA1c_,mmol/L,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin veres (IFCC),B-HbA1c_,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin veres (IFCC),Hinnatud keskmine glükoosi kontsentratsioon,mmol/L,B-HbA1c (IFCC),59261-8,Bld,manual
Glükohemoglobiin veres (SI),HbA1c %,%,B-HbA1c,4548-4,Bld,manual
Glükoos,Glükoos seerumis,mmol/L,"S,P-Gluc",14749-6,Ser/Plas,manual
Glükoos arteriaalses veres,aB-Gluc,mmol/L,"S,P-Gluc",14749-6,Ser/Plas,manual
Glükoosi profiil kapillaarverest,cB-Gluco-P,mmol/L,fcB-Gluc,14770-2,Bld,manual
Glükoosi profiil kapillaarverest,Glükoos,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest,Glükoos 12.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest,Glükoos 16.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest,Glükoos 21.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest,Glükoos 6.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest,Glükoos 7.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest POCT,Glükoos 12.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest POCT,Glükoos 16.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest POCT,Glükoos 21.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest POCT,Glükoos 7.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest (POCT),Glükoos,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest (POCT),Glükoos 12.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest (POCT),Glükoos 16.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest (POCT),Glükoos 21.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoosi profiil kapillaarverest (POCT),Glükoos 7.00,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoos kapillaarses veres,Glükoos kapillaarses veres,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoos kapillaarses veres (POCT),Glükoos kapillaarverest,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoos kapillaarveres,cB-Gluc,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Glükoos kapillaarveres,cB-Gluc-PA,mmol/L,fcB-Gluc,14770-2,Bld,manual
Glükoos paastuplasmas,Glükoos pastuplasmas,mmol/L,"fS,fP-Gluc",14771-0,Ser/Plas,manual
Glükoos paastuseerumis/-plasmas,Glükoos paastuseerumis,mmol/L,"fS,fP-Gluc",14771-0,Ser/Plas,manual
Glükoos paastuseerumis/-plasmas,Glükoos pastuseerumis/-plasmas,mmol/L,"fS,fP-Gluc",14771-0,Ser/Plas,manual
Glükoos paastuseerumis/-plasmas,Glükoos seerumis,mmol/L,"fS,fP-Gluc",14771-0,Ser/Plas,manual
glükoos paastuveres,fB-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
Glükoos uriinis,Glükoos uriinis %,%,U-Gluc strip,59156-0,Urine,manual
GTT,Glükoos 0 min gluc HK:66101,mmol/L,"fS,P-Gluc 0 min (pre 75 g Gluc PO)",14996-3,Ser/Plas,manual
GTT,Glükoos 120 min gluc HK:66101,mmol/L,"S,P-Gluc 120 min (post 75g Gluc PO)",14995-5,Ser/Plas,manual
GTT rasedad,Glükoos 0 min gluc HK:66101,mmol/L,"fS,P-Gluc 0 min (pre 75 g Gluc PO)",14996-3,Ser/Plas,manual
GTT rasedad,Glükoos 120 min gluc HK:66101,mmol/L,"S,P-Gluc 120 min (post 75g Gluc PO)",14995-5,Ser/Plas,manual
GTT rasedad,Glükoos 60 min gluc HK:66101,mmol/L,"S,P-Gluc 60 min (post 75 g Gluc PO)",51597-3,Ser/Plas,manual
Happe-aluse tasakaal,B-Hct calc),%,B-Hct calc,48703-3,Bld,manual
Happe-aluse tasakaal,Gluc,mmol/L,"S,P-Gluc",14749-6,Ser/Plas,manual
Happe-aluse tasakaal,Hctc,%,B-Hct calc,48703-3,Bld,manual
Happe- aluse tasakaal kapillaarveres,Hct hematokrit,%,B-Hct calc,48703-3,Bld,manual
Happe- aluse tasakaal kapillaarverest,Hct hematokrit,%,B-Hct calc,48703-3,Bld,manual
Happe-aluse tasakaal vastsündinul nabaväädiverest,Hct hematokrit,%,B-Hct calc,48703-3,Bld,manual
Happe-alus tasakaal,1 Hctc,%,B-Hct calc,48703-3,Bld,manual
Happe-alus tasakaal,2 Hctc,%,B-Hct calc,48703-3,Bld,manual
Happe-alus tasakaal,3 Hctc,%,B-Hct calc,48703-3,Bld,manual
Happe-alus tasakaal,AAV1 Hctc,%,B-Hct calc,48703-3,Bld,manual
Happe-alus tasakaal,Hctc,%,B-Hct calc,48703-3,Bld,manual
HbA1C,HbA1C,%,B-HbA1c,4548-4,Bld,manual
HbA1c,HbA1c IFCC,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
HbA1c (IFCC),HbA1c IFCC,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
HDL,HDL-kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL kolest.,HDL Kolest.,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL kolesterool,"fS-HDL-Chol, fP-HDL-",mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL kolesterool,"fS-HDL-Chol, fP-HDL-Chol",mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL kolesterool,"fS-HDL-Chol,_fP-HDL-Chol",mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL -kolesterool,HDL-Chol,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL- kolesterool,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL- kolesterool paastuseerumis,"fS-HDL-Chol, fP-HDL-",ng/mL,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL- kolesterool paastuseerumis,"fS-HDL-Chol, fP-HDL-Chol",ng/mL,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL- kolesterool paastuseerumis,"fS-HDL-Chol,_fP-HDL-Chol",ng/mL,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL-kolesterool paastuseerumis,fS-HDL-Chol HK:66105,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL-kolesterool paastuseerumis,HDL-kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL- kolesterool seerumis,HDL- kolesterool paastuseerumis,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL-kolesterool seerumis/plasmas,"S,P-HDL.Chol",mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL - Kõrge tihedusega lipoproteiini kolesterool,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
HDL Kõrge tihedusega lipoproteiini kolesterool seerumis,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Hematocrit,Hematocrit,%,B-Hct,4544-3,Bld,manual
hematokrit,hematokrit,%,B-Hct,4544-3,Bld,manual
Hematoloogia,Eosinofiile,%,B-Eo%,713-8,Bld,manual
Hematoloogia,Kepptuumsei,%,B-Kepptuumsed neutrofiilid %,26508-2,Bld,manual
Hematoloogia,Kepptuumseid,%,B-Kepptuumsed neutrofiilid %,26508-2,Bld,manual
Hematoloogia,Segmenttuumseid,%,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,manual
Hematoloogilised ja uriini uuringud,EO,%,B-Eo%,713-8,Bld,manual
Hematoloogilised ja uriini uuringud,IG,%,B-IG%,38518-7,Bld,manual
Hematoloogilised ja uriini uuringud,Kepptuumsed neutrofiili,%,B-Kepptuumsed neutrofiilid %,26508-2,Bld,manual
Hematoloogilised ja uriini uuringud,Ketoonid,mmol/L,U-Ket strip,59158-6,Urine,manual
Hematoloogilised ja uriini uuringud,Leukotsüüdid,/uL,U-WBC strip,58805-3,Urine,manual
Hematoloogilised ja uriini uuringud,MCH,g/L,B-MCH,785-6,Bld,manual
Hematoloogilised ja uriini uuringud,RDW- C,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised ja uriini uuringud,RDW- CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised ja uriini uuringud,Segmenttuumsed neutrofiili,%,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,manual
Hematoloogilised ja uriini uuringud,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,manual
Hematoloogilised uuringud,10 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,10 B-Eo#,/nL,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,10 B-Eo%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,10 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,10 B-IG#,/nL,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,10 B-IG%,%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,10 B-Lymph%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,10 B-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,10 B-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,10 B-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,10 B-MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,10 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,10 B-Plt,/nL,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,10 B-RDW,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,10 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,10 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,10 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,10 MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,10 PDW,fL,B-PDW,32207-3,Bld,manual
Hematoloogilised uuringud,10 RDW-CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,11 B-Diff-Eo-%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,11 B-Diff-Eo-arv,10L,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,11 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,11 B-Eo#,/nL,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,11 B-Eo%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,11 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,11 B-IG#,/nL,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,11 B-IG%,%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,11 B-Lymph%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,11 B-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,11 B-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,11 B-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,11 B-MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,11 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,11 B-Plt,/nL,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,11 B-RDW,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,11 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,11 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,11 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,11 IG#,10L,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,11 IG%),%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,11 MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,11 PCT,%,B-Pct,51637-7,Bld,manual
Hematoloogilised uuringud,11 PDW,fL,B-PDW,32207-3,Bld,manual
Hematoloogilised uuringud,11 RDW-CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,11 RDW-SD,fL,B-RDW-SD,21000-5,Bld,manual
Hematoloogilised uuringud,12 B-Diff-Eo-%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,12 B-Diff-Eo-arv,10L,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,12 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,12 B-Eo#,/nL,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,12 B-Eo%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,12 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,12 B-IG#,/nL,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,12 B-IG%,%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,12 B-Lymph%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,12 B-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,12 B-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,12 B-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,12 B-MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,12 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,12 B-Plt,/nL,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,12 B-RDW,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,12 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,12 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,12 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,12 IG#,10L,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,12 IG%),%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,12 MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,12 PCT,%,B-Pct,51637-7,Bld,manual
Hematoloogilised uuringud,12 PDW,fL,B-PDW,32207-3,Bld,manual
Hematoloogilised uuringud,12 RDW-CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,12 RDW-SD,fL,B-RDW-SD,21000-5,Bld,manual
Hematoloogilised uuringud,13 B-Diff-Eo-%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,13 B-Diff-Eo-arv,10L,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,13 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,13 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,13 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,13 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,13 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,13 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,13 IG#,10L,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,13 IG%),%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,13 MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,13 PCT,%,B-Pct,51637-7,Bld,manual
Hematoloogilised uuringud,13 PDW,fL,B-PDW,32207-3,Bld,manual
Hematoloogilised uuringud,13 RDW-CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,13 RDW-SD,fL,B-RDW-SD,21000-5,Bld,manual
Hematoloogilised uuringud,14 B-Diff-Eo-%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,14 B-Diff-Eo-arv,10L,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,14 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,14 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,14 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,14 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,14 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,14 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,14 IG#,10L,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,14 IG%),%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,14 MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,14 PCT,%,B-Pct,51637-7,Bld,manual
Hematoloogilised uuringud,14 PDW,fL,B-PDW,32207-3,Bld,manual
Hematoloogilised uuringud,14 RDW-CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,14 RDW-SD,fL,B-RDW-SD,21000-5,Bld,manual
Hematoloogilised uuringud,15 B-Diff-Eo-%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,15 B-Diff-Eo-arv,10L,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,15 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,15 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,15 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,15 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,15 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,15 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,15 IG#,10L,B-IG#,51584-1,Bld,manual
Hematoloogilised uuringud,15 IG%),%,B-IG%,38518-7,Bld,manual
Hematoloogilised uuringud,15 MPV,fL,B-MPV,32623-1,Bld,manual
Hematoloogilised uuringud,15 PCT,%,B-Pct,51637-7,Bld,manual
Hematoloogilised uuringud,15 PDW,fL,B-PDW,32207-3,Bld,manual
Hematoloogilised uuringud,15 RDW-CV,%,B-RDW-CV,788-0,Bld,manual
Hematoloogilised uuringud,15 RDW-SD,fL,B-RDW-SD,21000-5,Bld,manual
Hematoloogilised uuringud,16 B-Diff-Eo-%,%,B-Eo%,713-8,Bld,manual
Hematoloogilised uuringud,16 B-Diff-Eo-arv,10L,B-Eo#,711-2,Bld,manual
Hematoloogilised uuringud,16 B-Diff-LYMPH-%,%,B-Lymph%,736-9,Bld,manual
Hematoloogilised uuringud,16 B-Hct,%,B-Hct,4544-3,Bld,manual
Hematoloogilised uuringud,16 B-PLT,10L,B-Plt,777-3,Bld,manual
Hematoloogilised uuringud,16 E-MCH,pg,B-MCH,785-6,Bld,manual
Hematoloogilised uuringud,16 E-MCHC,g/L,B-MCHC,786-4,Bld,manual
Hematoloogilised uuringud,16 E-MCV,fL,B-MCV,787-2,Bld,manual
Hematoloogilised uuringud,16 IG#,10L,B-IG#,51584-1,Bld,manual
