analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
Biokeemia labor,,10478,S2-LDHüdrogenaa,U/l,6
"Hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",,B-CBC-5DIFF-NRBC-RET,,10\12/l,1
Vere automaatuuring 5-osalise leukogramm,,B-CBC+Diff,MCV,fL,10
Vereäige mikroskoopia,,B-Smear-m,Howelli-Jolly kehakesed,-,1
Uriini uuringud,,10,1 U-UBG,µmol/l,1
Immuunmeetoditel uuringud,"",CandidakruseiDNART-PCRmeetodiltäisverest,Candida krusei DNA RT-PCR meetodil täisverest,,1
Kasvajaantigeen HE4 seerumis,,S-HE4,CA-125,U/mL,10
Allergia testid,,kassikarv,kassi karv,,3
Tuumavastased antikehad,,S-aNA,<ANONYM> (antinukleaarsed Ak-d),-,1
Aktiveeritud proteiini C resistentsus,,P-APC-R,P-APC-R,-,8
"MP1 spetsiifiline IgE allergeenide segu (p notatum, cl herbatum, as fumigatus, ca albicans, al tenius) suhtes",,S-mp1_IgE,"IgE mp1( penicillium notatum, cladosporium herbatum, aspergilus fumigatus, candida albicans, alternaria tenius)",kIU/l,56
Haptoglobiin seerumis,,S-Hapto,S-Hapto,g/L,1
Biokeemia labor,,10487,S2-Trig,mmol/l,12
Mikrobioloogilised uuringud,,575,Cloramfenikol,,12
B-hepatiidi viiruse DNA hulk plasmas,,P-HBV_DNA_QN,P-HBV DNA QN,-,3
Hemogramm (vere automaatuuring leukogrammita),,B-CBC,RDW-SD,fL,74
Immuunmeetoditel põhinevad uuringud,,798,S-fT(Vaba trijoodtüroniin),pmol/l,68
Väljast tellitud analüüsid,"",HCV-RNAkvant.,HCV-RNA kvant.,,1
"HLA B27 määramine, PCR meetodil",,B-HLA-B27-PCR,HLA B27,-,1
Aktiveeritud osaliste tromboplastiinide aeg plasmas,,P1-APTT,,sek,5
Puukentsefaliidi viiruse vastased IgG-antikehad seljaajuvedelikus,,CSF-TBE_IgG,Puukentsefaliidi viiruse vastased IgG antikehad seljaajuvedelikus,,1
Laboratoorne hematoloogia,,128,MC,pg,7
Tsütoloogilised uuringud,,69589,Materjal MA (mitteadekvaatne,,5
Üksikallergeeni d2 (DERMATOPH. FARINAE) vastased IgE antikehad seerumis,,S-ad2,S-ad2,kU/l,44
PAP test: Tservikaalkanal,,3343,Mikrofloor,,2
Happe-alus tasakaal,,Hematokrit,Hematokrit,,2
Kliinilise keemia uuringud,,138,S-GGT(Gamma-Glutam��li transferaas),U/l,1
PAP test,,2457,Proovi adekvaatsus,,2
"Hallitusseente paneel 1 (P.notatum, C.herbarum, A. fumigatus, A. alternata, C. albicans) vastane IgE seerumis",,S-mp1_IgE,,kU/l,11
Folliikuleid stimuleeriv hormoon seerumis,,S-FSH,,IU/l,2
Uriini sademe mikroskoopia,,U-Sedim,Tuubulussilindrid,s/vv,1
Kliiniline labor,,10151,erütrotsüüdid,,9
C-reaktiivne valk (CRV),,S-CRP,C-reaktiivne valk,mg/L,246
Mikrobioloogia labor (haigla),,30259,Kinupristiin-Dalfopristiin MI,,1
Hemostasiogramm,"",TRAP-trombiiniretseptoritaktiveerivapeptiiditoimel,TRAP - trombiini retseptorit aktiveeriva peptiidi toimel,,10
Hematoloogilised uuringud /Tallinna Labo,,965,MCH,pg,2
Antinukleaarsed antikehad,,S-aNA,S-aNA,-,1
Kliinilise keemia uuringud,,451,Reumatoidfaktor,kU/l,15
uurea,,Urea,Urea,mmol/l,247
Happe-alus tasakaal,Venoosne veri,SBE,SBE,,1
Liikvori analüüs,"",,CSF-Alb,,1
Antineuronaalsete antikehade paneel seerumist,,S-aNeu,Hu-akrediteeritud,-,3
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),,B-CBC-5Diff,LYMPH%,%,22
Happe-alustasakaal venoosses veres,,vB-pH,p50,mmHg,8
"Bilirubiin, üldine",,S-Bil_,S-Bil,umol/L,6
Aktiveeritud osaliste tromboplastiinide aeg plasmas,,P-APTT,Aktiveeritud osaliste tromboplastiinide aeg,sek,12
Eosinofiilid veres %,,,,,15
Mikrobioloogia analüüs,WD - <ANONYM id="7" type="per" morph="_S_ sg n"/>,MIKMikroobid,MIK Mikroobid,,6
Spetsiifiline IgE allergeenide segu suhtes,,S2-fp2_IgE,"IgE fp1 (maapähkel, sarapuu pähkel, brasiilia pähkel, mandel, kookospähkel)",kU/L,3
Mikrobioloogilised uuringud,,2169,U-Spn-Ag(Streptococcus pneumoniae antigeen immuunmeetodil (keskjoauriinist)),,38
Liikvori analüüs,"",CSF-muudrakud,CSF - muud rakud,,2
Treponema pallidumi vastased antikehad seerumis,,S-TPHA,S-TPHA,-,64
Hematoloogilised uuringud /Tallinna Labo,,976,% Lümfotsüüdid,%,2
Doonorvere sobivusproov geeltehnikaga,,B-XmB,8. sobivusproov,-,1
Immuunmeetoditel põhinevad uuringud,,72093,S-hCG(Koorioni gonadotropiin),U/l,5
Sarapuu õietolmu vastane IgE seerumis,,S-t4_IgE,S-f14 IgE,kU/l,1
Kliinilise keemia uuringud,,3326,Kusihap,mkmol/l,1
% Monotsüüdid,,,,,22
DNA analüüs PCR-meetodil,,DNA_analüüs_PCR-meetodil,Hingamisteede bakterite DNA paneel,-,1
Happe-alus tasakaal,,71706,Anion gap (K+),,3
Borrelia burg. IgM antikehad,,,S-aBorr.bur IgM,,9
PAP test: Vulva,,3465,Lameepiteeli kirjeldu,,1
Immunoloogilised uuringud,,63,anti-TPO antikeha,U/ml,36
Tsüklilise tsitrulleeritud peptiidi vastased IgG,,"S,P-CCP_IgG","S,P-CCP IgG",kU/l,27
Happe-alus tasakaal,Areteriaalne veri,mOsm,mOsm,,201
Kliiniline labor,,10085,Lümfotsüüdi,%,7
Seroloogilised uuringud,,7519,Antikehad(LH patsiendi antikehad),,1
Immuunuuringud,,2007,CA 15-3,kU/l,3
"Epstein-Barr viiruse vastane IgM, IgG seerumis",,S-EBV_IgMG,Epstein-Barr viiruse kapsiidi antigeeni vastase IgG aviidsus seerumis,-,23
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC+Diff,PDW Trombotsüütide anisotsütoosi näitaja,fL,1862
Immunohematoloogilised uuringud,,1291,Rh(D),,1
"M.tuberculosis, külv, bioptaadist",,Bx-Tbc,Bx-Tbc,-,1
Chlamydia pneumoniae vastased IgM antikehad,,S-aCpnM,S-aCpnM,-,2
Immuunhematoloogilised uuringud,,11253,Rh (D) kuuluvu(Rh (D) kuuluvus),,1
Chl trachomatis DNA,,Chl_trachomatis_DNA,Chl trachomatis DNA,-,8
Uriini uuringud,,1500,Ketokehad,,9
Mikrobioloogia labor (haigla),,10234,Wdt-Ae(Aeroobide uuring haavaeritisest (tampooniga)),,2
Laktaat,,aB-Lac-n,Lac,mmol/L,3
Biokeemia analüüs,"",S-Paracet(paratsetamool),S-Paracet (paratsetamool),,1
Tuulerõugeviiruse vastane IgM seerumis,,S-VZV_IgM,S-VZV IgM,-,1
PAP test,,4256,Proovi adekvaatsus,,1
"Happekindlad bakterid, mikroskoopia, seljaajuvedelikus",,CSF-Mycob,CSF-Mycob,-,1
Glükeeritud hemoglobiin A1C fraktsioon,,B-HbA1C,"Glükeeritud hemoglobiin, A1C fraktsioon",%,16
Maksa autoimmuunhaigustega seotud IgG seerumis,,S-Liver_(panel),Ro-52 vastane IgG seerumis,-,45
"Hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",,B-CBC-5DIFF-NRBC-RET,P-LCR,%,28
Hematoloogilised uuringud,,5702,PC(Trombokrit),%,6
Uriini analüüs,juhuslik uriin,U-NitNitrit,U-Nit Nitrit,,98
Hemogramm (vere automaatuuring leukogrammita),,B-CBC,RDW-CV,%,74
Immunoloogia,,144,CEA,ng/ml,39
Astsiidivedeliku tsütogramm,,As-Diff,Astsiidivedeliku mesoteelirakud,-,1
Toksikoloogilised uuringud,,1080,U-OP(Opiaadid uriinis),ng/ml,2
Kliinilise keemia uuringud,,568,Glükoo,mmol/l,1
Immuunuuringud,,45061,AFP,kU/l,3
Vitamiin D (25-OH),,,,,8
Immuunmeetoditel uuringud,seerum,d1/spIgEDermatophagoidesp,d1 / sp IgE Dermatophagoides p,,21
Mikrobioloogilised uuringud,,61842,Ofloksatsii(Ofloksatsiin),,2
Biokeemia labor (haigla),,3934,INR,,1
Pankrease amülaas,,P-Amyl-pancr,P-Amyl-pancr,U/L,28
Prolaktiin,,S-Prol,,mIU/L,1
Uriini sademe mikroskoopia,,U-Sedim,Kusihappe kristallid (U),,19
Kliiniline vereanalüüs,"",RET-He,RET-He,,220
Vere automaatuuring 3-osalise leukogrammiga,,B1-A3Diff,MO%,%,13
Hematoloogilised uuringud,,621,%EOS(Eosinofiilid protsent),%,1229
Hematoloogilised uuringud,,2697,Neutrofiilide %,%,2
Immuunmeetoditel uuringud,seerum,S-AMAIF/M2tüüpimitokondrivastaneIgGseerumis,S-AMA IF / M2 tüüpi mitokondrivastane IgG seerumis,,5
Minimaalse inhibeeriva kontsentratsiooni määramine ühes preparaadis,,Minimaalse_inhibeeriva_kon,Vankomütsiin,-,2
Hematoloogilised ja uriini uuringud,,11114,MONO#(MONO#),10 l,255
Mikrobioloogia labor (haigla),,30208,Meropeneem MIK,,2
PAP test,,2404,Lameepiteeli beniigsed muutused,,1
Mikrobioloogilised uuringud,,58316,Beetalaktamaas test(Beetalaktamaas test),,1
Gripp A IgA,,S1-grippA_IgA,GrippA-IgA,-,1
Glükohemoglobiin veres,,,HbA1c (mmol/mol),mmol/mol,94
Immunohematoloogia,,146215,4 BC,,1
Hematoloogilised uuringud,,699,PLT(Trombotsüütide arv),10 U/l,360
Punktaadi analüüs,"",PlrF-MN%,PlrF - MN %,,3
Chlamydophila pneumoniae vastane IgA seerumis,,S-C_pneumoniae_IgA,S-C pneumoniae IgA,U,7
Kliinilise keemia uuringud,,621,HbA1,%,1
Lümfotsüütide alaklassid veres,,B-Lymph,T-helperrakkude (CD4) arv,x/ul,1
Koprogramm ehk väljaheite lihtuuring,,F-Copro,Lima faeceses,-,1
Uriini sademe mikroskoopia,,U-Sed-m,Erütrotsütaarsilindrid,s/vv,1
Trichomonas vaginalis,,,,,1
Hematoloogia labori analüüsid,,211,P-LC,%,38
Uriini uuring 10-parameetrilise testribaga,,U-Strip,ERY,.,308
Allergeenspetsiifilised IgE antikehad seerumis,,S-Toidu_allerg._IgE,Sarapuupähkel,IU/ml,22
Happe-alus tasakaal,,Karboksühemoglobiin,Karboksühemoglobiin,,1
Mikrobioloogia analüüs,BL - <ANONYM id="12" type="per" morph="_S_ sg n"/>,Leid,Leid,,2
Immuunmeetoditel uuringud,seerum,fx1paneeltoiduallergeenidesuhtes,fx1 paneel toiduallergeenide suhtes,,12
Immuunmeetodi uuringud,,2101,Anti-TPO,IU/ml,7
DNA analüüsid,,824,T. vaginalis DNA,,1
Mikrobioloogia analüüs,BL - <ANONYM id="14" type="per" morph="_S_ sg n"/>,,Faaskontrast preparaat,,3
Hemogramm,,B-CBC,PDW,%,4
Immunoloogilised uuringud,,62,TSH,mU/l,394
Mikrobioloogilised uuringud,,71925,Mikonasoo,,3
Naturaalsed toiduallergeenid,,Sk-T-Na,<ANONYM>,mm,14
Mikrobioloogilised uuringud,,146078,Imipeneem,,1
Automaatuuring,,M-Automaatuuring,MID,10 9 /l,127
Bilirubiin,,S-Bil,S-Bil,umol/L,270
Kliiniline labor (haigla),,10184,BI,umol/l,18
Mikrobioloogia analüüs,JT - Liigesvedelik,CLIKlindamütsiin,CLI Klindamütsiin,,1
Vere automaatuuring 5-osalise leukogrammiga X,,B-CBC+Diff,<ANONYM>%,%,26
Mikrobioloogia analüüs,BL - <ANONYM id="1" type="per" morph="_S_ sg n"/>,MIKMikroobid,MIK Mikroobid,,13
Beeta-2-glükoproteiin1 vastased antikehad seerumis,,S-b2-GP1_Ab,,U/mL,2
"Mycoplasma genitalium, PCR, ureetrast",,Um-Myge-PCR,Um-Myge-PCR,-,2
Happe-alus tasakaal,"",Kehatemperatuur,Kehatemperatuur,,5
Biokeemilised uuringud,,91,S-ASAT 2,U/l,2
Mikrobioloogilised uuringud,,59861,Klaritromütsiin(Klaritromütsiin),,1
Puukentsefaliidi viiruse vastased IgM-antikehad seljaajuvedelikus,,CSF-aTBEM,Puukentsefaliidi viiruse vastased IgM antikehad seljaajuvedelikus,-,2
PAP test,,2398,Põletiku tekitajad,,1
Mikrobioloogilised uuringud,,30110,Ampitsilliin MI,,1
Mikrobioloogilised uuringud,,58763,Erütromütsiin(Erütromütsiin),,1
Biokeemilised uuringud,,3902,S-Glu(Glükoos seerumis),mmol/l,6
Ektsraheeritavate tuuma- ja tsütoplasmaantigeenide vastased antikehad seerumis,,S-aENA,aHiston,-,10
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,,B-CBC+Diff+NRBC,NEUT%,%,4
Seroloogia,,123,TPH,tiiter,4
"RPR (Rapid Plasma Reagin) test, tiiter",,S-RPR-t,RPR tiiter,-,6
Väljast tellitud analüüsid,"",FISHanalüüsluuüdist,FISH analüüs luuüdist,,1
Hematoloogilised uuringud,,70916,Er.fragmendid,korda,1
"Puukentsefaliidi viiruse vastased antikehad, seerumist",,"S-TBE-M,G",TBE-IgM,-,1
Hematoloogilised uuringud /Tallinna Labo,,977,Abs. arv Neutrofiilid,x 10 9/L,2
PAP test: ESV,,3437,Erütrotsüüdi,,1
Happe-alus tasakaal,,71680,Na+,mmol/l,4
Biokeemia labor,,87,C-reaktiivne valk,mg/l,31
GGT - Gammaglutamüüli transferaas,,S-GGT,Gammaglutamüüli transferaas,U/L,343
Hematoloogilised uuringud,,397,MPV,%,16
"Campylobacter sp.IgM antikehad ELISA meetodil, seerumist",,S-aCamp-M,Campylobacter sp. IgM seerumist,-,1
Treponema pallidum vastased antikehad seerumis,,S-T_pallidum_Ab,S-T pallidum Ab,-,69
Mikrobioloogia analüüs,WD - <ANONYM id="1" type="per" morph="_S_ sg n"/>,MIKMikroobid,MIK Mikroobid,,5
Hematoloogilised uuringud,,5714,RDWR,%,50
Seente uuring tupeeritisest,,Va-Myc,Va-Myc,,7
Mikrobioloogia analüüs,BR - Bronhiaalaspiraat,AMSAmpits.sulb.,AMS Ampits.sulb.,,5
Vere automaatuuring 3-osalise leukogrammiga,,B-A3Diff,NEUT#,10^3/uL,11
Mikrobioloogia labor (haigla),,30108,Tseftriaksoon MI,,1
Punktaadi analüüs,Pleuravedelik,S-LDHseerumis,S-LDH seerumis,,1
hemogramm,,B-CBC-3Diff,RBC,10 12 /l,11
Erütrotsüüdid veres 10E12/l,,,,,201
Autoimmuunuuringud,,2586,ds-DNA IgG,IU/ml,1
Tsink seerumis,,,S-Zn (Q),mg/L,1
Kliinilise keemia uuringud,,584,Kusihap,mkmol/l,1
Veregaasid,,VEREGAASID,O2 Sat,%,42
PAP test,,2458,Lameepiteeli kirjeldus,,2
TBC mikrobioloogia analüüs,SF - Liikvor,Akridiinivärving,Akridiini värving,,1
Glükoos uriinis,,,,,1
Uriini uuringud,,1201,dDiurees(Ööpäevane diurees),l,9
Gram-negatiivsete bakterite DNA veres,,B-Gneg_DNA,K.pneumoniae/oxytoca,-,6
täisveri,,B-täisveri,,10 9 /l,2
Epstein-Barr viiruse vastaste antikehade paneel seerumis,,S-EBV_Ab,EBV kapsiidi vastane IgG,-,1
Mikrobioloogia analüüs,WD - <ANONYM id="42" type="per" morph="_S_ sg n"/>,HLKHulk,HLK Hulk,,1
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,,B-CBC+Diff+NRBC,EO%,%,4
Liikvori analüüs,Liikvor,CSFDiffLiikvoritsütogramm(mikroskoopia),CSFDiff Liikvori tsütogramm (mikroskoopia),,8
Kliinilise keemia uuringud,,40161,Raud,mkmol/l,17
uriini sademe mikroskoopia,,U-Sed-m,bakterid,-,74
Happe-alus tasakaal,,70385,SBEc,mmol/l,13
Liikvori tsütogramm,,CSF-Diff,NEUT%,%,1
Happe-alus tasakaal,"",pH(T),pH(T),,5
Glükoos seerumis,,S-Gluc,,mmol/L,39
Mikrobioloogia PCR meetodil,"",HumanEnterovirusRNA,Human Enterovirus RNA,,20
Uriini analüüs 10-parameetrilise testribaga,,U-Strip,Glükoos (U),mmol/L,327
Vere automaatuuring leukogrammita,,B-CBC,RBC,10^12/L,47
Hüübimise uuringud,,4816,Vaba proteiin S(PERH hüübimine Vaba proteiin S),%,7
Immuunmeetoditel uuringud,"",,f5 / sp IgE rukise suhtes,,1
Hematoloogilised uuringud,,2466,B-Diff-Mono-ar,10 l,5
Kliiniline vereanalüüs,"",Vähegranuleeritudneutrofiilid,Vähe granuleeritud neutrofiilid,,4
Chlam. pneum. IgA antikehad,,,S-aCh.pn.IgA,EIU,5
ABO veregrupi ja Rh(D) määramine tasapinnal,,B-ABO-g,ABO ja Rh tasapinnal,-,50
Glükoosi profiil kapillaarverest,,cB-Gluco-P,Glükoos 7.00,mmol/l,187
Uriini uuring 10-parameetrilise testribaga,,U-Strip,SG,-,1
Hematoloogilised uuringud,,622,3 B-Baso%(Basofiilide suhtarv),%,3
Tupeeritise mikroskoopiline uuring,,Va-Bsk,Epiteelid,-,13
Reumatoidfaktor seerumis,,S-RF,,IU/ml,13
Uriini analüüs,juhuslik uriin,U-Alb/U-CreaAlbumiinijakreatiniinisuheuriinis,U-Alb/U-Crea Albumiini ja kreatiniini suhe uriinis,,2
Hemostasiogramm,"",LA-sõeluuring-Luupusantikoagulantidetest/kvalit,LA-sõeluuring - Luupus antikoagulantide test/kvalit,,55
"Allergiapaneel, spetsiifiliste IgE antikehade määramine (immunoblot), vereseerumist",,S-IgE-Spec-2,Tomat,-,1
Algmateriali mikroskoopiline uuring fiks. värvit. prepar.,,Algmaterjali_mikroskoopia,66522 Samastamine,-,6
Väljast tellitud analüüsid,"",HLAICwPCR66619,HLA I Cw PCR 66619,,1
Mikrobioloogilised uuringud,,70418,Ft-EHEC(E. coli enterohemorragiline väljaheitest tampooniga),,3
Parathormoon,,PTH,Paratüreoid hormoon,pmol/L,2
Inhaleeritud allergeenispetsiifilised IgE antikehad seerumis,,S-_Inhal_allerg._IgE,Hamster,IU/ml,26
Kliiniline vere ja glükohemoglobiini analüüs,"","CBC,RET","CBC,RET",,1
Mikrobioloogia analüüs,BL - <ANONYM id="24" type="per" morph="_S_ sg n"/>,MIKMikroobid,MIK Mikroobid,,2
Kliiniline labor,,10178,P-LC,%,432
Amülaas,,S-Amyl,S-Amyl,U/L,109
Nakkushaiguste diagnostika,,4806,HCV Ab,,8
Hematoloogilised uuringud,,45,Lümfotsüüdi,%,13
Immuunmeetoditel uuringud,täisveri,Enterobactercloacae/aerogenesDNART-PCRmeetodiltäisveres,Enterobacter cloacae/aerogenes DNA RT-PCR meetodil täisveres,,1
Uriini analüüs,,Valk,Valk,,5
Hematoloogilised uuringud,,146172,11 B-HFLC(High fluorescence lymphocytes),%,1
Liikvori uuringud,,11518,CSF-Glu(Glükoos liikvoris),mmol/l,17
Hematoloogilised ja uriini uuringud,,10703,U-Pro(Valk uriinis),,13
Mikrobioloogia analüüs,WD - <ANONYM id="13" type="per" morph="_S_ sg n"/>,FRATsefuroksiim,FRA Tsefuroksiim,,1
Mikrobioloogia labor (haigla),,30144,Kinupristiin-dalfopristiin MIK,,3
Nakkushaiguste diagnostika,,4809,RPR tiiter (NB! ravi jälgimiseks),,1
ferritiin,,06-ferritiin,06-ferritiin,ng/ml,4
"Mycoplasma genitalium uriinist, PCR-meetodil",,U-Mg-PCR,U-Mg-PCR,-,11
PAP test: Tupe tagumine võlv,,1633,Plasmaraku,,3
Immuunmeetoditel uuringud,"",,Mycoplasma pneumoniae vastane IgM seerumis,,2
eGFR (MDRD),,,,,129
Immuunmeetoditel uuringud,"",anti-ENA:anti-Jo-1,anti-ENA: anti-Jo-1,,2
Hemogramm 5-osalise leukogrammiga,,B-CBC+Diff,MCH,pg,97
"Bilirubiin, üldine",,S-Bil,S-Bil,µmol/l,44
Uriini uuringud,,8,"Valk(Uriini valk, üks parameeter 10 parameetrilisel testribal)",g/l,45
Mikrobioloogia analüüs,WD - <ANONYM id="29" type="per" morph="_S_ sg n"/>,,CIP Tsiprofloksatsiin,,1
Kasvajaantigeen S-100 seerumis,,S-S-100,S100 proteiin,ug/L,3
"Chlamydia trachomatis uriinist, PCR-meetodil",,U-Ctr-PCR,U-Ctr-PCR,-,9
LDL-kolesterool paastuseerumis,,,fS-LDL-Chol,mmol/L,136
Valkude fraktsioonid seerumis elektroforeetiliselt,,S-Prot-fr,ß1 globuliin,-,2
Hematoloogilised uuringud,,3321,Retikulotsüüdid,%,2
Nisujahu (F4),,,,,2
Punktaadi analüüs,"",Glükoospunktaadis,Glükoos punktaadis,,4
Sarapuupähkel (F17),,,,,2
Biokeemilised uuringud,,95,S-Aluseline fosfataa,U/l,82
Uriini analüüs,1.hommikune uriin,Düsmorfseiderütrotsüüdid,Düsmorfseid erütrotsüüdid,,9
Biokeemia analüüs-normis; kliiniline vereanalüüs:,"",MPV,MPV,,1
Kliiniline labor,,10171,HGB,g/l,1219
Mikrobioloogilised uuringud,,144319,EB Tsefoksitiin,,2
Vere automaatuuring,,B1-CBC,RBC,10^12/L,188
Seroloogilised uuringud,,147230,Mycoplasma pneumoniae IgA(Mycoplasma pneumoniae vastased IgA antikehad),EIU,8
Biokeemia labor (haigla),,3444,HCO,mmol/l,1
Uriini sademe mikroskoopia,,,Bakterid,,16
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),,B-CBC-5Diff,BASO#,10^9/L,22
Vere automaatuuring 5-osalise leukogrammiga,,B1-Vereanalüüs-Sysmex,HGB,g/L,1
Ureaplasma urealyticum/Ureaplasma parvum PCR meetodil,,Vag-Uu/Up-PCR,Vag-Uu/Up-PCR,-,4
Mikrobioloogilised uuringud,,578,Ceftasidii,,1
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC+Diff,NEUT Neutrofiilide absoluutarv,10*9/L,1866
Mikrobioloogia analüüs,<ANONYM id="2" type="per" morph="_Y_ ?"/> - Vagina,Uuringueesmärk,Uuringu eesmärk,,2
Hematoloogilised uuringud,,164,B-WBC(Leukotsüütide üldarv),10 l,8
Happe-leelis tasakaal,,71697,tO2c,Vol%,2
Gliadiinivastased IgA antikehad,,S-aGA-A,S-aGA-A,U/mL,1
Mikrobioloogilised uuringud,,703,Polümorfonukleaarsed leukotsüüdid,,16
Hematoloogilised uuringud,,621,9 B-Eo%(Eosinofiilide suhtarv),%,1
HIV-1 antiretroviirusravimite genotüüpilise resistentsuse uuring verest,,B-HIV-1_ARVDres,FPV,-,2
Mikrobioloogia analüüs,BL - <ANONYM id="21" type="per" morph="_S_ sg n"/>,Faaskontrastpreparaat,Faaskontrast preparaat,,2
Immunofluorests.-uuring kommertssl.,,66712_Go,6836Clamydia trachomatis,-,3
Doonorvere sobivusproov,,B-XmB,2.sobivusproov,-,51
Kolmiktest,,,Vaba östriool HK:66706,ng/ml,2
Autoimmuundiagnostika,,147144,S-NMDA IgG,,8
Happe-aluse tasakaalu uuring,,aB-pH,pO2(A-a),mmHg,11
LTKH allhanked,,1370,S-Ins(Insuliin),mIU/l,2
Koprogramm ehk väljaheite lihtuuring,,F-Copro,Leukotsüüdid,rakku/vv,5
Hematoloogilised uuringud,,70907,Suured teralised lümfotsüüdi,%,112
Mikrobioloogilised uuringud,,144563,Ampitsilliin,,7
Immuunmeetoditel uuringud,seerum,fx5E/spIgEtoiduallpaneeli,fx5E /sp IgE toiduall paneeli,,14
"Vere automaatuuring 5-osalise leukogrammiga,normoblastidega ja retikulotsüütidega",,B-CBC+Diff+NRBC+RET,MCH,pg,9
Müogloglobiin,,S-Myogl,,ug/L,1
Väljaheite uuringud,,147169,St-Calpro(Kalprotektiin roojas),,16
HIV ja hepatiidi uuringud,,1433,HBs Ak (mIU/mL),IU/l,27
Hemostasiogramm,"",,P-TT Trombiini aeg,,1
Immuunmeetoditel uuringud,"",,S-AspAg / Aspergilluse antigeen,,1
Alfafetoproteiin,,S-AFP,,IU/mL,2
Biokeemia labor (haigla),,10473,S2-HD,mmol/l,3
"Streptococcus agalactiae, GBS uuring emakakaelakanalikaapelt",,Cx-Str,Cx-Str,-,1
Kliiniline vereanalüüs,"",Gumprehtivarjud,Gumprehti varjud,,12
Mikrobioloogia analüüs,AB - Kõhuõõne vedelik,MERMeropeneem,MER Meropeneem,,1
Ferritiin seerumis,,S-Fer,,ug/l,7
Allergeenspetsiifilised IgE antikehad seerumis,,S-Toidu_allerg._IgE,Nisujahu,IU/ml,22
Happe-alus tasakaal,,70355,pH(Vesinikiooni kontsentratsioon),,15
Koliini esteraas seerumis,,S2-ChE,S2-ChE,-,1
Kliinilise keemia uuringud,,10984,B-HbA1c-IFCC,mmol/mol,142
Uriini analüüs,,Kamberloenduseleukotsüüdid,Kamberloenduse leukotsüüdid,,1
Borrelia burgdorferi vastane IgM seerumis (kinnitav uuring),,S-B_burgdorferi_IgM_conf,S-B burgdorferi IgM conf,-,18
Immuunuuringud,,1363,Vitamiin D (25-OH),nmol/l,2
Väljaheite uuringud,,3658,Campylobacter,,4
Vere automaatuuring 5-osalise leukogrammiga,,B1-Vereanalüüs-Sysmex,HCT,%,1
Biokeemia analüüs,seerum,fS-Transf.sat(transferriinisaturatsioon),fS-Transf.sat (transferriini saturatsioon),,4
Hemogramm viieosalise leukogrammiga,,B-CBC-5Diff,Lymph#,10\9/l,4916
uriini autom,,U-uriini_autom,valk,-,71
Hematoloogilised uuringud,,146172,3 B-HFLC(High fluorescence lymphocytes),%,3
Uurea,,P-Urea,P-Urea,mmol/L,212
Seroloogia,,117,Chlamydia pneumoniae Ig,IU/l,6
Liikvori analüüs,Liikvor,,CSF-Ig-oligo Immuunglobuliinid (oligoklonaalsed) liikvoris,,1
Punktaadi analüüs,"",Rakkudediferentsneutrofiilid,Rakkude diferents neutrofiilid,,5
Mikrobioloogia labor (haigla),,30331,Mikroobi kogu,,16
Nõgese vastane IgE seerumis,,S-w20_IgE,S-f14 IgE,kU/l,1
Gram-negatiivsete bakterite DNA veres (real-time PCR-meetodil),,B-Gneg_DNA,P.aeruginosa,-,45
Kasvaja-antigeen CA 19-9,,S-CA_19-9,S-CA 19-9,-,16
Hematoloogilised uuringud,,643,B-PCT(Trombokrit),%,2
Allergia testid,"",kaerajahu,kaerajahu,,2
Seroloogia,,62,AB0 veregrupp ja Rh(D),,13
Vere automaatuuring 3-osalise leukogrammiga,,B-A3Diff,NEUT% (W-LCR),%,916
Laboratoorne hematoloogia,,131,RDW-CV,%,29
Biokeemia analüüs,"",S-Bil-conj(bilirubiinkonjugeeritud),S-Bil-conj (bilirubiin konjugeeritud),,361
Kreatiinkinaasi MB isoensüüm,,S-CK-MBm,S-CK-MBm,ng/mL,54
Mikrobioloogilised uuringud,,67550,Nimetus(Enterobakterid),,1
Punktaadi analüüs,Pleuravedelik,PlrF-MNarv,PlrF - MN arv,,6
Mikrobioloogilised uuringud,,927,Tetrats. 8,,3
Mikrobioloogilised uuringud,,65931,Tsiprofloksatsiin(Tsiprofloksatsiin),,1
C-hepatiidi viiruse vastased antikehad seerumis,,S-HCV_Ab,C-hepatiidi viiruse vastased antikehad seerumis,-,7
Mikrobioloogia analüüs,SW - Kir.haav,AMSAmpits.sulb.,AMS Ampits.sulb.,,4
Hematoloogilised uuringud,,606,10 B-RBC(Erütrotsüüdid veres),/pL,1
Väljast tellitud analüüsid,"",PneumocystitisJirovecitsüstid,Pneumocystitis Jiroveci tsüstid,,1
Immuunmeetoditel uuringud,"",,f 218 sp IgE paprika suhtes,,1
