analysis_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
Enteropatogeenide külvi paneel roojast,St-Enteropathogens culture panel,Enteropatogeenide külv roojast (paneel),Enteropatogeenide külvi paneel roojast,L-2245,,kasutatav_nimetus
Enteropatogeenide külv roojast (paneel),St-Enteropathogens culture panel,Enteropatogeenide külv roojast (paneel),Enteropatogeenide külvi paneel roojast,L-2245,,t_nimetus
Enteropatogeenide külv täpsustamata materjalist (paneel),XXX-Enteropathogens culture panel,Enteropatogeenide külv täpsustamata materjalist (paneel),Enteropatogeenide külvi paneel,L-4083,,t_nimetus
EPS-Microscopy panel,EPS-Microscopy panel,Eesnäärme sekreedi mikroskoopia,Eesnäärme sekreedi mikroskoopia,L-2003,,t_lyhend
Epstein-Barr viiruse vastane IgG seerumis/plasmas (paneel),"S,P-EBV IgG panel",Epstein-Barr viiruse vastane IgG seerumis/plasmas (paneel),EBV IgG paneel,L-1903,,t_nimetus
Epstein-Barr viiruse vastane IgM seerumis/plasmas (paneel),"S,P-EBV IgM panel",Epstein-Barr viiruse vastane IgM seerumis/plasmas (paneel),EBV IgM paneel,L-1902,,t_nimetus
Epstein-Barr viiruse vastased antikehad seerumis/plasmas (paneel),"S,P-EBV Ab panel",Epstein-Barr viiruse vastased antikehad seerumis/plasmas (paneel),EBV Ab paneel,L-3272,,t_nimetus
EPS-Test panel,EPS-Test panel,Eesnäärme sekreedi analüüside paneel,Eesnäärme sekreedi analüüside paneel,L-3495,,t_lyhend
Fabry tõve paneel vereplekist (mees),BS-Fabry Disease panel (male),Fabry tõve paneel vereplekist (mees),Fabry tõve paneel vereplekist (mees),62304-1,Bld,kasutatav_nimetus
Fabry tõve paneel vereplekist (naine),BS-Fabry Disease panel (female),Fabry tõve paneel vereplekist (naine),Fabry tõve paneel vereplekist (naine),L-4519,,kasutatav_nimetus
Fasting test,Fasting test,Paastutest,Paastutest,L-3489,,t_lyhend
Fenüülalaniini ja türosiini paneel (tandem MS),BS-Phe-Tyr panel,Fenüülalaniini ja türosiini paneel vereplekist (tandem MS),Fenüülalaniini ja türosiini paneel (tandem MS),L-3498,,kasutatav_nimetus
Fenüülalaniini ja türosiini paneel vereplekist (tandem MS),BS-Phe-Tyr panel,Fenüülalaniini ja türosiini paneel vereplekist (tandem MS),Fenüülalaniini ja türosiini paneel (tandem MS),L-3498,,t_nimetus
Fetaalne hemoglobiin ja hemoglobiin looteveres (paneel),"B-HbF, Hb panel",Fetaalne hemoglobiin ja hemoglobiin looteveres (paneel),"HbF, Hb paneel",L-4502,,t_nimetus
"FLT3 D835, ITD DNA paneel","B-FLT3 D835, ITD DNA panel",FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA veres (paneel),"FLT3 D835, ITD DNA paneel",L-1185,,kasutatav_nimetus
FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA luuüdis (paneel),"Bm-FLT3 ITD, D835 DNA panel",FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA luuüdis (paneel),"FLT3 ITD, D835 DNA paneel luuüdis",L-1188,,t_nimetus
FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA veres (paneel),"B-FLT3 D835, ITD DNA panel",FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA veres (paneel),"FLT3 D835, ITD DNA paneel",L-1185,,t_nimetus
"FLT3 ITD, D835 DNA paneel luuüdis","Bm-FLT3 ITD, D835 DNA panel",FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA luuüdis (paneel),"FLT3 ITD, D835 DNA paneel luuüdis",L-1188,,kasutatav_nimetus
Folliikuleid stimuleeriva hormooni vastased IgA ja IgG seerumis/plasmas (paneel),"S,P-FSH IgAG panel",Folliikuleid stimuleeriva hormooni vastased IgA ja IgG seerumis/plasmas (paneel),"FSH IgA, IgG paneel",L-492,,t_nimetus
"FSH IgA, IgG paneel","S,P-FSH IgAG panel",Folliikuleid stimuleeriva hormooni vastased IgA ja IgG seerumis/plasmas (paneel),"FSH IgA, IgG paneel",L-492,,kasutatav_nimetus
Gangliosiidide IgG paneel,"S,P-Gangliosides IgG panel",Gangliosiidide vastane IgG seerumis/plasmas (paneel),Gangliosiidide IgG paneel,L-3452,,kasutatav_nimetus
Gangliosiidide IgM paneel,"S,P-Gangliosides IgM panel",Gangliosiidide vastane IgM seerumis/plasmas (paneel),Gangliosiidide IgM paneel,L-3528,,kasutatav_nimetus
Gangliosiidide vastane IgG seerumis/plasmas (paneel),"S,P-Gangliosides IgG panel",Gangliosiidide vastane IgG seerumis/plasmas (paneel),Gangliosiidide IgG paneel,L-3452,,t_nimetus
Gangliosiidide vastane IgM seerumis/plasmas (paneel),"S,P-Gangliosides IgM panel",Gangliosiidide vastane IgM seerumis/plasmas (paneel),Gangliosiidide IgM paneel,L-3528,,t_nimetus
Gastriidi paneel,"S,P-Gastritis panel",Gastriidi paneel seerumis/plasmas,Gastriidi paneel,L-3505,,kasutatav_nimetus
Gastriidi paneel (kitsendatud),"S,P-Gastritis panel, short",Gastriidi paneel (kitsendatud) seerumis/plasmas,Gastriidi paneel (kitsendatud),L-3506,,kasutatav_nimetus
Gastriidi paneel (kitsendatud) seerumis/plasmas,"S,P-Gastritis panel, short",Gastriidi paneel (kitsendatud) seerumis/plasmas,Gastriidi paneel (kitsendatud),L-3506,,t_nimetus
Gastriidi paneel seerumis/plasmas,"S,P-Gastritis panel",Gastriidi paneel seerumis/plasmas,Gastriidi paneel,L-3505,,t_nimetus
Gaucheri tõve paneel vereplekist,BS-Gaucher Disease panel,Gaucheri tõve paneel vereplekist,Gaucheri tõve paneel vereplekist,62311-6,Bld,t_nimetus
GH stimulation test (arginine),GH stimulation test (arginine),Kasvuhormooni stimulatsioonitest arginiiniga,Kasvuhormooni stimulatsioonitest arginiiniga,L-3481,,t_lyhend
GH stimulation test (glycagon),GH stimulation test (glycagon),Kasvuhormooni stimulatsioonitest glükagooniga,Kasvuhormooni stimulatsioonitest glükagooniga,L-3480,,t_lyhend
Gliadiinivastased IgA ja IgG seerumis/plasmas (paneel),"S,P-AGA IgAG panel",Gliadiinivastased IgA ja IgG seerumis/plasmas (paneel),"AGA IgA, IgG paneel",57776-7,Bld,t_nimetus
Glükohemoglobiin veres (paneel),B-HbA1c panel,Glükohemoglobiin veres (paneel),HbA1c paneel,L-3757,,t_nimetus
Glükohemoglobiin veres POCT (paneel),B-HbA1c POCT panel,Glükohemoglobiin veres POCT (paneel),HbA1c POCT paneel,L-3760,,t_nimetus
Glükoolide paneel,"S,P-Glycol panel",Glükoolid seerumis/plasmas (paneel),Glükoolide paneel,L-4874,,kasutatav_nimetus
Glükoolid seerumis/plasmas (paneel),"S,P-Glycol panel",Glükoolid seerumis/plasmas (paneel),Glükoolide paneel,L-4874,,t_nimetus
"Glükoosi taluvuse proov (0, 120 min)","GTT (0, 120 min)","Glükoosi taluvuse proov (0, 120 min)","Glükoosi taluvuse proov (0, 120 min)",L-240,,kasutatav_nimetus
"Glükoosi taluvuse proov (0, 60, 120 min)","GTT (0, 60, 120 min)","Glükoosi taluvuse proov (0, 60, 120 min)","Glükoosi taluvuse proov (0, 60, 120 min)",L-3006,,kasutatav_nimetus
"Glükoosi taluvuse proov + insuliin (0, 120 min)","GTT + insulin 0, 120 min","Glükoosi taluvuse proov koos insuliiniga (0, 120 min)","Glükoosi taluvuse proov + insuliin (0, 120 min)",L-3470,,kasutatav_nimetus
"Glükoosi taluvuse proov + insuliin (0, 60, 120 min)","GTT + insulin 0, 60, 120 min","Glükoosi taluvuse proov koos insuliiniga (0, 60, 120 min)","Glükoosi taluvuse proov + insuliin (0, 60, 120 min)",L-3471,,kasutatav_nimetus
Glükoosi taluvuse proov + kasvuhormoon,GTT + GH,Glükoosi taluvuse proov koos kasvuhormooniga,Glükoosi taluvuse proov + kasvuhormoon,L-3472,,kasutatav_nimetus
"Glükoosi taluvuse proov koos insuliiniga (0, 120 min)","GTT + insulin 0, 120 min","Glükoosi taluvuse proov koos insuliiniga (0, 120 min)","Glükoosi taluvuse proov + insuliin (0, 120 min)",L-3470,,t_nimetus
"Glükoosi taluvuse proov koos insuliiniga (0, 60, 120 min)","GTT + insulin 0, 60, 120 min","Glükoosi taluvuse proov koos insuliiniga (0, 60, 120 min)","Glükoosi taluvuse proov + insuliin (0, 60, 120 min)",L-3471,,t_nimetus
Glükoosi taluvuse proov koos kasvuhormooniga,GTT + GH,Glükoosi taluvuse proov koos kasvuhormooniga,Glükoosi taluvuse proov + kasvuhormoon,L-3472,,t_nimetus
Glükoosi taluvuse proov rasedal,GTT (pregnancy),Glükoosi taluvuse proov rasedal,Glükoosi taluvuse proov rasedal,L-3469,,t_nimetus
Glükoos QC paneel,"S,P-Gluc QC panel",Glükoos seerumis/plasmas (paneel kvaliteedikontrolliks),Glükoos QC paneel,L-4858,,kasutatav_nimetus
Glükoos seerumis/plasmas (paneel kvaliteedikontrolliks),"S,P-Gluc QC panel",Glükoos seerumis/plasmas (paneel kvaliteedikontrolliks),Glükoos QC paneel,L-4858,,t_nimetus
GnRH test,GnRH test,Gonadotropiini vabastava hormooni stimulatsioonitest,GnRH test,L-3477,,t_lyhend
Gonadotropiini vabastava hormooni stimulatsioonitest,GnRH test,Gonadotropiini vabastava hormooni stimulatsioonitest,GnRH test,L-3477,,t_nimetus
Gramnegatiivste bakterite DNA paneel,XXX-Gneg DNA panel,Gramnegatiivste bakterite DNA (paneel),Gramnegatiivste bakterite DNA paneel,L-3441,,kasutatav_nimetus
Gramnegatiivste bakterite DNA (paneel),XXX-Gneg DNA panel,Gramnegatiivste bakterite DNA (paneel),Gramnegatiivste bakterite DNA paneel,L-3441,,t_nimetus
Grampositiivsete bakterite DNA paneel,XXX-Gpos DNA panel,Grampositiivsete bakterite DNA (paneel),Grampositiivsete bakterite DNA paneel,L-3442,,kasutatav_nimetus
Grampositiivsete bakterite DNA (paneel),XXX-Gpos DNA panel,Grampositiivsete bakterite DNA (paneel),Grampositiivsete bakterite DNA paneel,L-3442,,t_nimetus
"GTT (0, 120 min)","GTT (0, 120 min)","Glükoosi taluvuse proov (0, 120 min)","Glükoosi taluvuse proov (0, 120 min)",L-240,,t_lyhend
"GTT (0, 60, 120 min)","GTT (0, 60, 120 min)","Glükoosi taluvuse proov (0, 60, 120 min)","Glükoosi taluvuse proov (0, 60, 120 min)",L-3006,,t_lyhend
GTT + GH,GTT + GH,Glükoosi taluvuse proov koos kasvuhormooniga,Glükoosi taluvuse proov + kasvuhormoon,L-3472,,t_lyhend
"GTT + insulin 0, 120 min","GTT + insulin 0, 120 min","Glükoosi taluvuse proov koos insuliiniga (0, 120 min)","Glükoosi taluvuse proov + insuliin (0, 120 min)",L-3470,,t_lyhend
"GTT + insulin 0, 60, 120 min","GTT + insulin 0, 60, 120 min","Glükoosi taluvuse proov koos insuliiniga (0, 60, 120 min)","Glükoosi taluvuse proov + insuliin (0, 60, 120 min)",L-3471,,t_lyhend
GTT (pregnancy),GTT (pregnancy),Glükoosi taluvuse proov rasedal,Glükoosi taluvuse proov rasedal,L-3469,,t_lyhend
Hantaviiruste IgG paneel,"S,P-Hantavirus IgG panel",Hantaviirustevastane IgG seerumis/plasmas (paneel),Hantaviiruste IgG paneel,L-4178,,kasutatav_nimetus
Hantaviiruste IgG paneel (kinnitav),"S,P-Hantavirus IgG conf panel","Hantaviirustevastane IgG seerumis/plasmas (paneel, kinnitav uuring)",Hantaviiruste IgG paneel (kinnitav),L-4179,,kasutatav_nimetus
Hantaviiruste IgM paneel,"S,P-Hantavirus IgM panel",Hantaviirustevastane IgM seerumis/plasmas (paneel),Hantaviiruste IgM paneel,L-5251,,kasutatav_nimetus
Hantaviirustevastane IgG seerumis/plasmas (paneel),"S,P-Hantavirus IgG panel",Hantaviirustevastane IgG seerumis/plasmas (paneel),Hantaviiruste IgG paneel,L-4178,,t_nimetus
"Hantaviirustevastane IgG seerumis/plasmas (paneel, kinnitav uuring)","S,P-Hantavirus IgG conf panel","Hantaviirustevastane IgG seerumis/plasmas (paneel, kinnitav uuring)",Hantaviiruste IgG paneel (kinnitav),L-4179,,t_nimetus
Hantaviirustevastane IgM seerumis/plasmas (paneel),"S,P-Hantavirus IgM panel",Hantaviirustevastane IgM seerumis/plasmas (paneel),Hantaviiruste IgM paneel,L-5251,,t_nimetus
Happe-aluse tasakaal arteriaalses nabaväädi veres,auB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses nabaväädi veres,Happe-aluse tasakaal arteriaalses nabaväädi veres,51974-4,Bld,kasutatav_nimetus
Happe-aluse tasakaal arteriaalses veres,aB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses veres,Happe-aluse tasakaal arteriaalses veres,24336-0,Bld,kasutatav_nimetus
Happe-aluse tasakaal kapillaarses veres,cB-ABB panel,Happe-aluse tasakaalu uuring kapillaarses veres,Happe-aluse tasakaal kapillaarses veres,24337-8,Bld,kasutatav_nimetus
Happe-aluse tasakaal segunenud venoosses veres,mvB-ABB panel,Happe-aluse tasakaalu uuring segunenud venoosses veres,Happe-aluse tasakaal segunenud venoosses veres,51973-6,Bld,kasutatav_nimetus
Happe-aluse tasakaalu uuring arteriaalses nabaväädi veres,auB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses nabaväädi veres,Happe-aluse tasakaal arteriaalses nabaväädi veres,51974-4,Bld,t_nimetus
Happe-aluse tasakaalu uuring arteriaalses veres,aB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses veres,Happe-aluse tasakaal arteriaalses veres,24336-0,Bld,t_nimetus
Happe-aluse tasakaalu uuring kapillaarses veres,cB-ABB panel,Happe-aluse tasakaalu uuring kapillaarses veres,Happe-aluse tasakaal kapillaarses veres,24337-8,Bld,t_nimetus
Happe-aluse tasakaalu uuring segunenud venoosses veres,mvB-ABB panel,Happe-aluse tasakaalu uuring segunenud venoosses veres,Happe-aluse tasakaal segunenud venoosses veres,51973-6,Bld,t_nimetus
Happe-aluse tasakaalu uuring venoosses nabaväädi veres,vuB-ABB panel,Happe-aluse tasakaalu uuring venoosses nabaväädi veres,Happe-aluse tasakaal venoosses nabaväädi veres,51972-8,Bld,t_nimetus
Happe-aluse tasakaalu uuring venoosses veres,vB-ABB panel,Happe-aluse tasakaalu uuring venoosses veres,Happe-aluse tasakaal venoosses veres,24339-4,Bld,t_nimetus
Happe-aluse tasakaal venoosses nabaväädi veres,vuB-ABB panel,Happe-aluse tasakaalu uuring venoosses nabaväädi veres,Happe-aluse tasakaal venoosses nabaväädi veres,51972-8,Bld,kasutatav_nimetus
Happe-aluse tasakaal venoosses veres,vB-ABB panel,Happe-aluse tasakaalu uuring venoosses veres,Happe-aluse tasakaal venoosses veres,24339-4,Bld,kasutatav_nimetus
HbA1c paneel,B-HbA1c panel,Glükohemoglobiin veres (paneel),HbA1c paneel,L-3757,,kasutatav_nimetus
HbA1c POCT paneel,B-HbA1c POCT panel,Glükohemoglobiin veres POCT (paneel),HbA1c POCT paneel,L-3760,,kasutatav_nimetus
"HbF, Hb paneel","B-HbF, Hb panel",Fetaalne hemoglobiin ja hemoglobiin looteveres (paneel),"HbF, Hb paneel",L-4502,,kasutatav_nimetus
HCG test,HCG test,Koorioni gonadotropiini stimulatsioonitest,HCG test,L-3488,,t_lyhend
HCV NS3 resistentsusmutatsioonide paneel,P-HCV NS3 mut panel,C-hepatiidi viiruse resistentsusmutatsioonid NS3 piirkonnas (paneel),HCV NS3 resistentsusmutatsioonide paneel,L-4636,,kasutatav_nimetus
HCV NS5A resistentsusmutatsioonide paneel,P-HCV NS5A mut panel,C-hepatiidi viiruse resistentsusmutatsioonid NS5A piirkonnas (paneel),HCV NS5A resistentsusmutatsioonide paneel,L-4988,,kasutatav_nimetus
Hematoloogiliste somaatiliste mutatsioonide mRNA paneel,XXX-Hem somatic mut mRNA panel,Hematoloogiliste somaatiliste mutatsioonide mRNA (paneel),Hematoloogiliste somaatiliste mutatsioonide mRNA paneel,L-1215,,kasutatav_nimetus
Hematoloogiliste somaatiliste mutatsioonide mRNA (paneel),XXX-Hem somatic mut mRNA panel,Hematoloogiliste somaatiliste mutatsioonide mRNA (paneel),Hematoloogiliste somaatiliste mutatsioonide mRNA paneel,L-1215,,t_nimetus
Hemoglobiini fraktsioonide paneel,B-Hb-Fr panel,Hemoglobiini fraktsioonid veres (paneel),Hemoglobiini fraktsioonide paneel,43113-0,Bld,kasutatav_nimetus
Hemoglobiini fraktsioonid veres (paneel),B-Hb-Fr panel,Hemoglobiini fraktsioonid veres (paneel),Hemoglobiini fraktsioonide paneel,43113-0,Bld,t_nimetus
Hemogramm,B-CBC,Hemogramm,Hemogramm,58410-2,Bld,kasutatav_nimetus
Hemogramm 3-osalise leukogrammiga,B-CBC-3Diff,Hemogramm kolmeosalise leukogrammiga,Hemogramm 3-osalise leukogrammiga,L-2124,,kasutatav_nimetus
Hemogramm 5-osalise leukogrammiga,B-CBC-5Diff,Hemogramm viieosalise leukogrammiga,Hemogramm 5-osalise leukogrammiga,57021-8,Bld,kasutatav_nimetus
Hemogramm 5-osalise leukogrammiga leukafereesi produktist,BPU-CBC-5Diff,Hemogramm 5-osalise leukogrammiga leukafereesi produktist,Hemogramm 5-osalise leukogrammiga leukafereesi produktist,L-3659,,kasutatav_nimetus
Hemogramm 5-osalise leukogrammiga lootel,uB-CBC-5Diff-fetal,Hemogramm 5-osalise leukogrammiga lootel,Hemogramm 5-osalise leukogrammiga lootel,L-4904,,kasutatav_nimetus
Hemogramm 5-osalise leukogrammiga luuüdist,Bm-CBC-5Diff,Hemogramm 5-osalise leukogrammiga luuüdist,Hemogramm 5-osalise leukogrammiga luuüdist,L-3661,,kasutatav_nimetus
Hemogramm 5-osalise leukogrammi ja normoblastidega,B-CBC-5Diff-NRBC,Hemogramm viieosalise leukogrammi ja normoblastidega,Hemogramm 5-osalise leukogrammi ja normoblastidega,L-1950,,kasutatav_nimetus
"Hemogramm 5-osalise leukogrammi, normoblastide ja retikulotsüütidega",B-CBC-5Diff-NRBC-Ret,"Hemogramm viieosalise leukogrammi, normoblastide ja retikulotsüütidega","Hemogramm 5-osalise leukogrammi, normoblastide ja retikulotsüütidega",L-1949,,kasutatav_nimetus
Hemogramm kolmeosalise leukogrammiga,B-CBC-3Diff,Hemogramm kolmeosalise leukogrammiga,Hemogramm 3-osalise leukogrammiga,L-2124,,t_nimetus
Hemogramm lootel,uB-CBC-fetal,Hemogramm lootel,Hemogramm lootel,L-4897,,t_nimetus
Hemogramm viieosalise leukogrammiga,B-CBC-5Diff,Hemogramm viieosalise leukogrammiga,Hemogramm 5-osalise leukogrammiga,57021-8,Bld,t_nimetus
Hemogramm viieosalise leukogrammi ja normoblastidega,B-CBC-5Diff-NRBC,Hemogramm viieosalise leukogrammi ja normoblastidega,Hemogramm 5-osalise leukogrammi ja normoblastidega,L-1950,,t_nimetus
"Hemogramm viieosalise leukogrammi, normoblastide ja retikulotsüütidega",B-CBC-5Diff-NRBC-Ret,"Hemogramm viieosalise leukogrammi, normoblastide ja retikulotsüütidega","Hemogramm 5-osalise leukogrammi, normoblastide ja retikulotsüütidega",L-1949,,t_nimetus
Herpesviiruste DNA paneel,XXX-Herpesvirus DNA panel,Herpesviiruste DNA (paneel),Herpesviiruste DNA paneel,L-3444,,kasutatav_nimetus
Herpesviiruste DNA (paneel),XXX-Herpesvirus DNA panel,Herpesviiruste DNA (paneel),Herpesviiruste DNA paneel,L-3444,,t_nimetus
"Hingamisteede bakterite ( B pertussis, C pneumoniae, H influenzae, L pneomophila, M pneumoniae, S pneumoniae) DNA (paneel)",XXX-RespBac DNA panel,"Hingamisteede bakterite ( B pertussis, C pneumoniae, H influenzae, L pneomophila, M pneumoniae, S pneumoniae) DNA (paneel)",Hingamisteede bakterite DNA paneel,L-2752,,t_nimetus
Hingamisteede bakterite DNA paneel,XXX-RespBac DNA panel,"Hingamisteede bakterite ( B pertussis, C pneumoniae, H influenzae, L pneomophila, M pneumoniae, S pneumoniae) DNA (paneel)",Hingamisteede bakterite DNA paneel,L-2752,,kasutatav_nimetus
Hingamisteede bakterite RNA/DNA paneel,XXX-RespBac RNA/DNA panel,Hingamisteede bakterite RNA/DNA paneel,Hingamisteede bakterite RNA/DNA paneel,L-4040,,kasutatav_nimetus
"Hingamisteede viiruste ( A-, B-gripi, paragripi-, adeno-, metapneumo-, rinoviiruse, RSV) RNA/DNA (paneel)",XXX-RespVir RNA/DNA panel,"Hingamisteede viiruste ( A-, B-gripi, paragripi-, adeno-, metapneumo-, rinoviiruse, RSV) RNA/DNA (paneel)",Hingamisteede viiruste RNA/DNA paneel,L-2942,,t_nimetus
"Hingamisteede viiruste (A-, B-gripi, RSV) RNA (paneel)",XXX-RespVir RNA panel,"Hingamisteede viiruste (A-, B-gripi, RSV) RNA (paneel)",Hingamisteede viiruste RNA paneel,L-4339,,t_nimetus
Hingamisteede viiruste RNA/DNA (laiendatud paneel),XXX-RespVir RNA/DNA panel II,Hingamisteede viiruste RNA/DNA (laiendatud paneel),Hingamisteede viiruste RNA/DNA laiendatud paneel,L-3865,,t_nimetus
Hingamisteede viiruste RNA/DNA laiendatud paneel,XXX-RespVir RNA/DNA panel II,Hingamisteede viiruste RNA/DNA (laiendatud paneel),Hingamisteede viiruste RNA/DNA laiendatud paneel,L-3865,,kasutatav_nimetus
Hingamisteede viiruste RNA/DNA paneel,XXX-RespVir RNA/DNA panel,"Hingamisteede viiruste ( A-, B-gripi, paragripi-, adeno-, metapneumo-, rinoviiruse, RSV) RNA/DNA (paneel)",Hingamisteede viiruste RNA/DNA paneel,L-2942,,kasutatav_nimetus
Hingamisteede viiruste RNA paneel,XXX-RespVir RNA panel,"Hingamisteede viiruste (A-, B-gripi, RSV) RNA (paneel)",Hingamisteede viiruste RNA paneel,L-4339,,kasutatav_nimetus
"HIV1,2 RNA, HCV RNA, HBV DNA paneel","S,P-HIV1,2 RNA, HCV RNA, HBV DNA panel","Inimese immuunpuudulikkuse viiruse 1.ja 2. tüübi RNA, C-hepatiidi viiruse RNA, B-hepatiidi viiruse DNA seerumis/plasmas (paneel)","HIV1,2 RNA, HCV RNA, HBV DNA paneel",L-576,,kasutatav_nimetus
HIV1 resitentsusmutatsioonide paneel,P-HIV1 res mut panel,Inimese immuunpuudulikkuse viiruse 1. tüübi resistentsusmutatsioonid antiretroviirusravimite suhtes (paneel),HIV1 resitentsusmutatsioonide paneel,L-4434,,kasutatav_nimetus
HLA Ab sõeluuringu paneel (xMAP),S-HLA Ab screen panel xMAP,"HLA antikehade sõeluuring seerumis (paneel, xMAP)",HLA Ab sõeluuringu paneel (xMAP),L-4985,,kasutatav_nimetus
HLA alleelid (kõrglahutusega; 4 kohta) tüviraku registri doonorile (paneel),B-HLA DNA panel SCR,HLA alleelid (kõrglahutusega; 4 kohta) tüviraku registri doonorile (paneel),HLA tüpiseerimine tüviraku registri doonorile (paneel),L-2852,,t_nimetus
"HLA alleelid tüviraku retsipiendile (esmane tüpiseerimine, paneel)","B-HLA DNA panel I SCT, recipient","HLA alleelid tüviraku retsipiendile (esmane tüpiseerimine, paneel)",HLA esmane tüpiseerimine tüviraku retsipiendile,L-3453,,t_nimetus
"HLA alleelid tüviraku siirdamiseks (korduv tüpiseerimine, paneel)",B-HLA DNA panel II SCT,"HLA alleelid tüviraku siirdamiseks (korduv tüpiseerimine, paneel)",HLA korduv tüpiseerimine tüviraku siirdamiseks,L-3454,,t_nimetus
"HLA antikehade sõeluuring seerumis (paneel, xMAP)",S-HLA Ab screen panel xMAP,"HLA antikehade sõeluuring seerumis (paneel, xMAP)",HLA Ab sõeluuringu paneel (xMAP),L-4985,,t_nimetus
HLA DNA panel II OT,HLA DNA panel II OT,HLA korduv tüpiseerimine elundite siirdamiseks (paneel),HLA korduv tüpiseerimine elundite siirdamiseks,L-4834,,t_lyhend
"HLA DNA panel II OT, live donor","HLA DNA panel II OT, live donor","HLA korduv tüpiseerimine, elusdoonor (paneel)","HLA korduv tüpiseerimine, elusdoonor",L-4835,,t_lyhend
HLA DNA panel I OT,HLA DNA panel I OT,HLA esmane tüpiseerimine elundite siirdamiseks (paneel),HLA esmane tüpiseerimine elundite siirdamiseks,L-4833,,t_lyhend
HLA esmane tüpiseerimine elundite siirdamiseks,HLA DNA panel I OT,HLA esmane tüpiseerimine elundite siirdamiseks (paneel),HLA esmane tüpiseerimine elundite siirdamiseks,L-4833,,kasutatav_nimetus
HLA esmane tüpiseerimine elundite siirdamiseks (paneel),HLA DNA panel I OT,HLA esmane tüpiseerimine elundite siirdamiseks (paneel),HLA esmane tüpiseerimine elundite siirdamiseks,L-4833,,t_nimetus
HLA esmane tüpiseerimine haploidentsele sugulasdoonorile,B-HLA DNA haplo donor panel,HLA esmane tüpiseerimine haploidentsele sugulasdoonorile (paneel),HLA esmane tüpiseerimine haploidentsele sugulasdoonorile,L-5341,,kasutatav_nimetus
HLA esmane tüpiseerimine haploidentsele sugulasdoonorile (paneel),B-HLA DNA haplo donor panel,HLA esmane tüpiseerimine haploidentsele sugulasdoonorile (paneel),HLA esmane tüpiseerimine haploidentsele sugulasdoonorile,L-5341,,t_nimetus
HLA esmane tüpiseerimine sugulasdoonorile,B-HLA DNA donor panel,HLA esmane tüpiseerimine sugulasdoonorile (paneel),HLA esmane tüpiseerimine sugulasdoonorile,L-3875,,kasutatav_nimetus
HLA esmane tüpiseerimine sugulasdoonorile (paneel),B-HLA DNA donor panel,HLA esmane tüpiseerimine sugulasdoonorile (paneel),HLA esmane tüpiseerimine sugulasdoonorile,L-3875,,t_nimetus
HLA esmane tüpiseerimine tüviraku retsipiendile,"B-HLA DNA panel I SCT, recipient","HLA alleelid tüviraku retsipiendile (esmane tüpiseerimine, paneel)",HLA esmane tüpiseerimine tüviraku retsipiendile,L-3453,,kasutatav_nimetus
HLA korduv tüpiseerimine elundite siirdamiseks,HLA DNA panel II OT,HLA korduv tüpiseerimine elundite siirdamiseks (paneel),HLA korduv tüpiseerimine elundite siirdamiseks,L-4834,,kasutatav_nimetus
HLA korduv tüpiseerimine elundite siirdamiseks (paneel),HLA DNA panel II OT,HLA korduv tüpiseerimine elundite siirdamiseks (paneel),HLA korduv tüpiseerimine elundite siirdamiseks,L-4834,,t_nimetus
"HLA korduv tüpiseerimine, elusdoonor","HLA DNA panel II OT, live donor","HLA korduv tüpiseerimine, elusdoonor (paneel)","HLA korduv tüpiseerimine, elusdoonor",L-4835,,kasutatav_nimetus
"HLA korduv tüpiseerimine, elusdoonor (paneel)","HLA DNA panel II OT, live donor","HLA korduv tüpiseerimine, elusdoonor (paneel)","HLA korduv tüpiseerimine, elusdoonor",L-4835,,t_nimetus
HLA korduv tüpiseerimine tüviraku siirdamiseks,B-HLA DNA panel II SCT,"HLA alleelid tüviraku siirdamiseks (korduv tüpiseerimine, paneel)",HLA korduv tüpiseerimine tüviraku siirdamiseks,L-3454,,kasutatav_nimetus
HLA tüpiseerimine tüviraku registri doonorile (paneel),B-HLA DNA panel SCR,HLA alleelid (kõrglahutusega; 4 kohta) tüviraku registri doonorile (paneel),HLA tüpiseerimine tüviraku registri doonorile (paneel),L-2852,,kasutatav_nimetus
Homotsüsteiini ainevahetus - MTHFR geeni c.677C>T ja c.1298A>C mutatsioonide paneel,"B-MTHFR c.677C>T, c.1298A>C panel",Homotsüsteiini ainevahetus - MTHFR geeni c.677C>T ja c.1298A>C mutatsioonid (paneel),Homotsüsteiini ainevahetus - MTHFR geeni c.677C>T ja c.1298A>C mutatsioonide paneel,L-1357,,kasutatav_nimetus
