parameter_name,t_lyhend,loinc_code,substrate,evidence
Erutromutsii(Erutromutsiin),Is-Erythromycin,18919-1,Isolate,latest_parentheses_two_cases
Erutromutsiin(Erutromutsiin),Is-Erythromycin,18919-1,Isolate,latest_parentheses_one_cases
Erutromutsiin(= Klaritromutsiin),Is-Erythromycin,18919-1,Isolate,latest_name_cases
ESR Erutrotsuutide settekiirus,B-ESR,4537-7,Bld,latest_manual_cases
FAI(Vaba androgeeni indeks),"S,P-FAI",24125-7,Ser/Plas,latest_parentheses_two_cases
FA(Vaba androgeeni indeks),"S,P-FAI",24125-7,Ser/Plas,latest_parentheses_two_cases
Fer / Ferritiin,"S,P-Fer",2276-4,Ser/Plas,latest_manual_cases
Ferritiin(Ferritiin),"S,P-Fer",2276-4,Ser/Plas,latest_parentheses_one_cases
Ferritiin(Ferritiin seerumis),"S,P-Fer",2276-4,Ser/Plas,latest_parentheses_one_cases
fP-Gluc,"fS,fP-Gluc",14771-0,Ser/Plas,latest_prefix_cases
fP-PTH,"S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
fS-Ca,"S,P-Ca",2000-8,Ser/Plas,latest_prefix_cases
fS-C-pept,"S,P-C-pept",14633-2,Ser/Plas,latest_prefix_cases
Fs-Crea:,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
fS-Crea,"S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
fS-CT,"S,P-CT",15035-9,Ser/Plas,latest_prefix_cases
fS-Fe,"S,P-Fe",14798-3,Ser/Plas,latest_prefix_cases
fS-Fol,"S,P-Fol",14732-2,Ser/Plas,latest_prefix_cases
fS-Gluc,"fS,fP-Gluc",14771-0,Ser/Plas,latest_prefix_cases
fs-Gluc,"fS,fP-Gluc",14771-0,Ser/Plas,latest_prefix_cases
fS-HDL-Cho,"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
fS-HDL-Cho(HDL-Kolesterool),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
fS-HDL-Chol,"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
fS-HDL-Chol(HDL-Kolesterool),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
fS-HDL-Chol(HDL-kolesterool seerumis),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
fS-HDL(HDL-Kolesterool),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
fS-LDL-Cho,"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-LDL-Chol,"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-LDL-Cho(LDL-Kolesterool),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-LDL-Chol(LDL-Kolesterool),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-LDL-Chol(LDLkolesterool),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-LDL-Chol(LDL-kolesterool seerumis),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-LDL(LDL-Kolesterool),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
fS-P,"S,P-P",14879-1,Ser/Plas,latest_prefix_cases
fS-PTH,"S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
fS-RF,"S,P-RF",11572-5,Bld,latest_prefix_cases
fS-Transf,"S,P-Transf",3034-6,Ser/Plas,latest_prefix_cases
fS-Trigl,"fS,fP-Trigl",14927-8,Ser/Plas,latest_prefix_cases
fS-Urea,"S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
fs-Urea,"S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
fS-VitB12,"S,P-Vit B12",14685-2,Bld,latest_prefix_cases
FT3/Vabatrijoodturoniin,"S,P-fT3",14928-6,Ser/Plas,latest_semimanual_cases
FT4/Vabaturoksiin,"S,P-fT4",14920-3,Ser/Plas,latest_semimanual_cases
FT4\Vabaturoksiin,"S,P-fT4",14920-3,Ser/Plas,latest_semimanual_cases
FT4 Vaba turoksiin seerumis,"S,P-fT4",14920-3,Ser/Plas,latest_semimanual_cases
Fusidiin(Fusidiin),Is-Fusidate,18927-4,Isolate,latest_parentheses_one_cases
Gammaglutamuuli transferaas,"S,P-GGT",2324-2,Ser/Plas,latest_name_cases
Gentamutsii(Gentamutsiin),Is-Gentamicin,18928-2,Isolate,latest_parentheses_two_cases
Gentamutsiin(Gentamutsiin),Is-Gentamicin,18928-2,Isolate,latest_parentheses_one_cases
Gentamutsiin(Gentamutsiin SAU),Is-Gentamicin,18928-2,Isolate,latest_parentheses_one_cases
G(Granulotsuutide arv)#,B-Gran#,20482-6,Bld,latest_parentheses_two_cases
G(Granulotsuutide protsent)%,B-Gran%,19023-1,Bld,latest_parentheses_two_cases
Glomerulaarfilt,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glomerulaarfiltratiooni Kiirus Mdrd Valemiga,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glomerulaarfiltratsi,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glomerulaarfiltratsiooni Kiiru,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glomerulaarfiltratsioon M,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glomerulaarfiltratsioon MDRD v,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glomerulaarfiltratsioon Mdrd V,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Glukoo(Glukoos),U-Gluc strip,59156-0,Urine,latest_parentheses_two_cases
Glukoos,"S,P-Gluc",14749-6,Ser/Plas,latest_manual_cases
Glukoos(Glukoos),U-Gluc strip,59156-0,Urine,latest_parentheses_one_cases
Granulotsuudid %(Granulotsuutide  protsent),B-Gran%,19023-1,Bld,latest_parentheses_two_cases
GR(Granulotsuutide arv)#,B-Gran#,20482-6,Bld,latest_parentheses_two_cases
GR(Granulotsuutide protsent)%,B-Gran%,19023-1,Bld,latest_parentheses_two_cases
Gumprechtivarjud,B-Gumprechti varjud,14912-0,Bld,latest_prefix_cases
Hb,B-Hb,718-7,Bld,latest_manual_cases
HC(Hematokrit),B-Hct,4544-3,Bld,latest_parentheses_two_cases
HCT,B-Hct,4544-3,Bld,latest_prefix_cases
Hct,B-Hct,4544-3,Bld,latest_completely_manual_cases
Hct B-Hct,B-Hct,4544-3,Bld,latest_completely_manual_cases
HCT(Hematokrit),B-Hct,4544-3,Bld,latest_parentheses_two_cases
HCT(hematokrit),B-Hct,4544-3,Bld,latest_manual_cases
HCT Hematokritt,B-Hct,4544-3,Bld,latest_manual_cases
HCT_Hematokritt,B-Hct,4544-3,Bld,latest_completely_manual_cases
HDL kolesterool,"S,P-HDL-Chol",14646-4,Ser/Plas,latest_name_cases
Hematokrit %,B-Hct,4544-3,Bld,latest_manual_cases
Hematokrit(Hematokritt),B-Hct,4544-3,Bld,latest_parentheses_one_cases
hemoglobii(hemoglobiin),B-Hb,718-7,Bld,latest_parentheses_two_cases
Hemoglobiin,B-Hb,718-7,Bld,latest_prefix_cases
hemoglobiin(hemoglobiin),B-Hb,718-7,Bld,latest_parentheses_one_cases
Hemoglobiin veres g/l,B-Hb,718-7,Bld,latest_manual_cases
Hemogramm5-osaliseleukogrammiga-B-CBC-5Diff,B-CBC-5Diff,57021-8,Bld,latest_prefix_cases
"Hemogramm5-osaliseleukogrammiga-CBC,DIFF(5)",B-CBC-5Diff,57021-8,Bld,latest_prefix_cases
HGB,B-Hb,718-7,Bld,latest_manual_cases
"HGB, g/L",B-Hb,718-7,Bld,latest_manual_cases
HGB Hemoglobiin,B-Hb,718-7,Bld,latest_manual_cases
HGB_Hemoglobiin,B-Hb,718-7,Bld,latest_completely_manual_cases
HGB(hemoglobiin),B-Hb,718-7,Bld,latest_manual_cases
HGB(HGB),B-Hb,718-7,Bld,latest_parentheses_one_cases
Hinnangulina Glomerulaarfiltratsiooni Kiirus(Egfr),eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline Glomerulaarf,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline glomerulaarf,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline Glomerulaarfiltra,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline glomerulaarfiltra,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline Glomerulaarfiltratsiooni Kiirus,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline glomerulaarfiltratsiooni kiirus (CKD-EPI valemi j.),eGFR (CKD-EPI),62238-1,Ser/Plas,latest_manual_cases
Hinnanguline Glomerulaarfiltratsiooni Kiirus (Egfr),eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Hinnanguline Glomerulaarfiltratsooni Kiirus (Mdrd),eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Howelli-Jollykehakesed,B-Howelli-Jolly kehakesed,7793-3,Bld,latest_prefix_cases
HPV 16,XXX-HPV 16 DNA,61372-9,,latest_manual_cases
HPV 16 DNA,XXX-HPV 16 DNA,61372-9,,latest_manual_cases
HPV-16 DNA,XXX-HPV 16 DNA,61372-9,,latest_manual_cases
HPV 18,XXX-HPV18 DNA,61373-7,,latest_manual_cases
HPV 18 DNA,XXX-HPV18 DNA,61373-7,,latest_manual_cases
HPV-18 DNA,XXX-HPV18 DNA,61373-7,,latest_manual_cases
HPV 31,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 33,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 35,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 39,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 45,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 51,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 52,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 56,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 58,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 59,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 66,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV 68,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV DNA emakakaelakanalikaapes,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"HPV DNA, kõrge riski tüüp",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"HPV, genotüüp",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV high risk DNA II,XXX-HPV high risk DNA II,71431-1,Cvx,latest_manual_cases
"Hpv Kõrge Riski (31,33,35,39,45,51,52,56,58,59,66,68) Dna",XXX-HPV high risk DNA II,71431-1,Cvx,latest_manual_cases
HPV kõrge riskiga genotüübid,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
HPV muud genotüübid,XXX-HPV high risk DNA II,71431-1,Cvx,latest_manual_cases
"Hpv Muud Genotüübid (31,33,35,39,45,51,52,56,58,59,66,68)",XXX-HPV high risk DNA II,71431-1,Cvx,latest_manual_cases
IG#,B-IG#,51584-1,Bld,latest_manual_cases
IG - Ebak�psed granulots��did,B-IG#,51584-1,Bld,latest_manual_cases
IG% - Ebak�ps.granulots��tide %,B-IG%,38518-7,Bld,latest_manual_cases
IG - Ebakupsed granulotsuudid,B-IG#,51584-1,Bld,latest_name_cases
IG Ebakupsete granulotsuudide absoluutarv,B-IG#,51584-1,Bld,latest_manual_cases
IG% Ebakupsete granulotsuudide suhtarv,B-IG%,38518-7,Bld,latest_manual_cases
IG - Ebakupsete granulotsuutide arv,B-IG#,51584-1,Bld,latest_manual_cases
IG% - Ebakups.granulotsuutide %,B-IG%,38518-7,Bld,latest_name_cases
IG% - Ebaküps.granulotsüütide %,B-IG%,38518-7,Bld,latest_manual_cases
IGF-1(IGF-1),"S,P-IGF-1",2484-4,Ser/Plas,latest_parentheses_one_cases
IG%(IG%),B-IG%,38518-7,Bld,latest_parentheses_one_cases
Imipeneem(Imipeneem),Is-Imipenem,18932-4,Isolate,latest_parentheses_one_cases
Imipeneem(imipeneem MIC),Is-Imipenem,18932-4,Isolate,latest_parentheses_one_cases
"Inimese papillomi viirus, PCR, emakakaelast",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese papilloomiviiruse DNA,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviiruse Dna Emakakaelakanalikaapes (Paneel),XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviiruse Dna Genotüüp Emakakaelakanalikaapes,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviiruse Dna Paneel,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviiruse Dna (Paneel) Emakakaelakanalikaapes,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviiruse Dna (Paneel) Emakakaelakanalikaapest,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"Inimese papilloomiviiruse kõrge riskiga DNA (26,31,33,35,39",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese papilloomiviiruse paneel emakakaelakanalikaapest,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese papilloomiviiruse paneel ureetrakaapest,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviirus Pcr Emakakaelakanalikaapes,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"Inimese papilloomi viirus, PCR, emakakaelakanalikaapes",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Inimese Papilloomiviirus Pcr Emakakaelakanalikaapest,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"Inimese papilloomi viirus, PCR, emakakaelakanalikaapest",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
IN(INR),INR,34714-6,Bld,latest_parentheses_two_cases
INR(INR),INR,34714-6,Bld,latest_parentheses_one_cases
IPF-ebakupsed trombotsuudid,B-IPF,71693-6,Bld,latest_manual_cases
IRF%,B-IRF,33516-6,Bld,latest_manual_cases
IRF(IRF),B-IRF,33516-6,Bld,latest_parentheses_one_cases
IR(IRF),B-IRF,33516-6,Bld,latest_parentheses_two_cases
Josamutsii(Josamutsiin),Is-Josamycine,25597-6,Isolate,latest_parentheses_two_cases
Josamutsiin(Josamutsiin),Is-Josamycine,25597-6,Isolate,latest_parentheses_one_cases
Kaalium(Kaalium seerumis),"S,P-K",2823-3,Ser/Plas,latest_parentheses_one_cases
Kaalium seerumis/plasmas*,"S,P-K",2823-3,Ser/Plas,latest_manual_cases
Kartsinoembruonaalne antigeen,"S,P-CEA",2039-6,Ser/Plas,latest_name_cases
Kask (T3),"S,P-T3",14930-2,Ser/Plas,latest_parentheses_two_cases
Kasvajaantigeen CA125,"S,P-CA 125",10334-1,Ser/Plas,latest_name_cases
Kepptuumsedneutrofiilid,B-Kepptuumsed neutrofiilid %,26508-2,Bld,latest_prefix_cases
Kilpnaaret stimuleeriv hormoon,"S,P-TSH",3016-3,Ser/Plas,latest_name_cases
Klaritromutsiin(Klaritromutsiin),Is-Clarithromycin,18907-6,Isolate,latest_parentheses_one_cases
Klindamutsii(Klindamutsiin),Is-Clindamycin,18908-4,Isolate,latest_parentheses_two_cases
Klindamutsiin(Klindamutsiin),Is-Clindamycin,18908-4,Isolate,latest_parentheses_one_cases
Kloriid veres,"S,P-Cl",2075-0,Ser/Plas,latest_manual_cases
Kolesterool(Kolesterool seerumis),"S,P-Chol",14647-2,Ser/Plas,latest_parentheses_one_cases
Kortisool Cort(Kortisool),"S,P-Cort",14675-3,Ser/Plas,latest_parentheses_two_cases
Kreatiini kinaas,"S,P-CK",2157-6,Ser/Plas,latest_name_cases
Kreatinii(Kreatiniin),"S,P-Crea",14682-9,Ser/Plas,latest_parentheses_two_cases
Kreatiniin,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
Kreatiniin Dialüüsivedelikus,pDiaF-Crea,14681-1,Dial fld prt,latest_completely_manual_cases
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,"S,P-CK-MBm",13969-1,Ser/Plas,latest_completely_manual_cases
Kreatiniinikliirens,dU-S-Crea,2164-2,Urine+Ser/Plas,latest_completely_manual_cases
Kreatiniin Kinaasi Mb Isoensüümi Mass,"S,P-CK-MBm",13969-1,Ser/Plas,latest_completely_manual_cases
Kreatiniin Kinaasi Mb Isoensüümi Mass Seerumis/Plasmas,"S,P-CK-MBm",13969-1,Ser/Plas,latest_completely_manual_cases
Kreatiniin(Kreatiniin),"S,P-Crea",14682-9,Ser/Plas,latest_parentheses_one_cases
Kreatiniin(Kreatiniin seerumis),"S,P-Crea",14682-9,Ser/Plas,latest_parentheses_one_cases
Kreatiniin Paas,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
Kreatiniin paastusee,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
Kreatiniin paastuseerumis,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
Kreatiniin Peritoneaaldialüüsivedelikus,pDiaF-Crea,14681-1,Dial fld prt,latest_completely_manual_cases
Kreatiniin seerumis,"S,P-Crea",14682-9,Ser/Plas,latest_manual_cases
Kreatiniin Seerumis/Plasmas,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
Kreatiniin seerumis/plasmas*,"S,P-Crea",14682-9,Ser/Plas,latest_manual_cases
Kreatiniin Urii,U-Crea,14683-7,Urine,latest_completely_manual_cases
Kreatiniin urii,U-Crea,14683-7,Urine,latest_completely_manual_cases
Kreatiniin Uriinis,U-Crea,14683-7,Urine,latest_completely_manual_cases
Kusihape(Kusihape seerumis),"S,P-UA",14933-6,Ser/Plas,latest_parentheses_one_cases
Kusihappe kristallid(Kusihappe kristallid),U-Kusihappe kristallid,5817-2,Urine,latest_parentheses_one_cases
Kusihappe kristalli(Kusihappe kristallid),U-Kusihappe kristallid,5817-2,Urine,latest_parentheses_two_cases
Kõrge Riski Hpv,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Kõrge riski HPV geno,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Kõrge riski HPV genot,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Kõrge riski HPV genotüpee,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Kõrge Riski Hpv Genotüpeerimin,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Kõrge riski HPV genotüpeerimin,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Kõrge Riski Hpv Genotüpeerimine Emakakaelakaapes,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Laktaat_arteriaalses_plasmas,aP-Lac,2518-9,Bld,latest_manual_cases
LCR,B-LCR,48386-7,Bld,latest_manual_cases
Liikvori- Ja Seerumialbumiini Suhe,CSF-Alb/S-Alb,1756-6,Plas+CSF,latest_completely_manual_cases
Lipaas(Lipaas),"S,P-Lip",3040-3,Ser/Plas,latest_parentheses_one_cases
LYM#,B-Lymph#,731-0,Bld,latest_manual_cases
LYM%,B-Lymph%,736-9,Bld,latest_completely_manual_cases
LYMPH#,B-Lymph#,731-0,Bld,latest_completely_manual_cases
LYMPH%,B-Lymph%,736-9,Bld,latest_completely_manual_cases
lymph#,B-Lymph#,731-0,Bld,latest_completely_manual_cases
lymph%,B-Lymph%,736-9,Bld,latest_manual_cases
LYMPH (abs.),B-Lymph#,731-0,Bld,latest_manual_cases
LYMPH(Lumfotsuudid protsent)%,B-Lymph%,736-9,Bld,latest_parentheses_one_cases
LYMPH Lumfotsuutide absoluutarv,B-Lymph#,731-0,Bld,latest_prefix_cases
LYMPH% Lumfotsuutide suhtarv,B-Lymph%,736-9,Bld,latest_prefix_cases
LYMPH%(LYMPH%),B-Lymph%,736-9,Bld,latest_parentheses_one_cases
Makrofaagid(Makrofaagid),U-Makrofaagid,72220-7,Urine,latest_parentheses_one_cases
Makrofaagi(Makrofaagid),U-Makrofaagid,72220-7,Urine,latest_parentheses_two_cases
"MCHC, g/L",B-MCHC,786-4,Bld,latest_manual_cases
MCHC g/l,B-MCHC,786-4,Bld,latest_manual_cases
MCHC Keskmine hemoglobiini kontsentratsioon erutrotsuudis,B-MCHC,786-4,Bld,latest_manual_cases
MCH Keskmine hemoglobiini hulk erutrotsuudis,B-MCH,785-6,Bld,latest_manual_cases
MCH pg,B-MCH,785-6,Bld,latest_manual_cases
"MCH, pg",B-MCH,785-6,Bld,latest_manual_cases
MC(MCV),B-MCV,787-2,Bld,latest_parentheses_two_cases
MCV,B-MCV,787-2,Bld,latest_prefix_cases
MCV(Erutrotsuudi keskmine maht),B-MCV,787-2,Bld,latest_parentheses_one_cases
MCV Erutrotsuutide keskmine ruumala,B-MCV,787-2,Bld,latest_manual_cases
MCV fl,B-MCV,787-2,Bld,latest_manual_cases
MCV(MCV),B-MCV,787-2,Bld,latest_parentheses_one_cases
Meropeneem(Meropeneem),Is-Meropenem,18943-1,Isolate,latest_parentheses_one_cases
Meropeneem(Meropenem),Is-Meropenem,18943-1,Isolate,latest_parentheses_one_cases
Mikroalbumiin,U-Alb,14957-5,Urine,latest_completely_manual_cases
Mikroalbumiin Nefelomeetriliselt,U-Alb,14957-5,Urine,latest_completely_manual_cases
mikroalbumiin u,U-Alb,14957-5,Urine,latest_completely_manual_cases
mikroalbuminuri,U-Alb,14957-5,Urine,latest_completely_manual_cases
MIKROALBUMINUUR,U-Alb,14957-5,Urine,latest_completely_manual_cases
Mikroalbuminuur,U-Alb,14957-5,Urine,latest_completely_manual_cases
mikroalbuminuur,U-Alb,14957-5,Urine,latest_completely_manual_cases
MONO#,B-Mono#,742-7,Bld,latest_prefix_cases
MONO%,B-Mono%,5905-5,Bld,latest_prefix_cases
MONO%(MONO%),B-Mono%,5905-5,Bld,latest_parentheses_one_cases
MONO(Monotsuudid protsent)%,B-Mono%,5905-5,Bld,latest_parentheses_one_cases
MONO Monotsuutide absoluutarv,B-Mono#,742-7,Bld,latest_manual_cases
MONO% Monotsuutide suhtarv,B-Mono%,5905-5,Bld,latest_prefix_cases
MP(MPV),B-MPV,32623-1,Bld,latest_parentheses_two_cases
MP(Trombotsuutide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_two_cases
MPV,B-MPV,32623-1,Bld,latest_prefix_cases
"MPV, fL",B-MPV,32623-1,Bld,latest_manual_cases
MPV fl,B-MPV,32623-1,Bld,latest_manual_cases
MPV(MPV),B-MPV,32623-1,Bld,latest_parentheses_one_cases
 MPV(Trombotsuutide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_one_cases
MPV Trombotsuutide keskmine maht,B-MPV,32623-1,Bld,latest_manual_cases
MPV(Trombotsuutide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_one_cases
Muoglobiin(Muoglobiin),"S,P-Myogl",2639-3,Ser/Plas,latest_parentheses_one_cases
Naatrium( Naatrium seerumis),"S,P-Na",2951-2,Ser/Plas,latest_parentheses_one_cases
Naatrium seerumis/plasmas*,"S,P-Na",2951-2,Ser/Plas,latest_manual_cases
NEUT#,B-Neut#,751-8,Bld,latest_prefix_cases
NEUT%,B-Neut%,770-8,Bld,latest_prefix_cases
NEUT%(NEUT%),B-Neut%,770-8,Bld,latest_parentheses_one_cases
NEUT Neutrofiilide absoluutarv,B-Neut#,751-8,Bld,latest_prefix_cases
NEUT% Neutrofiilide suhtarv,B-Neut%,770-8,Bld,latest_prefix_cases
Neutrofiilidevakuolisatsioon,B-Neutrofiilide vakuolisatsioon,18319-4,Bld,latest_prefix_cases
Nitrofurantoii(Nitrofurantoiin),Is-Nitrofurantoin,18955-5,Isolate,latest_parentheses_two_cases
Nitrofurantoiin(Nitrofurantoiin),Is-Nitrofurantoin,18955-5,Isolate,latest_parentheses_one_cases
Norfloksatsiin(Norfloksatsiin),Is-Norfloxacin,18956-3,Isolate,latest_parentheses_one_cases
Norfloksatsii(Norfloksatsiin),Is-Norfloxacin,18956-3,Isolate,latest_parentheses_two_cases
nP-iCa(pH),U-pH strip,50560-2,Urine,latest_parentheses_two_cases
NRBC%,B-NRBC%,58413-6,Bld,latest_prefix_cases
Ofloksatsiin(Ofloksatsiin),Is-Ofloxacin,18959-7,Isolate,latest_parentheses_one_cases
Ofloksatsii(Ofloksatsiin),Is-Ofloxacin,18959-7,Isolate,latest_parentheses_two_cases
Oksatsilliin(Oksatsilliin),Is-Oxacillin,18961-3,Isolate,latest_parentheses_one_cases
Oksatsilliin(Oksatsilliin KONS),Is-Oxacillin,18961-3,Isolate,latest_parentheses_one_cases
Oksatsillii(Oksatsilliin),Is-Oxacillin,18961-3,Isolate,latest_parentheses_two_cases
P-ACTH,P-ACTH,14674-6,Bld,latest_name_cases
P-ALAT,"S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
P-ALAT Alaniini aminotransferaas,"S,P-ALAT",1744-2,Ser/Plas,latest_manual_cases
P-ALAT alaniini aminotransferaas,"S,P-ALAT",1744-2,Ser/Plas,latest_manual_cases
P-Alb,"S,P-Alb",61151-7,Ser/Plas,latest_manual_cases
P-Alb albumiin,"S,P-Alb",61151-7,Ser/Plas,latest_manual_cases
P-ALP,"S,P-ALP",6768-6,Ser/Plas,latest_prefix_cases
P-Amyl,"S,P-Amyl",1798-8,Ser/Plas,latest_prefix_cases
Papilloomiviirus (HPV,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"Papilloomiviirus, PCR",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
P-APTT - Aktiveeritud osalise tromboplastiini aeg,P-APTT,14979-9,PPP,latest_manual_cases
P-ASAT,"S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
P-ASAT Aspartaadi aminotransferaas,"S,P-ASAT",1920-8,Ser/Plas,latest_manual_cases
p-atiii,P-AT III,27811-9,PPP,latest_name_cases
P-Bil,"S,P-Bil",14631-6,Ser/Plas,latest_prefix_cases
P-Bil Bilirubiin,"S,P-Bil",14631-6,Ser/Plas,latest_manual_cases
P-BNP,"S,P-BNP",30934-4,Ser/Plas,latest_prefix_cases
P-CgA,"S,P-CgA",25587-7,Ser/Plas,latest_prefix_cases
P-Chol (kolesterool),"S,P-Chol",14647-2,Ser/Plas,latest_manual_cases
P-CK-MBm,"S,P-CK-MBm",13969-1,Ser/Plas,latest_prefix_cases
P-Crea,"S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
P-Crea Kreatiniin plasmas,"S,P-Crea",14682-9,Ser/Plas,latest_manual_cases
P-CRP,"S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
P-CRP C-reaktiivne valk,"S,P-CRP",1988-5,Ser/Plas,latest_manual_cases
PCT,B-Pct,51637-7,Bld,latest_prefix_cases
"PCT,",B-Pct,51637-7,Bld,latest_manual_cases
P-cTnI,"S,P-cTnI",10839-9,Ser/Plas,latest_prefix_cases
PC(Trombokrit),B-Pct,51637-7,Bld,latest_parentheses_two_cases
PCT(Trombokrit),B-Pct,51637-7,Bld,latest_parentheses_one_cases
P-DDi - D-dimeerid,P-D-Di,48065-7,PPP,latest_manual_cases
PDW %,B-PDW-CV,51631-0,Bld,latest_manual_cases
Penitsilliin(Penitsilliin),Is-Penicillin,18964-7,Isolate,latest_parentheses_one_cases
Penitsillii(Penitsilliin),Is-Penicillin,18964-7,Isolate,latest_parentheses_two_cases
P-EtOH,"S,P-EtOH",5643-2,Ser/Plas,latest_prefix_cases
P-Fibr,P-Fibr,48664-7,PPP,latest_name_cases
p-fibr,P-Fibr,48664-7,PPP,latest_name_cases
P-Fol,"S,P-Fol",14732-2,Ser/Plas,latest_prefix_cases
