parameter_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
DAT,B-DAT,Otsene antiglobuliintest,DAT,1007-4,Bld,kasutatav_nimetus
DAT C3,B-DAT C3,Otsene antiglobuliintest (tüpiseerimine C3-spetsiifilise reagendiga),DAT C3,54410-6,Bld,kasutatav_nimetus
DAT C3c,B-DAT C3c,Otsene antiglobuliintest (tüpiseerimine C3c-spetsiifilise reagendiga),DAT C3c,56471-6,Bld,kasutatav_nimetus
DAT C3d,B-DAT C3d,Otsene antiglobuliintest (tüpiseerimine C3d-spetsiifilise reagendiga),DAT C3d,55774-4,Bld,kasutatav_nimetus
DAT IgA,B-DAT IgA,Otsene antiglobuliintest (tüpiseerimine IgA-spetsiifilise reagendiga),DAT IgA,55775-1,Bld,kasutatav_nimetus
DAT IgG,B-DAT IgG,Otsene antiglobuliintest (tüpiseerimine IgG-spetsiifilise reagendiga),DAT IgG,55776-9,Bld,kasutatav_nimetus
DAT IgM,B-DAT IgM,Otsene antiglobuliintest (tüpiseerimine IgM-spetsiifilise reagendiga),DAT IgM,55777-7,Bld,kasutatav_nimetus
DAT lootel,uB-DAT-fetal,Otsene antiglobuliintest lootel,DAT lootel,51871-2,RBCCo,kasutatav_nimetus
DAT tiiter,B-DAT titr,Otsese antiglobuliintesti tiiter,DAT tiiter,1051-2,Bld,kasutatav_nimetus
DAT tüpiseerimine,B-DAT typ,Otsene antiglobuliintest (tüpiseerimine),DAT tüpiseerimine,51006-5,Bld,kasutatav_nimetus
DAT tüpiseerimise paneel,B-DAT typ panel,"Otsene antiglobuliintest (tüpiseerimine, paneel)",DAT tüpiseerimise paneel,L-5209,,kasutatav_nimetus
D-dimeerid,P-D-Di,D-dimeerid plasmas,D-dimeerid,48065-7,PPP,kasutatav_nimetus
D-dimeerid plasmas,P-D-Di,D-dimeerid plasmas,D-dimeerid,48065-7,PPP,t_nimetus
Dehüdroepiandrosteroon seerumis/plasmas,"S,P-DHEA",Dehüdroepiandrosteroon seerumis/plasmas,DHEA,15054-0,Ser/Plas,t_nimetus
Dehüdroepiandrosteroonsulfaat seerumis/plasmas,"S,P-DHEAS",Dehüdroepiandrosteroonsulfaat seerumis/plasmas,DHEAS,14688-6,Ser/Plas,t_nimetus
Dekanoüülkarnitiin seerumis/plasmas,"S,P-C10-carnitine",Dekanoüülkarnitiin seerumis/plasmas,C10-karnitiin,30327-1,Ser/Plas,t_nimetus
Dekanoüülkarnitiin vereplekist,BS-C10-carnitine,Dekanoüülkarnitiin vereplekist,C10-karnitiin,45197-1,Bld,t_nimetus
Deksametasooni supressioonitest (1 mg),Dexamethazone supression test (1mg),Deksametasooni supressioonitest (1 mg),Deksametasooni supressioonitest (1 mg),L-3483,,kasutatav_nimetus
del(11q22) ATM deletsioon (FISH),XXX-del(11q22) ATM FISH,del(11q22) ATM deletsioon (FISH),del(11q22) ATM (FISH),21624-2,Bld,t_nimetus
del(11q22) ATM (FISH),XXX-del(11q22) ATM FISH,del(11q22) ATM deletsioon (FISH),del(11q22) ATM (FISH),21624-2,Bld,kasutatav_nimetus
del(13q14) DLEU/13qter (FISH),XXX-del(13q14) DLEU/13qter FISH,del(13q14) DLEU /13qter muutused (FISH),del(13q14) DLEU/13qter (FISH),L-1478,,kasutatav_nimetus
del(13q14) DLEU /13qter muutused (FISH),XXX-del(13q14) DLEU/13qter FISH,del(13q14) DLEU /13qter muutused (FISH),del(13q14) DLEU/13qter (FISH),L-1478,,t_nimetus
del(13q14) DLEU ja del(17p13) TP53 deletsioonid (FISH),"XXX-del(13q14) DLEU, del(17p13) TP53 FISH",del(13q14) DLEU ja del(17p13) TP53 deletsioonid (FISH),del(13q14) DLEU ja del(17p13) TP53 (FISH),72727-1,Bld,t_nimetus
del(13q14) DLEU ja del(17p13) TP53 (FISH),"XXX-del(13q14) DLEU, del(17p13) TP53 FISH",del(13q14) DLEU ja del(17p13) TP53 deletsioonid (FISH),del(13q14) DLEU ja del(17p13) TP53 (FISH),72727-1,Bld,kasutatav_nimetus
del(17p13) TP53 deletsioon (FISH),XXX-del(17p13) TP53 FISH,del(17p13) TP53 deletsioon (FISH),del(17p13) TP53 (FISH),72824-6,Bld,t_nimetus
del(17p13) TP53 (FISH),XXX-del(17p13) TP53 FISH,del(17p13) TP53 deletsioon (FISH),del(17p13) TP53 (FISH),72824-6,Bld,kasutatav_nimetus
del(1)(p32) STIL-TAL1 deletsiooni mRNA,XXX-del(1)(p32) STIL-TAL1 mRNA,del(1)(p32) STIL-TAL1 deletsiooni mRNA,del(1)(p32) STIL-TAL1 mRNA,70289-4,Bld,t_nimetus
del(1)(p32) STIL-TAL1 mRNA,XXX-del(1)(p32) STIL-TAL1 mRNA,del(1)(p32) STIL-TAL1 deletsiooni mRNA,del(1)(p32) STIL-TAL1 mRNA,70289-4,Bld,kasutatav_nimetus
del1p/del19q FISH,Tis-del1p/del19q,Kromosoomide 1 lühikese õla ja 19 pika õla deletsioonid koematerjalis (FISH),del1p/del19q FISH,42634-6,Tiss fixed,kasutatav_nimetus
del(4q12) FIP1L1-PDGFRA deletsioonid (FISH),XXX-del(4q12) FIP1L1-PDGFRA FISH,del(4q12) FIP1L1-PDGFRA deletsioonid (FISH),del(4q12) FIP1L1-PDGFRA (FISH),55092-1,Bld,t_nimetus
del(4q12) FIP1L1-PDGFRA (FISH),XXX-del(4q12) FIP1L1-PDGFRA FISH,del(4q12) FIP1L1-PDGFRA deletsioonid (FISH),del(4q12) FIP1L1-PDGFRA (FISH),55092-1,Bld,kasutatav_nimetus
"del 5q(q31,q33) (FISH)","XXX-del 5q(q31,q33) FISH","5. kromosoomi pika õla (q31, q33) deletsioonid (FISH)","del 5q(q31,q33) (FISH)",42715-3,Bld,kasutatav_nimetus
"del 7q(q22,q36) (FISH)","XXX-del 7q(q22,q36) FISH","7. kromosoomi pika õla deletsioonid (q22,q36) (FISH)","del 7q(q22,q36) (FISH)",42712-0,Bld,kasutatav_nimetus
del(9p21.3) CDKN2A/CDKN2B deletsioon (FISH),XXX-del(9p21.3) CDKN2A/CDKN2B FISH,del(9p21.3) CDKN2A/CDKN2B deletsioon (FISH),del(9p21.3) CDKN2A/CDKN2B (FISH),A-5032,,t_nimetus
del(9p21.3) CDKN2A/CDKN2B (FISH),XXX-del(9p21.3) CDKN2A/CDKN2B FISH,del(9p21.3) CDKN2A/CDKN2B deletsioon (FISH),del(9p21.3) CDKN2A/CDKN2B (FISH),A-5032,,kasutatav_nimetus
Deletsioon Y kromosoomi AZFa piirkonnas,B-AZFa del,Deletsioon Y kromosoomi AZFa piirkonnas,AZFa del,71359-4,Bld,t_nimetus
Deletsioon Y kromosoomi AZFb piirkonnas,B-AZFb del,Deletsioon Y kromosoomi AZFb piirkonnas,AZFb del,71360-2,Bld,t_nimetus
Deletsioon Y kromosoomi AZFc piirkonnas,B-AZFc del,Deletsioon Y kromosoomi AZFc piirkonnas,AZFc del,71361-0,Bld,t_nimetus
Deltaaminolevuliinhape uriinis,U-DALA,Deltaaminolevuliinhape uriinis,DALA uriinis,34284-0,Urine,t_nimetus
Deltaaminolevuliinhape ööpäevases uriinis,dU-DALA,Deltaaminolevuliinhape ööpäevases uriinis,DALA ööpäevases uriinis,25896-2,Urine,t_nimetus
Deltaaminolevuliinhappe dehüdrataas veres,B-DALAD,Deltaaminolevuliinhappe dehüdrataas veres,DALA dehüdrataas,12916-3,Bld,t_nimetus
Deltaaminolevuliinhappe ja kreatiniini suhe uriinis,U-DALA/U-Crea,Deltaaminolevuliinhappe ja kreatiniini suhe uriinis,DALA/kreatiniin uriinis,39782-8,Urine,t_nimetus
Demodex folliculorum,St-D folliculorum-m,Demodex folliculorum mikroskoopia roojast (kaaliumhüdroksiid),Demodex folliculorum,A-3257,,kasutatav_nimetus
Demodex folliculorum mikroskoopia nahakaapest,Skin-D folliculorum-m,Demodex folliculorum mikroskoopia nahakaapest,Demodex folliculorum mikroskoopia nahakaapest,A-2615,,t_nimetus
Demodex folliculorum mikroskoopia roojast (kaaliumhüdroksiid),St-D folliculorum-m,Demodex folliculorum mikroskoopia roojast (kaaliumhüdroksiid),Demodex folliculorum,A-3257,,t_nimetus
Dengue viiruse Ag,"S,P-Dengue virus Ag",Dengue viiruse antigeen seerumis/plasmas,Dengue viiruse Ag,31798-2,Bld,kasutatav_nimetus
Dengue viiruse antigeen seerumis/plasmas,"S,P-Dengue virus Ag",Dengue viiruse antigeen seerumis/plasmas,Dengue viiruse Ag,31798-2,Bld,t_nimetus
Dengue viiruse IgG,"S,P-Dengue virus IgG",Dengue viiruse vastane IgG seerumis/plasmas,Dengue viiruse IgG,29661-6,Bld,kasutatav_nimetus
Dengue viiruse IgM,"S,P-Dengue virus IgM",Dengue viiruse vastane IgM seerumis/plasmas,Dengue viiruse IgM,29663-2,Bld,kasutatav_nimetus
Dengue viiruse RNA,XXX-Dengue virus RNA,Dengue viiruse RNA,Dengue viiruse RNA,6387-5,,t_nimetus
Dengue viiruse vastane IgG seerumis/plasmas,"S,P-Dengue virus IgG",Dengue viiruse vastane IgG seerumis/plasmas,Dengue viiruse IgG,29661-6,Bld,t_nimetus
Dengue viiruse vastane IgM seerumis/plasmas,"S,P-Dengue virus IgM",Dengue viiruse vastane IgM seerumis/plasmas,Dengue viiruse IgM,29663-2,Bld,t_nimetus
Dermatofüütide hüüfid,XXX-Dermatofüütide hüüfid,Dermatofüütide hüüfid,Dermatofüütide hüüfid,A-2932,,kasutatav_nimetus
Dermatophagoides farinae IgE (immunoblot),"S,P-d2 IgE IB",Dermatophagoides farinae vastane IgE seerumis/plasmas (immunoblot),Dermatophagoides farinae IgE (immunoblot),15680-2,Bld,kasutatav_nimetus
Dermatophagoides farinae IgG,"S,P-d2 IgG",Dermatophagoides farinae vastane IgG seerumis/plasmas,Dermatophagoides farinae IgG,63075-6,Bld,kasutatav_nimetus
Dermatophagoides farinae IgG4,"S,P-d2 IgG4",Dermatophagoides farinae vastane IgG4 seerumis/plasmas,Dermatophagoides farinae IgG4,56241-3,Bld,kasutatav_nimetus
Dermatophagoides farinae vastane IgE seerumis/plasmas,"S,P-d2 IgE",Dermatophagoides farinae vastane IgE seerumis/plasmas,D farinae IgE,6095-4,Bld,t_nimetus
Dermatophagoides farinae vastane IgE seerumis/plasmas (immunoblot),"S,P-d2 IgE IB",Dermatophagoides farinae vastane IgE seerumis/plasmas (immunoblot),Dermatophagoides farinae IgE (immunoblot),15680-2,Bld,t_nimetus
Dermatophagoides farinae vastane IgG4 seerumis/plasmas,"S,P-d2 IgG4",Dermatophagoides farinae vastane IgG4 seerumis/plasmas,Dermatophagoides farinae IgG4,56241-3,Bld,t_nimetus
Dermatophagoides farinae vastane IgG seerumis/plasmas,"S,P-d2 IgG",Dermatophagoides farinae vastane IgG seerumis/plasmas,Dermatophagoides farinae IgG,63075-6,Bld,t_nimetus
Dermatophagoides microceras vastane IgE seerumis/plasmas,"S,P-d3 IgE",Dermatophagoides microceras vastane IgE seerumis/plasmas,D microceras IgE,14036-8,Bld,t_nimetus
Dermatophagoides microcereas IgG,"S,P-d3 IgG",Dermatophagoides microcereas vastane IgG seerumis/plasmas,Dermatophagoides microcereas IgG,L-4918,,kasutatav_nimetus
Dermatophagoides microcereas vastane IgG seerumis/plasmas,"S,P-d3 IgG",Dermatophagoides microcereas vastane IgG seerumis/plasmas,Dermatophagoides microcereas IgG,L-4918,,t_nimetus
Dermatophagoides pteronyssimus IgG4,"S,P-d1 IgG4",Dermatophagoides pteronyssimus vastane IgG4 seerumis/plasmas,Dermatophagoides pteronyssimus IgG4,56242-1,Bld,kasutatav_nimetus
Dermatophagoides pteronyssimus vastane IgG4 seerumis/plasmas,"S,P-d1 IgG4",Dermatophagoides pteronyssimus vastane IgG4 seerumis/plasmas,Dermatophagoides pteronyssimus IgG4,56242-1,Bld,t_nimetus
Dermatophagoides pteronyssinus IgE (immunoblot),"S,P-d1 IgE IB",Dermatophagoides pteronyssinus vastane IgE seerumis/plasmas (immunoblot),Dermatophagoides pteronyssinus IgE (immunoblot),15682-8,Bld,kasutatav_nimetus
Dermatophagoides pteronyssinus IgG,"S,P-d1 IgG",Dermatophagoides pteronyssinus vastane IgG seerumis/plasmas,Dermatophagoides pteronyssinus IgG,81772-6,Bld,kasutatav_nimetus
Dermatophagoides pteronyssinus vastane IgE seerumis/plasmas,"S,P-d1 IgE",Dermatophagoides pteronyssinus vastane IgE seerumis/plasmas,D pteronyssinus IgE,6096-2,Bld,t_nimetus
Dermatophagoides pteronyssinus vastane IgE seerumis/plasmas (immunoblot),"S,P-d1 IgE IB",Dermatophagoides pteronyssinus vastane IgE seerumis/plasmas (immunoblot),Dermatophagoides pteronyssinus IgE (immunoblot),15682-8,Bld,t_nimetus
Dermatophagoides pteronyssinus vastane IgG seerumis/plasmas,"S,P-d1 IgG",Dermatophagoides pteronyssinus vastane IgG seerumis/plasmas,Dermatophagoides pteronyssinus IgG,81772-6,Bld,t_nimetus
Desmogleiin 1 IgG,"S,P-Dsg1 IgG",Desmogleiin 1 vastane IgG seerumis/plasmas,Desmogleiin 1 IgG,63218-2,Bld,kasutatav_nimetus
Desmogleiin 1 IgG tiiter,"S,P-Dsg1 IgG titr",Desmogleiin 1 vastase IgG tiiter seerumis/plasmas,Desmogleiin 1 IgG tiiter,A-4722,,kasutatav_nimetus
Desmogleiin 1 vastane IgG seerumis/plasmas,"S,P-Dsg1 IgG",Desmogleiin 1 vastane IgG seerumis/plasmas,Desmogleiin 1 IgG,63218-2,Bld,t_nimetus
Desmogleiin 1 vastase IgG tiiter seerumis/plasmas,"S,P-Dsg1 IgG titr",Desmogleiin 1 vastase IgG tiiter seerumis/plasmas,Desmogleiin 1 IgG tiiter,A-4722,,t_nimetus
Desmogleiin 3 IgG,"S,P-Dsg3 IgG",Desmogleiin 3 vastane IgG seerumis/plasmas,Desmogleiin 3 IgG,63219-0,Bld,kasutatav_nimetus
Desmogleiin 3 IgG tiiter,"S,P-Dsg3 IgG titr",Desmogleiin 3 vastase IgG tiiter seerumis/plasmas,Desmogleiin 3 IgG tiiter,A-4724,,kasutatav_nimetus
Desmogleiin 3 vastane IgG seerumis/plasmas,"S,P-Dsg3 IgG",Desmogleiin 3 vastane IgG seerumis/plasmas,Desmogleiin 3 IgG,63219-0,Bld,t_nimetus
Desmogleiin 3 vastase IgG tiiter seerumis/plasmas,"S,P-Dsg3 IgG titr",Desmogleiin 3 vastase IgG tiiter seerumis/plasmas,Desmogleiin 3 IgG tiiter,A-4724,,t_nimetus
Desmosoomide IgG,"S,P-DSA IgG",Desmosoomidevastane IgG seerumis/plasmas,Desmosoomide IgG,82975-4,Ser/Plas,kasutatav_nimetus
Desmosoomide IgG tiiter,"S,P-DSA IgG titr",Desmosoomidevastase IgG tiiter seerumis/plasmas,Desmosoomide IgG tiiter,71368-5,Bld,kasutatav_nimetus
Desmosoomidevastane IgG seerumis/plasmas,"S,P-DSA IgG",Desmosoomidevastane IgG seerumis/plasmas,Desmosoomide IgG,82975-4,Ser/Plas,t_nimetus
Desmosoomidevastase IgG tiiter seerumis/plasmas,"S,P-DSA IgG titr",Desmosoomidevastase IgG tiiter seerumis/plasmas,Desmosoomide IgG tiiter,71368-5,Bld,t_nimetus
Detsenoüülkarnitiin seerumis/plasmas,"S,P-C10:1-carnitine",Detsenoüülkarnitiin seerumis/plasmas,C10:1-karnitiin,30328-9,Ser/Plas,t_nimetus
Detsenoüülkarnitiin vereplekist,BS-C10:1-carnitine,Detsenoüülkarnitiin vereplekist,C10:1-karnitiin,45198-9,Bld,t_nimetus
Dexamethazone supression test (1mg),Dexamethazone supression test (1mg),Deksametasooni supressioonitest (1 mg),Deksametasooni supressioonitest (1 mg),L-3483,,t_lyhend
Dexamethazone supression test (1mg) Deksametasooni supressioonitest (1 mg),Dexamethazone supression test (1mg),Deksametasooni supressioonitest (1 mg),Deksametasooni supressioonitest (1 mg),L-3483,,t_lyhend + t_nimetus
Dexamethazone supression test (large),Dexamethazone supression test (large),Suur klassikaline deksametasooni supressioonitest,Suur klassikaline deksametasooni supressioonitest,L-3486,,t_lyhend
Dexamethazone supression test (large) Suur klassikaline deksametasooni supressioonitest,Dexamethazone supression test (large),Suur klassikaline deksametasooni supressioonitest,Suur klassikaline deksametasooni supressioonitest,L-3486,,t_lyhend + t_nimetus
Dexamethazone supression test (small),Dexamethazone supression test (small),Väike klassikaline deksametasooni supressioonitest,Väike klassikaline deksametasooni supressioonitest,L-3484,,t_lyhend
Dexamethazone supression test (small) Väike klassikaline deksametasooni supressioonitest,Dexamethazone supression test (small),Väike klassikaline deksametasooni supressioonitest,Väike klassikaline deksametasooni supressioonitest,L-3484,,t_lyhend + t_nimetus
D farinae IgE,"S,P-d2 IgE",Dermatophagoides farinae vastane IgE seerumis/plasmas,D farinae IgE,6095-4,Bld,kasutatav_nimetus
DFS70 IgG,"S,P-DFS70 IgG",DFS70-vastane IgG seerumis/plasmas,DFS70 IgG,82998-6,Ser/Plas,kasutatav_nimetus
DFS70-vastane IgG seerumis/plasmas,"S,P-DFS70 IgG",DFS70-vastane IgG seerumis/plasmas,DFS70 IgG,82998-6,Ser/Plas,t_nimetus
DHEA,"S,P-DHEA",Dehüdroepiandrosteroon seerumis/plasmas,DHEA,15054-0,Ser/Plas,kasutatav_nimetus
DHEAS,"S,P-DHEAS",Dehüdroepiandrosteroonsulfaat seerumis/plasmas,DHEAS,14688-6,Ser/Plas,kasutatav_nimetus
D-hepatiidi viiruse RNA hulk plasmas,P-HDV RNA QN,D-hepatiidi viiruse RNA hulk plasmas,HDV RNA QN,80426-0,Ser/Plas,t_nimetus
D-hepatiidi viiruse RNA seerumis/plasmas,"S,P-HDV RNA",D-hepatiidi viiruse RNA seerumis/plasmas,HDV RNA,7906-1,Bld,t_nimetus
D-hepatiidi viiruse vastane IgM seerumis/plasmas,"S,P-HDV IgM",D-hepatiidi viiruse vastane IgM seerumis/plasmas,HDV IgM,34597-5,Bld,t_nimetus
D-hepatiidi viiruse vastased antikehad seerumis/plasmas,"S,P-HDV Ab",D-hepatiidi viiruse vastased antikehad seerumis/plasmas,HDV Ab,13248-0,Bld,t_nimetus
Diabeet,Pt-Diabetes status,Diabeet,Diabeet,33248-6,^Patient,kasutatav_nimetus
Diamiini oksüdaas seerumis/plasmas,"S,P-DAO",Diamiini oksüdaas seerumis/plasmas,DAO,60438-9,Ser/Plas,t_nimetus
Dibukaiinarv,"S,P-DN",Dibukaiinarv seerumis/plasmas,Dibukaiinarv,39354-6,Ser/Plas,kasutatav_nimetus
Dibukaiinarv seerumis/plasmas,"S,P-DN",Dibukaiinarv seerumis/plasmas,Dibukaiinarv,39354-6,Ser/Plas,t_nimetus
dic(9;20) (FISH),XXX-dic(9;20) FISH,dic(9;20) translokatsioon (FISH),dic(9;20) (FISH),72827-9,Bld,kasutatav_nimetus
dic(9;20) translokatsioon (FISH),XXX-dic(9;20) FISH,dic(9;20) translokatsioon (FISH),dic(9;20) (FISH),72827-9,Bld,t_nimetus
Didanosine (gen),P-DDI (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi didanosiin-tundlikkus geneetiliste mutatsioonide alusel,Didanosine (gen),30284-4,Isolate,kasutatav_nimetus
DiGeorge II sündroom - 10p14 (FISH),B-10p14 FISH,DiGeorge II sündroom - 10p14 mikrodeletsioon verest (FISH),DiGeorge II sündroom - 10p14 (FISH),A-3058,,kasutatav_nimetus
DiGeorge II sündroom - 10p14 mikrodeletsioon verest (FISH),B-10p14 FISH,DiGeorge II sündroom - 10p14 mikrodeletsioon verest (FISH),DiGeorge II sündroom - 10p14 (FISH),A-3058,,t_nimetus
"DiGeorge ja Phelan-McDermid sündroomid - TUPLE1(22q11.2), SHANK3(22q13.3) (FISH)","XXX-TUPLE1(22q11.2), SHANK3(22q13.3) FISH","DiGeorge ja Phelan-McDermid sündroomid - TUPLE1(22q11.2), SHANK3(22q13.3) mikrodeletsioonid (FISH)","DiGeorge ja Phelan-McDermid sündroomid - TUPLE1(22q11.2), SHANK3(22q13.3) (FISH)",34517-3,Bld,kasutatav_nimetus
"DiGeorge ja Phelan-McDermid sündroomid - TUPLE1(22q11.2), SHANK3(22q13.3) mikrodeletsioonid (FISH)","XXX-TUPLE1(22q11.2), SHANK3(22q13.3) FISH","DiGeorge ja Phelan-McDermid sündroomid - TUPLE1(22q11.2), SHANK3(22q13.3) mikrodeletsioonid (FISH)","DiGeorge ja Phelan-McDermid sündroomid - TUPLE1(22q11.2), SHANK3(22q13.3) (FISH)",34517-3,Bld,t_nimetus
Digoksiin,"S,P-Digox",Digoksiin seerumis/plasmas,Digoksiin,10535-3,Ser/Plas,kasutatav_nimetus
Digoksiin (nmol/L),"S,P-Digoxin (nmol/L)",Digoksiin seerumis/plasmas (nmol/L),Digoksiin (nmol/L),14698-5,Ser/Plas,kasutatav_nimetus
Digoksiin seerumis/plasmas,"S,P-Digox",Digoksiin seerumis/plasmas,Digoksiin,10535-3,Ser/Plas,t_nimetus
Digoksiin seerumis/plasmas (nmol/L),"S,P-Digoxin (nmol/L)",Digoksiin seerumis/plasmas (nmol/L),Digoksiin (nmol/L),14698-5,Ser/Plas,t_nimetus
Dihüdrobiopteriin liikvoris,CSF-BH2,Dihüdrobiopteriin liikvoris,Dihüdrobiopteriin liikvoris,47581-4,CSF,kasutatav_nimetus
Dihüdrotestosteroon,"S,P-DHT",Dihüdrotestosteroon seerumis/plasmas,Dihüdrotestosteroon,15057-3,Ser/Plas,kasutatav_nimetus
Dihüdrotestosteroon seerumis/plasmas,"S,P-DHT",Dihüdrotestosteroon seerumis/plasmas,Dihüdrotestosteroon,15057-3,Ser/Plas,t_nimetus
Diphyllobothrium latum,St-D latum-m,Diphyllobothrium latum mikroskoopia roojast (formaliineeter),Diphyllobothrium latum,A-3265,,kasutatav_nimetus
Diphyllobothrium latum mikroskoopia roojast (formaliineeter),St-D latum-m,Diphyllobothrium latum mikroskoopia roojast (formaliineeter),Diphyllobothrium latum,A-3265,,t_nimetus
Diplokokid,XXX-Diplokokid,Diplokokid,Diplokokid,A-4472,,kasutatav_nimetus
D-ksüloos uriinis,U-D-Xyl,D-ksüloos uriinis,D-ksüloos uriinis,3135-1,Urine,t_nimetus
d-ksüloos uriinis (5 h pärast ksüloosi manustamist),U-D-Xyl 5h,d-ksüloos uriinis (5 tundi pärast ksüloosi manustamist),d-ksüloos uriinis (5 h pärast ksüloosi manustamist),22627-4,Urine,kasutatav_nimetus
d-ksüloos uriinis (5 tundi pärast ksüloosi manustamist),U-D-Xyl 5h,d-ksüloos uriinis (5 tundi pärast ksüloosi manustamist),d-ksüloos uriinis (5 h pärast ksüloosi manustamist),22627-4,Urine,t_nimetus
D microceras IgE,"S,P-d3 IgE",Dermatophagoides microceras vastane IgE seerumis/plasmas,D microceras IgE,14036-8,Bld,kasutatav_nimetus
DNA indeks mononukleaarsetes rakkudes (voolutsütomeetria),XXX-DNA index MN Fc,DNA indeks täpsustamata materjali mononukleaarsetes rakkudes (voolutsütomeetria),DNA indeks mononukleaarsetes rakkudes (voolutsütomeetria),30912-0,,kasutatav_nimetus
DNA indeks täpsustamata materjali mononukleaarsetes rakkudes (voolutsütomeetria),XXX-DNA index MN Fc,DNA indeks täpsustamata materjali mononukleaarsetes rakkudes (voolutsütomeetria),DNA indeks mononukleaarsetes rakkudes (voolutsütomeetria),30912-0,,t_nimetus
DNA kaksikahela vastane IgG seerumis/plasmas,"S,P-dsDNA IgG",DNA kaksikahela vastane IgG seerumis/plasmas,dsDNA IgG,63379-2,Bld,t_nimetus
DNA kaksikahela vastase IgG hulk seerumis/plasmas,"S,P-dsDNA IgG QN",DNA kaksikahela vastase IgG hulk seerumis/plasmas,dsDNA IgG QN,33800-4,ser,t_nimetus
DNA kaksikahela vastase IgG tiiter seerumis/plasmas,"S,P-dsDNA IgG titr",DNA kaksikahela vastase IgG tiiter seerumis/plasmas,dsDNA IgG tiiter,58466-4,Bld,t_nimetus
Doa antigeen,B-RBC D little o little a Ag,Doa antigeen,Doa antigeen,996-9,Bld,kasutatav_nimetus
Do antigeenid,B-RBC D little o Ag,Do antigeenid,Do antigeenid,L-5287,,t_nimetus
Dob antigeen,B-RBC D little o little b Ag,Dob antigeen,Dob antigeen,58060-5,Bld,kasutatav_nimetus
Dobrova viiruse IgG,"S,P-Dobrova virus IgG",Dobrova viiruse vastane IgG seerumis/plasmas,Dobrova viiruse IgG,70055-9,Ser/Plas,kasutatav_nimetus
Dobrova viiruse IgG (kinnitav),"S,P-Dobrova virus IgG conf",Dobrova viiruse vastane IgG seerumis/plasmas (kinnitav uuring),Dobrova viiruse IgG (kinnitav),A-4180,,kasutatav_nimetus
Dobrova viiruse IgM,"S,P-Dobrova virus IgM",Dobrova viiruse vastane IgM seerumis/plasmas,Dobrova viiruse IgM,70054-2,Ser/Plas,kasutatav_nimetus
Dobrova viiruse vastane IgG seerumis/plasmas,"S,P-Dobrova virus IgG",Dobrova viiruse vastane IgG seerumis/plasmas,Dobrova viiruse IgG,70055-9,Ser/Plas,t_nimetus
Dobrova viiruse vastane IgG seerumis/plasmas (kinnitav uuring),"S,P-Dobrova virus IgG conf",Dobrova viiruse vastane IgG seerumis/plasmas (kinnitav uuring),Dobrova viiruse IgG (kinnitav),A-4180,,t_nimetus
Dobrova viiruse vastane IgM seerumis/plasmas,"S,P-Dobrova virus IgM",Dobrova viiruse vastane IgM seerumis/plasmas,Dobrova viiruse IgM,70054-2,Ser/Plas,t_nimetus
Dobutamiini PK/PD genotüüp (sekveneerimine),B-Dobu seq,Dobutamiini PK/PD genotüüp (sekveneerimine),Dobutamiini PK/PD genotüüp (sekveneerimine),A-4408,,t_nimetus
Dodekanoüülkarnitiin seerumis/plasmas,"S,P-C12-carnitine",Dodekanoüülkarnitiin seerumis/plasmas,C12-karnitiin,30331-3,Ser/Plas,t_nimetus
Dodekanoüülkarnitiin vereplekist,BS-C12-carnitine,Dodekanoüülkarnitiin vereplekist,C12-karnitiin,45199-7,Bld,t_nimetus
Doksütsükliin,Is-Doxycycline,Doksütsükliin,Doksütsükliin,18917-5,Isolate,kasutatav_nimetus
Doksütsükliin Disk,Is-Doxycycline Disc,Doksütsükliin Disk,Doksütsükliin Disk,226-1,Isolate,t_nimetus
Doksütsükliin Grad,Is-Doxycycline Grad,Doksütsükliin Grad,Doksütsükliin Grad,7008-6,Isolate,kasutatav_nimetus
Dolutegravir (gen),P-DTG (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi dolutegraviir-tundlikkus geneetiliste mutatsioonide alusel,Dolutegravir (gen),72857-6,Isolate,kasutatav_nimetus
Doonori nimi,Pt-Name of donor,Doonori nimi,Doonori nimi,L-4885,,kasutatav_nimetus
Doonorivere sobivusproov,B-XmB,Doonorivere sobivusproov,Doonorivere sobivusproov,1250-0,Ser/Plas,t_nimetus
Doonorivere sobivusproovi paneel,B-XmB panel,Doonorivere sobivusproov (paneel),Doonorivere sobivusproovi paneel,L-4392,,kasutatav_nimetus
Doonorivere sobivusproov (paneel),B-XmB panel,Doonorivere sobivusproov (paneel),Doonorivere sobivusproovi paneel,L-4392,,t_nimetus
Doonormaterjali aeroobne külv,XXX-Aerobic culture DM,Doonormaterjali aeroobne külv,Doonormaterjali aeroobne külv,A-3056,,kasutatav_nimetus
Doonormaterjali anaeroobne külv,XXX-Anaerobic culture DM,Doonormaterjali anaeroobne külv,Doonormaterjali anaeroobne külv,A-4077,,t_nimetus
Doonormaterjali Candida külv,XXX-Candida culture DM,Doonormaterjali Candida külv,Doonormaterjali Candida külv,A-4078,,kasutatav_nimetus
