,analysis_name,system_type
3030,Kaltsium seerumis,blood
3035,"Toiduallergeenide (paneel 73: sea-, veise-, kana-, lambaliha) vastane IgE",blood
3038,IgE- üld,blood
3043,vankomütsiini baaskonsentratsioon,blood
3050,Transferriin,blood
3052,Seente DNA veres (real-time PCR-meetodil),blood
3059,Inerleukiin 6 vastsündinu plasmas,blood
3061,Üksikallergeeni d73 (GLYCOPHAGUS DOMESTICUS) vastased IgE antikehad seerumis,blood
3067,S-H pylori Ab,blood
3097,"S,P-Reumatoidfaktor",blood
3100,Vastsündinu veregrupianalüüs,blood
3108,sobitamised,blood
3109,Laktoosi taluvuse test 30min pärast laktoosi manustamist,blood
3126,Testosteroon,blood
3157,Erütrotsütaarsed antikehade (tüpiseerimine),blood
3158,Glükoosi taluvuse test -- 1,blood
3164,folaat paastuseerumis,blood
3182,glükohemoglobiin,blood
3184,Vaba trijoodtüroniin,blood
3189,Müoglobiin,blood
3193,B-WBC,blood
3201,B-hepatiidi viiruse pinnaantigeen seerumis,blood
3205,Borrelia burgdorferi immunoblot analüüs,blood
3207,Mycoplasma pneumoniae vastased IgG-antikehad,blood
3214,Erütrotsütaarsete antikehade sõeltest geeltehnikaga (2 erütrots),blood
3233,Fibriini D-dimeerid,blood
3235,Treponema pallidum vastane IgG seerumis (kinnitav uuring),blood
3238,Treponema pallidumi vastased IgM-antikehad,blood
3255,Spetsiifiline IgE koduloomade paneel EP1,blood
3298,Bordetella pertussis vastane IgA,blood
3311,Erütrotsütaarsete antikehade sõeluuring geeltehnikaga (3 erütrotsüüdiga),blood
3314,Chlamydia trachomatise vastased IgG antikehad,blood
3347,B hepatiidi viiruse ümbrise vastased antikehad,blood
3348,Kaalium,blood
3355,Dehüdroepiandrosteroonsulfaat seerumis,blood
3365,Insuliinivastased antikehad,blood
3374,Tomativastane IgE,blood
3375,Treponema pallidumi vastased IgG ja IgM antikehad,blood
3410,Chlamydia trachomatise vastased IgM-antikehad,blood
3411,Borrelia burgdorferi vastased IgG-antikehad seerumis,blood
3418,transferriin,blood
3419,Alaniini aminotransferaas seerumis/plasmas,blood
3421,Valk,blood
3426,CA 125,blood
3441,Gluteeni vastane IgE seerumis,blood
3446,Eesnäärmesekreedi uuring,blood
3447,"Kardiolipiinivastased antikehad (IgG, IgM, IgA)",blood
3450,Ammoonium paastuplasmas,blood
3459,Borrelia IgM,blood
3465,"Epidermaalsete allergeenide (paneel 70:merisea, jänese, hamstri epiteel, rott, hiir) vastane IgE seerumis",blood
3469,Mycoplasma pneumoniae vastased antikehad,blood
3483,Mycoplasma pneumoniae vastane IgG seerumis,blood
3488,Tamme õietolmu vastane IgE seerumis,blood
3512,Prokaltsitoniin plasmas,blood
3515,Immunoglobiin G,blood
3518,Tsüklilise tsitrulleeritud peptiidi vastased antikehad,blood
3522,Protrombiini rahvusvaheline normitud suhtarv,blood
3530,Endomüüsiumivastased IgA-antikehad,blood
3531,Parietaalrakkude vastane IgG seerumis,blood
3533,Kasvaja-antigeen CA 15-3,blood
3541,"Y.enterocolitica03,-09, Y.pseudotuberculosis vastased antikehad",blood
3545,Biokeemia analüüs-normis; kliiniline vereanalüüs:,blood
3546,RPR (Rapid plasma reagin) test,blood
3556,Anti-HIV1/2 uuring,blood
3560,Mycoplasma pneumoniae vastana IgM seerumis,blood
3574,Helicobacter pylori vastane antikeha seerumis,blood
3589,Borrelia burgdorferi vastane IgG seerumis (kinnitav uuring),blood
3596,RS - viiruse vastased IgM-antikehad,blood
3597,Dehüdroepiandrosteroonsulfaat,blood
3632,Gammaglutamüüli transferaas seerumis/plasmas,blood
3637,HSV 2 IgG,blood
3652,"S,P-CRP-hs",blood
3658,"Inimese immuunpuudulikkuse viiruse 1. ja 2. tüübi vastased antikehad, p24 antigeen",blood
3666,Mittetreponemaalse reagiini vastase antikeha tiiter seerumis,blood
3675,Herpes simplex viirus 1 IgM tüüpi antikehad,blood
3694,Üksikallergeeni f78 (kaseiin) vastased IgE antikehad seerumis,blood
3700,Beeta-2-mikroglobuliin seerumis,blood
3722,FPSA,blood
3733,SS-B/La vastane IgG seerumis (ENA IgG paneel),blood
3745,HBeAg,blood
3749,Prokaltsitoniin seerumis,blood
3752,Kartsinoembrüonaalne antigeen seerumis CEA,blood
3764,Borrelia IgM antikehade immunoblotuuring,blood
3782,Borrelia burgdorferii vastased IgG-antikehad seerumis,blood
3783,Östradiool seerumis,blood
3785,Pepsinogeen I seerumis,blood
3791,Kolesterool,blood
3793,Insuliin seerumis,blood
3798,Prostataspetsiifiline antigeen,blood
3810,"Treponema pallidumi vastased antikehad (IgG, IgM), geeltehnikaga (IDPaGIA)",blood
3826,Triglütseriidid seerumis (kolorimeetria),blood
3828,"fS,fP-HDL-Chol",blood
3833,Lihtherpeseviiruse 1. tüübi vastane IgM,blood
3852,Glük. Hgb,blood
3855,HIV kvantitatiivne määramine täisverest,blood
3859,Treponema pallidumi vastased IgM antikehad seerumis,blood
3860,"Salmonella (typhi; paratyphi A, B, C; typhimurium; enteritidis) vastased antikehad seerumis",blood
3885,"Herpes simplex 1, antikehad (seerumist)",blood
3887,Spetsiifiline IgE pähklite paneel FP1,blood
3890,Koorioni gonadotropiin seerumis,blood
3904,Transferriini lahustuvad retseptorid,blood
3907,"Hepatiit C viirus, PCR (tuvastamine, tüpeerimine) seerumis",blood
3912,Vabad kappa ja lambda kergahelad seerumis,blood
3916,Chlamydia pneumoniae vastased IgA antikehad,blood
3921,Vere automaatuuring ilma leukogrammita,blood
3935,Leukotsüütide pinnaantigeenide CD4 ja CD8 määramine,blood
3942,Glükoosi taluvuse test rasedatel plasmast,blood
3952,kreatiniin,blood
3955,B-hepatiidi viiruse tuuma antigeeni vastane IgM seerumis,blood
3959,Üksikallergeeni f12 (hernes) vastased IgE antikehad seerumis,blood
3960,S-Prot,blood
3965,ANTIKEHADE TÜPISEERIMINE,blood
3975,Toksikoloogia analüüs Hiiul,blood
3987,Aktiveeritud proteiin C resistentsus,blood
3989,Bordetella pertussise vastased IgA-antikehad,blood
3997,Haemophilus influenzae tüüp B vastane IgG seerumis,blood
4013,H.pylori vastased antikehad,blood
4019,Gamma-glutamüüli transferaas,blood
4026,Madala tihedusega lipoproteiini kolesterool,blood
4033,Kreatiniin seerumis/plasmas,blood
4063,Naatrium,blood
4073,Türeoidperoksüdaasi vastased autoantikehad,blood
4083,Parietaalrakkude vastased antikehad,blood
4110,Reumatoidfaktor seerumis/plasmas,blood
4111,S-PSA,blood
4121,fT3 Vaba trijoodtüroniin plasmas,blood
4124,Glükohemoglobiin veres (SI),blood
4139,Chlamydophila pneumoniae vastane IgM,blood
4157,Vaba türoksiin,blood
4182,B-hepatiidi pinnaantigeen,blood
4190,Glükoosi taluvuse proov enne glükoosi manustamist,blood
4192,Tursa vastane IgE seerumis,blood
4193,Kreatiniini kliirens,blood
4225,Epstein-Barr viiruse vastane IgM seerumis,blood
4239,Follitropiin ehk folliikuleid stimuleeriv hormoon,blood
4241,Herpes simplex viiruse 2 IgG tüüpi antikehad,blood
4250,Erütrotsütaarsed antikehad (sõeluuring),blood
4263,LDL- kolesterool paastuseerumis,blood
4265,Laktoosi taluvuse proov enne laktoosi manustamist,blood
4272,Reumatoidfaktor,blood
4279,"Spetsiifiline IgE Inhalatsiooniallergeenide segu suhtes(kask,timut,puju,kass,koer,hobune,Dermatophagoides pteronyssinus,Cladospo",blood
4288,TP1 spetsiifiline IgE allergeenide segu suhtes,blood
4293,Doonorivere sobivusproov,blood
4294,Foolhape,blood
4296,Immuunglobuliin A seerumis,blood
4303,magneesium,blood
4304,GGT,blood
4320,Kaltsium,blood
4321,Türeoidperoksüdaasvastane IgG seerumis,blood
4328,Kilpnäärme peroksüdaasi vastased autoantikehad seerumis,blood
4330,HIV-1 kvantitatiivne uuring PCR-ga,blood
4337,Glükoos plasmas 120 minutit pärast koormust,blood
4343,B-HbA1c-IFCC,blood
4346,ENA paneel,blood
4356,Kasvaja marker HE4,blood
4358,Hepatiit B tuumaantigeeni vastaste antikehade määramine,blood
4388,Chlamydia trachomatis vastane IgA seerumis,blood
4391,B-hepatiidiviirus DNA seerumist,blood
4403,Shigella vastaste antikehade määramine,blood
4404,Vaba türoksiin seerumis/plasmas,blood
4425,türeoglobuliin seerumis,blood
4427,Spetsiifiline IgE kass,blood
4430,Angiotensiini muundav ensüüm,blood
4448,Ferritiin,blood
4454,Kreatiini kinaasi MB fraktsioon,blood
4459,B-GR-arv,blood
4467,B-hepatiidi viiruse DNA veres,blood
4470,Glükoos plasmas 60 minutit pärast koormust,blood
4481,Mao parietaalrakkude antikehad,blood
4492,vereäige mikroskoopia,blood
4493,"Inimese immuunpuudulikkuse 1 ja 2 viiruste vastased antikehad, kiiruuring",blood
4499,Antimitokondriaalsete antikehade profiil seerumist,blood
4513,Dermatophagoides farinae vastane IgE seerumis,blood
4519,LDL- kolesterool paastuseerumi,blood
4520,B12-vitamiin (kobalamiin) seerumis,blood
4531,Spetsiifiline IgE inhaleeritav paneel IP8,blood
4532,Inimese immuunpuudulikkuse viiruse 1. ja 2. tüübi verifitseerimise tulemus,blood
4535,Magneesium seerumis/plasmas,blood
4537,B hepatiidi viiruse tuuma vastased antikehad,blood
4539,B-Gluc,blood
4542,Mycoplasma pneumoniae IgA,blood
4575,Transferiin,blood
4584,Leukotsüütide pinnaretseptor HLA B27,blood
4618,Kreatiniini kinaasi MB isoensüümi mass plasmas,blood
4621,"HIV1/2 antikehad, p24 antigeen",blood
4630,Alfa-amülaas seerumis,blood
4635,B-hepatiidiviiruse tuuma vastased antikehad,blood
4636,Leukotsüütide pinnaantigeen HLA17,blood
4645,Erütrotsüütide settekiirus Westergreni järgi mm/h,blood
4653,"Hallitusseente (paneel 1: Penicillium notatum, Cladosporium herbarum, Aspergillus fumigatus, Alternaria alternata, Candida albic",blood
4660,"Neuronaalsete antigeenide vastane IgA, IgM, IgG seerumis",blood
4673,Kõrge tihedusega lipoproteiini kolesterool seerumis (kolorimeetria),blood
4675,B-hepatiidiviiruse DNA määramine PCR-ga,blood
4698,"Borrelia burgdorferi, antikehad vereseerumist",blood
4706,Maksa-neeru mikrosoomide vastased antikehad,blood
4714,"Hemogramm, patoloogiline (vereäige mikroskoopia)",blood
4722,Urea,blood
4731,Immunoglobuliin E,blood
4752,Aktiveeritud partsiaalne tromboplastiini aeg,blood
4766,Kortisool seerumis/plasmas,blood
4776,CRP,blood
4778,E1 Spetsiifiline IgE üksikallergeeni (kassiepiteel) suhtes,blood
4779,ABO veregrupi määramine geeltehnikaga,blood
4797,Puukentsefaliidiviiruse IgG antikehad,blood
4798,Kaltsitoniin paastuseerumis/paastuplasmas,blood
4824,"Beeta-2-glükoproteiin 1 vastane IgA, IgG, IgM seerumis",blood
4827,Inimese immuunpuudulikkuse 1. ja 2. tüübi viiruse verifitseerimine immunoblotinguga,blood
4834,Kolesterool seerumis,blood
4844,Helicobacter pylori vastased antikehad,blood
4851,"Toiduallergeenide paneel 3 (nisu, kaer, mais, seesam, tatar) vastane IgE seerumis",blood
4852,Kreatiini kinaasi MB isoensüümi mass seerumis/plasmas,blood
4856,Formaldehüüdi vastane IgE seerumis,blood
4857,TSH Kilpnääret stimuleeriv hormoon seerumis,blood
4859,ABO veregrupp (esmane),blood
4860,Tsüklilise tsitrulleeritud peptiidi vastane IgG seerumis,blood
4864,Foliikuleid stimuleeriva hormooni ivastased IgA antikehad,blood
4901,Chlamydia trachomatise vastased IgG-antikehad,blood
4904,Osmolaalsus,blood
4911,INR - Protrombiini indeks,blood
4965,Insuliin,blood
4973,B-HbA1c (IFCC),blood
4974,Koorioni gonadotropiin (Immulite Plus),blood
4975,"Treponema pallidum-i vastased antikehad - mittespetsiifiline RPR test Y.enterocolitica03, Y. enterocolitica09, Y.pseudotuberculo",blood
4978,Mycoplasma pneumoniae vastane IgA seerumis,blood
4981,Protrombiini aeg,blood
4987,Komplemendi komponent C3,blood
4990,Borrelia WB IgG kinnitav test seerumis,blood
5008,"S,P-Uurea",blood
5012,Troponiin T hs (kõrgtundlik) STAT (kiirtest),blood
5015,Haptoglobiin,blood
5058,Immuunoglobuliin A,blood
5072,Otsene antiglobuliintest,blood
5084,Vitamiin B12,blood
5105,Kilpnääret stimuleeriv hormoon seerumis,blood
5118,LDL-kolesterool,blood
5138,Üksikallergeeni f25( tomat) vastased IgE antikehad seerumis,blood
5154,GP4 spetsiifiline IgE allergeenide segu suhtes,blood
5173,Treponema pallidumi vastased antikehad seerumis - mittespetsiifiline RPR test (lateksaglutinatsioon),blood
5176,Formaldehüüdivastane IgE,blood
5209,triglütseriidid,blood
5213,Glükoosi taluvuse test (suukaudne) plasmast,blood
5217,Kasvaja antigeen HE-4 (munasari),blood
5220,Spetsiifiline IgE üksikallergeeni suhtes,blood
5225,Muud uuringud,blood
5252,Üksikallergeeni d70 (ACARUS SIRO) vastased IgE antikehad seerumis,blood
5299,"Troponiin T, kardiaalne hs",blood
5304,Kasvajaantigeen CA 15-3 seerumis,blood
5335,Valk seerumis,blood
5351,Autoimmuunsete müosiitidega seotud IgG seerumis,blood
5372,Treponema pallidumi vastaste IgG antikehade immuunoblot uuring seerumis,blood
5382,Toxoplasma gondii vastased IgG antikehad,blood
5397,Kilpnääret stimuleeriv hormoon seerumis/plasmas,blood
5398,Troponiin T kardiaalne veres,blood
5406,Laktoosi taluvuse proov,blood
5407,Üksikallergeeni e5 (koer) vastased IgE antikehad seerumis,blood
5409,Hüübimise uuringud,blood
5423,Karikakra õietolmu vastane IgE seerumis,blood
5439,Transferriini saturatsioon,blood
5443,Lutropiin ehk luteiniseeriv hormoon,blood
5457,Inimese immuunpuudulikkuse 1 ja 2 viiruste vastased antikehad seerumis,blood
5465,"EP70 spetsiifiline IgE allergeenide segu (merisea epiteel, jänese epiteel, hamstri epiteel, rott, hiir) suhtes",blood
5467,"C-hepatiidiviirus, PCR (tuvastamine, tüpeerimine) seerumist",blood
5476,Üksikallegeeni k80 (FORMALDEHÜÜD) vastased IgE antikehad seerumis,blood
5478,LDL - Madala tihedusega lipoproteiini kolesterool,blood
5483,Sünnieelne kromosoomihaiguste riskihinnang I trimestril seerumis,blood
5485,Vaba trijoodtüroniin seerumis,blood
5490,Laktaat venoosses plasmas,blood
5496,Kreatiini kinaasi MB isoensüümi mass seerumis,blood
5499,"Borrelia vastased IgG antikehad, seerumist",blood
5504,Kaltsium (ioniseeritud) seerumis,blood
5508,"Chlamydophila pneumoniae, IgM antikehad",blood
5510,Biokeemia,blood
5544,folliikuleid stimuleeriv hormoon seeumis,blood
5551,Inimese immuunpuudulkkuse 1 tüüpi viiruse RNA kvantitatiivne määramine PCR meetodil,blood
5554,Kusihape,blood
5556,"Chlamydia pneumoniae vastased antikehad,vereseerumist",blood
5567,Herpes simplex viiruse IgM tüüpi antikehad,blood
5573,Puukentsefaliit IgG,blood
5574,Glükoosi taluvuse test (2 tundi peale koormust),blood
5590,Aspartaadi aminotransferaas seerumis,blood
5594,"Linnusulgede paneel 71 (hani, kana, part, kalkun) vastane IgE seerumis",blood
5606,Süsivesikdefitsiitne transferriin,blood
5637,Vitamiin B12 plasmas,blood
5644,Allergia paneel 1 (täiskasvanu),blood
5652,A-hepatiidi viiruse vastane igG,blood
5653,spetsiifiline IgE allergeenide segu suhtes,blood
5661,GPT Alaniini aminotransferaas,blood
5664,Kasvaja-antigeen CA-125,blood
5665,Müosiidi autoantikehade paneel seerumist,blood
5666,Mycoplasma pneumoniae vastane IgM seerumis,blood
5672,Immuunoglobuliin M,blood
5681,Tsütokiin interferon täisveres,blood
5705,Reumaroidfaktor,blood
5712,Leptospiraceae sp. vastased antikehad seerumis,blood
5714,Tuumavastane IgG seerumis,blood
5723,Bordetella parapertussis vastane IgG,blood
5724,ABO veregrupi määramine tasapinnal,blood
5746,Glükoosi taluvuse proov rasedatel,blood
5751,Koorioni gonadotropiin ja beeta ahel seerumis,blood
5798,Lihtherpeseviiruse 1. ja 2. tüübi vastane IgM seerumis,blood
5815,Aktiveeritud osaliste tromboplastiinide aeg,blood
5818,Üksikallergeeni t3 (kask) vastased IgE antikehad seerumis,blood
5829,"Puude õietolmu (paneel 9: lepp, sarapuu, paju, kask, tamm) vastane IgE",blood
5852,"Kardiolipiini vastane IgA, IgM, IgG seerumis",blood
5876,Epstein-Barri viiruse varase antigeeni vastased IgM-antikehad,blood
5899,Türeotropiin e. kilpnääret stimuleeriv hormoon,blood
5904,luteiniseeriv hormoon seerumis,blood
5905,Müoglobiin plasmas,blood
5915,kusihape,blood
5926,Inimese immuunpuudulikkuse 1 tüüpi viiruse RNA kvantitatiivne määramine PCR-ga,blood
5942,Paragripiviiruse vastased IgA-antikehad,blood
5943,Tuumavastased Ak-d (ANA),blood
5950,H1 spetsiifiline IgE üksikallergeeni (majatolm - Greer) suhtes,blood
5959,S-ALT,blood
5977,Vitamiin D (25-OH),blood
5979,HBsAg (kinnitav uuring),blood
5991,Prokaltsitoniin,blood
5999,NT-proBNP,blood
6003,Yersinia vastaste antikehade määramine,blood
6026,Kreatiniin paastuseerumis,blood
6035,Epstein-Barri viiruse IgM antikehad,blood
6044,Epstein-Barri viiruse vastased antikehad seerumis (lateksaglutinatsioon),blood
6061,Otsese Coombsi testi diferentseerimine (tüpiseerimine või tiitrimine),blood
6063,EMA IgA-Endomüüsiumi IgA autoantikehad,blood
6068,Dermatophagoides farinae vastane IgE,blood
6072,E-hepatiidi viiruse vastane IgM seerumis,blood
6083,S1 Prostataseptiline antigeen,blood
6085,Alfa-fetoproteiin (AFP),blood
6092,Transf. lahustuvad retseptorid,blood
6156,"Allergeenide segu gp1 - heintaimede vastased IgE antikehad seerumis (kerahein, aruhein, raihein, timut, aasnurmikas)",blood
6167,B-TÜÜPI NAATRIUREETILINE N-TERMINAALNE PROPEPTIID,blood
6176,immunoglobuliin M,blood
6185,Chlamydophila pneumoniae vastased IgM antikehad,blood
6199,Võilille õietolmu vastane IgE seerumis,blood
6229,Puukentsefaliidi viiruse vastane IgM seerumis,blood
6245,S2-Ig fkapa/Ig flambda,blood
6273,Helicobacter pylori vastane IgG seerumis,blood
6282,amülaas,blood
6294,"S,P-ALAT",blood
6299,Yersinia enterocolitica O9 vastaste antikehade tiiter seerumis,blood
6327,Herilasmürgivastane IgE,blood
6329,Bordetella pertussis vastased IgA antikehad,blood
6331,+Prolaktiin,blood
6340,albumiin,blood
6391,Dermatophagoides pteronyssinus vastane IgE,blood
6408,Toxoplasma gondii vastane IgA seerumis,blood
6409,spetsiifiline IgE üksikallergeeni suhtes,blood
6410,Vitamiin D3,blood
6419,Vitamiin D (25-OH) seerumis,blood
6458,Trep.pallidium IgM+IgG,blood
6464,Maapähklivastane IgE seerumis,blood
6468,HBsAg kinnitav test,blood
6477,Glükoosi taluvuse test (enne koormust),blood
6486,HLA B27 alleel,blood
6495,Paratüriin ehk parathormoon,blood
6510,Väljast tellitud analüüsid,blood
6515,"FP51 spetsiifiline IgE allergeenide segu (tomat, porgand, kartul, küüslauk, sinep) suhtes",blood
6525,Yersinia pseudotuberculosis vastaste antikehade tiiter seerumis,blood
6545,Kaltsium (ioniseeritud) seerum,blood
6550,Tsütomegaloviiruse vastased IgM tüüpi antikehad,blood
6559,C-peptiid paastuseerumis/paastuplasmas,blood
6560,Glükeeritud hemoglobiini fraktsioon,blood
6566,Glükohemoglobiin veres,blood
6570,CKMB,blood
6571,Shigella sonnei antikehad,blood
6572,Lipaas seerumis,blood
6575,Üksikallergeeni t2 (lepp) vastased IgE antikehad seerumis,blood
6588,"S,P-Kusihape",blood
6632,"Bilirubiin, otsene (direct)",blood
6638,Kasvajaantigeen CA 15-3 seerum,blood
6648,Gliadiinivastane IgA seerumis,blood
6656,"Heintaimede paneel 1 (kera-, aru-, raihein, timut, aasnurmikas) vastane IgE seerumis",blood
6667,Nahakoe basaalmembraani vastased antikehad,blood
6677,Mycoplasma pneumoniae vastane IgA,blood
6685,Türetropiin ehk kilpnääret stimuleeriv hormoon,blood
6691,Türeoglobuliini vastane IgG seerumis,blood
6698,B-hepatiidi viiruse pinna antigeen seerumis,blood
6713,A-hepatiidi viiruse vastane IgG,blood
6716,"WP1 spetsiifiline IgE allergeenide segu (harilik ambroosia, puju, inglise teeleht, valge hanemalts, ohakas) suhtes",blood
6736,Gripiviirus B vastased IgM-antikehad seerumis,blood
6749,Immuunoglobuliin E,blood
6768,Reumatoidfaktor paastuseerumis,blood
6802,Kaltsium paastuseerumis,blood
6809,Transferiini lahustavad retseptorid,blood
6830,HDL-kolesterool,blood
6834,Üldine immuunoglobuliin M seerumis,blood
6836,Natriureetilised peptiidid,blood
6842,Maksa-neeru mikrosoomidevastased antikehad,blood
6858,erütrotsüütide settekiirus,blood
6871,Bilirubiin seerumis/plasmas,blood
6886,Bordetella pertussise vastased IgM-antikehad,blood
6901,Progesteroon seerumis,blood
6903,helikobacter pylori,blood
6922,Koe transglutaminaasi vastane IgA seerumis,blood
6931,Aldosteroon,blood
6945,Erütropoetiin,blood
6951,Epstein-Barr viiruse kapsiidi antigeeni vastane IgG seerumis,blood
6952,"IP8 spetsiifiline IgE allergeenide segu (d pternossinus, kass, koer, põldtimut, rukis, cl herbatum, kask,puju) suhtes",blood
6961,S-Na,blood
6963,Anti-Mülleri hormoon seerumis,blood
6964,kartsioembrionaalne antigeen,blood
6967,"Paratüriin ehk parathormoon, plasmas",blood
6985,Hepatiit C viiruse kvantitatiivne määramine real-time PCR meetodil plasmast,blood
6989,Shingella flexneri serotüüpide 1-5 vastane antikeha seerumis,blood
7000,Shigella flexneri serotüüpide 1-5 vastane antikeha seerumis,blood
7013,"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul",blood
7017,AB0-veregrupp ja RhD antigeen (kinnitav uuring),blood
7026,Laktoosi taluvuse proov 60min pärast laktoosi manustamist,blood
7052,B-GR-%,blood
7054,Parathormoon paastuplasmas,blood
7061,Mycoplasma pneumoniae IgM,blood
7067,ALP,blood
7068,S-Antistreptolüsiin O,blood
7084,Faktor V Leideni mutatsioon,blood
7086,Glükoosi toletaütsuse test,blood
7104,S-ALP,blood
7107,Vask seerumis,blood
7109,Kasvajaantigeen CA 19-9 seerumis,blood
7123,Banaanivastane IgE,blood
7126,Glükoos paastuplasmas,blood
7130,Valproehape seerumis,blood
7139,Kassi epiteeli ja kõõma vastane IgE,blood
7147,Yersinia enterocolitica 09 vastane antikeha seerumis,blood
7168,Spetsiifiline IgE formaldehüüd,blood
7177,Proteiin S aktiivsus,blood
7209,vitamiin B12 paastuseerumis,blood
7224,Mitokondritevastased antikehad,blood
7230,Laktoosi taluvuse test enne laktoosi manustamist,blood
7242,Villavastane IgE,blood
7244,Borrelia burgdorferi vastane IgG seerumis,blood
7245,lipaas,blood
7252,EP70 spetsiifiline IgE allergeenide segu suhtes,blood
7285,Folliikuleid stimuleeriva hormooni vastane IgG,blood
7313,"fS,fP-Glükoos",blood
7314,Treponema pallidum vastane antikeha seerumis,blood
7315,Kreatiniin seerumis (kolorimeetria),blood
7318,Fosfaat seerumis/plasmas,blood
7319,Immuunglobuliin M,blood
7329,Türotropiini retseptorite vastane IgG,blood
7332,Üldvalk seerumis,blood
7333,Laktoosi taluvuse proov 90min pärast laktoosi manustamist,blood
7339,Yersinia enterocolitica O3vastased antikehad,blood
7340,Borrelia burgdorferi vastane IgM (kinnitav uuring),blood
7368,Vitamiin D (25 - OH),blood
7372,beeta-2 mikroglobuliin seerumis,blood
7377,S-aBorr.bur. IgM (WB),blood
7379,Inimese immuunpuudulikkuse viiruse 1. ja 2. tüübi vastased antikehad (ribaanalüüs),blood
7395,Spetsiifiline IgE õun,blood
7415,Cardiovascular risk,blood
7422,ANTI-HIV-1/-2 UURING ELISA MEETODIL ÜHE TESTAUGUGA,blood
7423,Spetsiifiline IgE banaan,blood
7435,B-tüüpi natriureetilise propeptiidi N-fragment,blood
7458,Üld immunoglobuliin E,blood
7467,"FP3 spetsiifiline IgE allergeenide segu (nisu, kaer, mais, seesami seemned, tatar) suhtes",blood
7470,Kaalium seerumis,blood
7474,Albumiin seerumis (kolorimeetria),blood
7475,C-reaktiivne valk seerumis,blood
7493,kolesterool,blood
7495,CD4+/CD8+ rakkude arv ja suhe,blood
7499,Retikulotsüüdid,blood
7501,Troponiin T,blood
7520,Dehüdroepiandrosteroonsulfaat seerumis/plasmas,blood
7521,Erlichia vastased IgG antikehad,blood
7530,Immunoglobuliin G,blood
7534,Enteroviiruste vastased IgM-antikehad,blood
7544,Immuunmeetodi uuringud,blood
7556,Lepidoglyphus destructor vastane IgE seerumis,blood
7576,Karbamasepiin seerumis,blood
7604,B-tüüpi natriureetiline N-terminaalne propeptiid,blood
7608,Proteinaas 3 vastane IgG seerumis,blood
7649,Mycopl.pn.IgM,blood
7654,kasvajaantigeen CA 19-9 seerumis,blood
7672,lihtherpeseviiruse 1.tüübi vastane IgG seerumis,blood
7683,Lipaas,blood
7684,Treponema pallidum vastane IgM seerumis (kinnitav uuring),blood
7693,Üksikallergeeni w8 (võilill) vastased IgE antikehad seerumis,blood
7694,"S,P-CRP",blood
7695,Puukentsefaliit IgM,blood
7711,Fosfor,blood
7720,Nisujahu vastane IgE seerumis,blood
7724,Fosfaat paastuseerumis,blood
7725,Puukentsefaliidiviirusevastased IgM-antikehad seerumis,blood
7744,Troponiin T (kardiaalne)seerumis/plasmas,blood
7753,Glükoosi profiil plasmast,blood
7766,Reniin,blood
7772,Epstein-Barri viiruse IgG antikehad,blood
7792,Mycoplasma pneumoniae vastane IgG,blood
7797,Üksikallergeeni d71 (LEPIDOGLYPHUS DESTRUCTOR) vastased IgE antikehad seerumis,blood
7815,C-hepatiidi viiruse RNA hulk seerumis,blood
7820,Kassi epiteeli ja kõõma vastane IgE seerumis,blood
7842,Mycoplasma pneumoniae vastane IgM,blood
7844,C peptiid,blood
7864,Retikulotsüütide mikroskoopia,blood
7869,Vitamiin B12 paastuseerumis,blood
7873,"Chlamydophila pneumoniae, IgG antikehad immuunmeetodil, seerumist",blood
7876,Kartulivastane IgE,blood
7882,B-RBC,blood
7885,Laktaadi dehüdrogenaas,blood
7899,Türeotropiin e. kilpnääret stimuleeriv hormoon seerumis,blood
7913,Glükoosi taluvuse test (suukaudne) seerumist,blood
7916,ALAT,blood
7917,Puukensefaliidi viiruse vastene IgG,blood
7918,GOT Aspartaadi aminotransferaas,blood
7924,"FP73 spetsiifiline IgE allergeenide segu (sealiha, loomaliha, kanaliha, talleliha) suhtes",blood
7950,Kortisool,blood
7984,Monoklonaalsed immunoglobuliinid seerumis,blood
7996,Transferiin ja transferiini saturatsioon,blood
8020,Komplemendi komponent C4 seerumis,blood
8021,Homotsüsteiin plasmas,blood
8043,Treponema pallidum-i vastased IgM ja IgG antikehad seerumis TPPA meetodil,blood
8051,fT4 - Vaba türoksiin seerumis,blood
8053,U1 ribonukleoproteiini vastane IgG seerumis (ENA IgG paneel),blood
8061,hepatiit C viiruse vastased antikehad seerumis,blood
8076,B-hepatiidi kiirtest,blood
8077,Paragripiviiruse vastased IgM-antikehad,blood
8082,FP51 spetsiifiline IgE allergeenide segu suhtes,blood
8126,Shigella flexneri sertüübi 6 vastane antikeha seerumis,blood
8134,"Borrelia burgdorferii vastased IgM antikehade immunoblotuuring, seerumis",blood
8144,Lehmapiimavastane IgE,blood
8147,Tarakanivastane IgE,blood
8161,LDH - Laktaadi dehüdrogenaas seerumis,blood
8166,Sperma uuringud,blood
8169,"Sulgede (paneel 71: hane-, kana-, pardi-, kalkunisuled) vastane IgE",blood
8176,Immuunglobuliin G alaklassid,blood
8178,Parathormoon paastueerumis,blood
8182,Kasvaja-antigeen CA 125 plasmas,blood
8189,Kreatiini kinaas seerumis/plasmas,blood
8190,B-hepatiidi viiruse DNA plasmas,blood
