analysis_name,parameter_name,parameter_code,unit,analyte,property,system,time_aspect,scale
Mikrobioloogilised uuringud,Clue rakud,734,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,GenProbe Neisseria gonorrhoea,1003,,,,urine,,
Mikrobioloogilised uuringud,TMP-SMX,144261,,,,urine,,
Happe-alus tasakaal,pO2(Hapniku osarõhk),71689,mm Hg,,,Bld,Pt,Qn
Hematoloogilised uuringud,RDW(Erütrotsüütide suurusjaotuvuse (varjatsioonikoehvitsent)),615,%,RDW,Ratio,Bld,Pt,Qn
Uriini uuringud,AAV1 1 U-pH(Uriini pH),1125,pH,pH,LsCnc,urine,,
Hemogramm viieosalise leukogrammiga,B-NEUT#,B-CBC-Diff,10^9/L,Neut,Num,Bld,Pt,Qn
Hematoloogilised uuringud,%MI,2193,%,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,ninasõõrmed,791,,,,Bld,Pt,Qn
LTKH allhanked,Histoloogiline uuring(3.),11522,,,,Bld,Pt,Qn
Spetsiifiline IgE allergeenide segu suhtes,"IgE fp5 ( munavalge, piim, tursk, nisu, maapähkel, sojauba)",S2-fp5_IgE,kU/L,,,Bld,Pt,Qn
Immuunuuringud,Troponiin I (ülitundlik),1410,ng/ml,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Amoksitsillin/klavulaanhape MI,146227,,,,urine,,
Uriini analüüs 10-parameetrilise testribaga,Uriini erütrotsüüdid,U-Strip,/uL,,,urine,,
Mikrobioloogilised uuringud,Gentamütsiin(Gentamütsiin),59382,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,f31 / sp IgE porgandi suhtes,,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,w7 / sp IgE karikakra suhtes,w7/spIgEkarikakrasuhtes,,,,Bld,Pt,Qn
Liikvori analüüs,CSFWBC Leukotsüüdid liikvoris,CSFWBCLeukotsüüdidliikvoris,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Penitsilliin,144272,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsiprofloksatsiin,144346,,,,urine,,
Uriini uuringud,U-Alb(Albumiin uriinis),1197,mg/l,,,urine,,
Hematoloogilised uuringud,2 B-Diff-LYMPH-arv(Lümfotsüüdid absoluutarv),22,10 l,Lymph,Num,Bld,Pt,Qn
Mikrobioloogilised uuringud,EB Tsefotaksiim,144314,,,,urine,,
Vere automaatuuring,RDW-CV,B1-CBC,%,RDW,Ratio,Bld,Pt,Qn
Mikrobioloogilised uuringud,Sy-Aer(Aeroobse mikrofloora külv (liigesevedelikust)),1751,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsefuroksiim (suukaudne)(Tsefuroksiim (suukaudne)),65468,,,,urine,,
Mikrobioloogia labor (haigla),Seenerakud,43214,,,,Bld,Pt,Qn
VÄL,Vitamiin B1,41454,pmol/l,,,Bld,Pt,Qn
Kliinilise keemia uuringud,"Crea vedelikest(Kreatiniin vedelikest (dialüsaadid, punktaadid))",70406,µmol/l,,,Bld,Pt,Qn
Väljast tellitud analüüsid,N.gonorrhoeae (PCR),N.gonorrhoeae(PCR),,,,Bld,Pt,Qn
Seroloogilised uuringud,Borrelia WB IgM (kinnitav test seerumis(Borrelioos WB IgM (kinnitav test) seerumist ja liikvorist),1229,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,infektsioon,497,,,,Bld,Pt,Qn
Biokeemia labor (haigla),P4-cTn,10488,ng/ml,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Nimetus,30315,,,,urine,,
Uriini ribaanalüüs,Värvus,U-Strip,-,,,urine,,
Kliiniline vere ja glükohemoglobiini analüüs,BASO#,BASO#,#,Baso,Num,Bld,Pt,Qn
Biokeemia analüüs,U-Na Naatrium uriinis,U-NaNaatriumuriinis,,,,urine,,
Hemogramm viieosalise leukogrammiga,B-LYMPH%,B-CBC-Diff,%,Lymph,NCnc,Bld,Pt,Qn
Immuunuuringud,tam(tamm),11191,IU/ml,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Gentamütsiin,144263,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Klindamütsii,69534,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,U-Ident(Aeroobide uuring uriinist (URICULT)),469,,,,Bld,Pt,Qn
Välisanalüüsid,B-HLAB27(Leukotsüütide pinnaretseptor HLA B27),10631,,,,Bld,Pt,Qn
Biokeemia,Kolesterool,107,mmol/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,4 B-Diff-LYMPH-%(Lümfotsüüdid protsent),25,%,Lymph,NCnc,Bld,Pt,Qn
Kliinilise keemia uuringud,CR,1294,mg/l,,,Bld,Pt,Qn
Väljast tellitud analüüsid,Parvoviirus B IgM,ParvoviirusBIgM,,,,Bld,Pt,Qn
Vere automaatuuring 5-osalise leukogrammiga,WBC,B-A5Diff,10 ^9 /L,WBC,NCnc,Bld,Pt,Qn
Vere automaatuuring 3-osalise leukogrammiga,"WBC,10^9/L",vB-CBC-3,.,WBC,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,1 B-Eo%(Eosinofiilide suhtarv),621,%,Eo,NCnc,Bld,Pt,Qn
Immuunuuringud,selle(seller),11216,IU/ml,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Erütrotsüüdid,U-Sedim,r/vv,Erütrotsüüdid,Naric,urine,,
VÄL,RET%,41269,%,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Penitsilliin MIK,30113,,,,urine,,
Sperma biok uuringud,IL-6 eesnäärme sekreedis,2731,ng/L,,,Bld,Pt,Qn
VÄL,ALP-isoensüümid,41194,,,,Bld,Pt,Qn
Vere automaatuuring 5-osalise leukogramm,MCV,B-CBC+Diff,fL,MCV,EntVol,Bld,Pt,Qn
Kliiniline vere ja glükohemoglobiini analüüs,Hemogramm leukogrammita - CBC,,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,f49 / sp IgE õuna suhtes,,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Tsefepii,30137,,,,urine,,
B-autom5diff,MCH,,pg,MCH,EntMass,Bld,Pt,Qn
Hemogramm viieosalise leukogrammiga,Lymph%,vB-CBC-5Diff,%,Lymph,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,Basofiile,42,%,Baso,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Cc-Myc(Seente külv (tsentraalkateetrilt)),2156,,,,Bld,Pt,Qn
Hematoloogilised uuringud,4 TRBC,35,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Wdt-Aer(Aeroobide uuring haavaeritisest (tampooniga)),562,,,,urine,,
Mikrobioloogilised uuringud,Oksatsilliin(Oksatsilliin),71044,,,,Bld,Pt,Qn
Biokeemia analüüs,S-PCT (prokaltsitoniin),S-PCT(prokaltsitoniin),,,,urine,,
Vereäige mikroskoopia,Polükromaasia,B1-Hemo-p,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,infektsioo,510,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),TMP-SMX,30164,,,,urine,,
Hematoloogilised uuringud,4 B-Baso%(Basofiilide suhtarv),622,%,Baso,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Penitsilliin,144295,,,,urine,,
Mikrobioloogilised uuringud,Mikroobi kogu,66704,,,,Bld,Pt,Qn
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),PCT,B-CBC+Diff,%,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Tuubulussilindrid (U),U-Sedim,s/vv,,,urine,,
Mikrobioloogia labor (haigla),Vankomütsiin MI,30109,,,,urine,,
Hematoloogilised uuringud,9 B-WBC(Leukotsüüdid),605,/nL,WBC,NCnc,Bld,Pt,Qn
Hematoloogilised ja uriini uuringud,WBC(WBC),11100,10 l,WBC,NCnc,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Meropeneem,30135,,,,urine,,
"Hemogramm, (mikroskoopia)",makro-,B-Hemo-m,.,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Cort / Kortisool,Cort/Kortisool,,,,Bld,Pt,Qn
Biokeemia labor (haigla),Natriureetilised peptiidi,7036,pg/ml,,,Bld,Pt,Qn
Kliiniline vere ja glükohemoglobiini analüüs,Trombotsüütide agregaadid,Trombotsüütideagregaadid,,,,Bld,Pt,Qn
Hematoloogilised uuringud,B-Hb(Hemoglobiini kontsentratsioon),5639,g/l,HGB,MCnc,Bld,Pt,Qn
Hematoloogia,Eosinofiile,132,%,Eo,NCnc,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Vorikonasool MIK,30226,,,,Bld,Pt,Qn
Uriini uuringud,Ülemineku epiteel,4873,,,,urine,,
Immuunmeetoditel uuringud,t 14 sp IgE pappeli suhtes,t14spIgEpappelisuhtes,,,,Bld,Pt,Qn
Immuunmeetoditel põhinevad uuringud,fS-B12(Vitamiin B12),800,pmol/l,,,fSP,Pt,Qn
Immuunmeetoditel uuringud,Epstein-Barr viiruse kapsiidi antig vast IgM seerumis,,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Imipeneem (MIC)(imipeneem MIC),69675,,,,Bld,Pt,Qn
Uriini analüüs,U-BZD benzodiazepiin uriinis,U-BZDbenzodiazepiinuriinis,,,,urine,,
Biokeemia analüüs,dU-Na Naatrium ööpäevases uriinis,dU-NaNaatriumööpäevasesuriinis,,,,urine,,
Vere automaatuuring 5-osalise leukogrammiga,WBC,B-A5Diff,10x9/l,WBC,NCnc,Bld,Pt,Qn
LTKH allhanked,CSF-S-IgG-indeks(3.),69665,,,,Bld,Pt,Qn
Väljast tellitud analüüsid,5-HIAA määramine 24-h uriinist,5-HIAAmääramine24-huriinist,,,,Bld,Pt,Qn
uriini autom,leukotsüüdid,U-uriini_autom,-,Leukotsüüdid,NCnc,urine,,
Biokeemia analüüs,S-ChE (koliini esteraas),S-ChE(koliiniesteraas),,,,urine,,
Immuunmeetoditel uuringud,fx1 paneel toiduallergeenide suhtes,fx1paneeltoiduallergeenidesuhtes,,,,Bld,Pt,Qn
Uriini uuringud,Aeroobne külv: olek,3983,,,,urine,,
Elektroforeetiline uuring,S-gam-gl Gamma globuliinid,S-gam-glGammaglobuliinid,,,,urine,,
Mikrobioloogilised uuringud,Tsefotaksiim MI,144340,,,,urine,,
Kliiniline labor,MPV,10176,fL,MPV,EntVol,Bld,Pt,Qn
Hemogramm (vere automaatuuring leukogrammita),MCV,B-CBC,fl,MCV,EntVol,Bld,Pt,Qn
VÄL,Ret-He,41275,pg,,,Bld,Pt,Qn
Hematoloogilised uuringud,PD,1851,%,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Gentamütsii,144344,,,,urine,,
Doonorvere sobivusproov geeltehnikaga,3.sobivusproov,B-XmB-g,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ampitsillii,30141,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Fusidiin,30270,,,,Bld,Pt,Qn
Hematoloogilised uuringud,Erütrotsüütide settekiirus(Settekiirus Westergreni järgi),701,mm/h,ESR,Vel,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Gentamütsiin MIK,30090,,,,Bld,Pt,Qn
Kliinilise keemia uuringud,CRP(C-reaktiivne valk seerumis (kvantittiivne)),7649,mg/l,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,kül,829,,,,urine,,
Biokeemilised uuringud,fS-Crea 1(Kreatiniin),90,µmol/l,Crea,SCnc,fSP,Pt,Qn
Biokeemia analüüs,CSF-IgG Immuunoglobuliin G liikvoris,CSF-IgGImmuunoglobuliinGliikvoris,,,,urine,,
ABO-veregrupi ja Rh(D) määramine,Rh,B-ABOd+RH(D),-,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Antigeen <ANONYM> vastane IgG seerumis/ Neuronaalsed autoantikehad,,,,,Bld,Pt,Qn
Hematoloogilised uuringud,RDW-SD,700,fL,RDW,EntVol,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsefuroksiim (suukaudne)(Tsefuroksiim (suukaudne)),65492,,,,urine,,
Mikrobioloogilised uuringud,Gentamütsii,30126,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Piperatsilliin-tasobaktaa,30136,,,,urine,,
Mikrobioloogilised uuringud,U-Lepn-A(Legionella pneumophila serogrupp I antigeen immuunmeetodil (keskjoauriinist)),1996,,,,Bld,Pt,Qn
Biokeemia labor (haigla),S2-CR,10462,mg/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,10 B-Baso#(Basofiilide arv),626,/nL,Baso,Num,Bld,Pt,Qn
Vereäige mikroskoopia,Erütrotsüütide anisokromaasia,B-Hemo,-,,,Bld,Pt,Qn
"Ureaplasma urealyticum ja Ureplasma parvum, PCR, uriinist","Ureaplasma parvum, PCR, uriinist",U-Uu+Up-PCR,-,,,urine,,
Mikrobioloogilised uuringud,norfloksatsiin(PERH antibiogramm mikrobioloogia),4760,,,,Bld,Pt,Qn
Autoimmuundiagnostika,SLA/LP,147260,,,,urine,,
Vereäige mikroskoopia,Poikilotsütoos,B-Smear-m,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,F-Cdi(Clostridium difficile B toksiin imuunmeetodil (väljaheitest)),1873,,,,urine,,
Uriini uuringud,U-Pro(Valk uriinis),5037,g/l,,,urine,,
Väljast tellitud analüüsid,Läkaköha IgA,LäkaköhaIgA,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogus,67233,,,,urine,,
Kliiniline vere ja glükohemoglobiini analüüs,Hüpersegmentatsioon,Hüpersegmentatsioon,,,,Bld,Pt,Qn
Biokeemia analüüs,S-Vanco-tp (vankomütsiin tippkonts),S-Vanco-tp(vankomütsiintippkonts),,,,urine,,
Hematoloogilised uuringud,Er. hüpokroomsus,751,korda,,,Bld,Pt,Qn
Immuunuuringud,B-pro BNP(Btüüpi natriureetiline propeptiid plasmas),10581,pg/ml,,,Bld,Pt,Qn
Hematoloogilised uuringud,7 B-Baso%(Basofiilide suhtarv),622,%,Baso,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Klindamütsii(Klindamütsiin),60096,,,,urine,,
Laboratoorne hematoloogia,LYM%,79,%,Lymph,NCnc,Bld,Pt,Qn
Uriini uuringud,AAV1 1 U-Bil(Bilirubiin uriinis),1006,µmol/l,,,urine,,
Immuunmeetoditel uuringud,CA 19-9 kasvajamarker,CA19-9kasvajamarker,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Epstein Barri kiirtest,EpsteinBarrikiirtest,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Cf-Myc(Seente uuring emakakaela eritisest),10342,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Amoksitsilliin-klavulaanhap,30124,,,,Bld,Pt,Qn
Kliinilise keemia uuringud,CRP,388,mg/l,,,Bld,Pt,Qn
VÄL,Ferritiin,41452,ug/L,,,Bld,Pt,Qn
Hingamisteede viiruste RNA/DNA (paneel),B-gripi viiruse RNA,66609_Hingamisteede_viirusste_RN,-,,,Bld,Pt,Qn
VÄL,NEUT%,41257,%,Neut,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Nimetus(Enterobakterid),67546,,,,Bld,Pt,Qn
Uriini uuringud,Makrofaagid,1166,rakku / vaateväli,,,urine,,
Vere automaatuuring 5-osalise leukogrammiga,PDW,B-CBC+Diff,fl,PDW,Ratio,Bld,Pt,Qn
uriini valgu ja sademega,valk,U-uriini_valgu_ja_sademega,-,,,urine,,
Immuunmeetoditel uuringud,TSH \ Türeotropiin,TSH\Türeotropiin,,,,Bld,Pt,Qn
Uriini analüüs,Erütrotsüüdid mikroskoopilisel,Erütrotsüüdidmikroskoopilisel,,Erütrotsüüdid,Naric,urine,,
Immunoloogilised uuringud,Insuliin,1287,mIU/l,,,Bld,Pt,Qn
Uriini uuringud,U-Ery(Er�trots��did uriinis),1007,�l,Erütrotsüüdid,NCnc,urine,,
Happe-alus tasakaal,Shunte,70378,%,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Lameepiteeli rakud,U-Sed-m,-,Lameepiteeli rakud,Naric,urine,,
Hematoloogilised uuringud,PD(Trombotsüütide jaotuvus mahujärgi. e. trombotsüütide anisotsütoosimäär),546,%,PDW,Ratio,Bld,Pt,Qn
Biokeemia analüüs,S-CK (kreatiini kinaas),S-CK(kreatiinikinaas),,,,urine,,
Hematoloogilised uuringud,PDW,7588,%,PDW,Ratio,Bld,Pt,Qn
Mikrobioloogia labor (haigla),TMP-SMX,30127,,,,urine,,
Happe-alus tasakaal,Karboksühemoglobiin,Karboksühemoglobiin,,,,Bld,Pt,Qn
hemogramm,B-WBC,B-CBC-3Diff,10 9 /l,WBC,NCnc,Bld,Pt,Qn
Immuunmeetoditel uuringud,HCG + beeta ahel,,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Penitsilliin MIK meningiit,30295,,,,Bld,Pt,Qn
Biokeemia analüüs,fP-Lp(a) (lipoproteiin a),fP-Lp(a)(lipoproteiina),,,,fSP,Pt,Qn
Erinevad laboratoorsed uuringud,<ANONYM>,316-Välisuuringud,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,As-Aer(Aeroobse mikrofloora külv (astsiidivedelikust)),1728,,,,Bld,Pt,Qn
Toksikoloogia analüüs Hiiul,Vask uriinis,Vaskuriinis,,,,Bld,Pt,Qn
Biokeemia analüüs,S-Li (liitium),S-Li(liitium),,,,urine,,
Mikrobioloogilised uuringud,Oksatsillii(Oksatsilliin),71199,,,,urine,,
Hematoloogilised ja uriini uuringud,MONO%(MONO%),11124,%,Mono,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Piperatsilliin/tasobaktaam MI,144655,,,,urine,,
Vere automaatuuring ilma leukogrammita,WBC Leukotsüüdid,B-CBC,10*9/L,WBC,NCnc,Bld,Pt,Qn
Uriin,KET,,mmol/L,,,urine,,
Hematoloogilised uuringud,Ret-He,40275,pg,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Nimetus(Anaeroobid),67433,,,,urine,,
Uriini sademe mikroskoopia,Amorfsed fosfaadi kristallid,U-Sed-m.,-,,,urine,,
CBC Hemogramm,MCHC,B-CBC,g/l,MCHC,MCnc,Bld,Pt,Qn
Vere automaatuuring leukogrammita,"RDW, CV",vB-CBC-2,.,RDW,Ratio,Bld,Pt,Qn
Kliinilise keemia uuringud,S-Lac(Laktaat venoosses veres),10331,,,,Bld,Pt,Qn
VÄL,Valkude fraktsioonid seerumi,41192,g/l,,,Bld,Pt,Qn
Väljast tellitud analüüsid,"A - gripiviirused, RNA","A-gripiviirused,RNA",,,,Bld,Pt,Qn
Vere automaatuuring 5-osalise leukogrammiga,NEUT Neutrofiilide absoluutarv,B-CBC+Diff,10*9/L,Neut,Num,Bld,Pt,Qn
Immuunmeetoditel uuringud,Ureaplasma parvum DNA ureetrakaapest,UreaplasmaparvumDNAureetrakaapest,,,,Bld,Pt,Qn
Biokeemia analüüs,fS-P1NP (I tüüpi prokollageeni N-terminaalne propeptiid),fS-P1NP(ItüüpiprokollageeniN-terminaalnepropeptiid),,,,urine,,
Mikrobioloogia labor (haigla),Mikroobi kogus,30344,,,,urine,,
Biokeemia analüüs,S-fKappa (K - vabad kerged ahelad),,,,,urine,,
Mikrobioloogilised uuringud,Va-My(Seente külv (tupest)),2157,,,,Bld,Pt,Qn
VÄL,AFP,41443,kU/l,,,Bld,Pt,Qn
Kliiniline vereanalüüs,Basofiilid,Basofiilid,,Baso,unknown,Bld,Pt,Qn
Hemogramm,Neutrofiilide toksiline teralisus,B1-Hemo,-,,,Bld,Pt,Qn
ABO veregrupi ja Rh(D) kuuluvuse kinnitav määramine,ABO veregrupp (kaudne),B-ABO+Rh(D)-verif,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsefuroksiim (suukaudne)(Tsefuroksiim (suukaudne)),65549,,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Granulaarsed silindrid (U),U-Sedim,s/vv,,,urine,,
Mikrobioloogilised uuringud,Klindamütsiin(Klindamütsiin),59922,,,,urine,,
Uriini uuringud,U-Ni(Nitritid uriinis),1014,,,,urine,,
Mikrobioloogilised uuringud,Mikroobi kogu,145413,,,,urine,,
Väljast tellitud analüüsid,"B-gripiviirus, ag","B-gripiviirus,ag",,,,Bld,Pt,Qn
Immuunuuringud,Kasvuhormoon,43563,mIU/l,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Sp-Aer(Aeroobse mikrofloora külv (rögast)),1763,,,,Bld,Pt,Qn
Hemogramm viieosalise leukogrammiga,Baso#,vB-CBC-5Diff,10\9/l,Baso,Num,Bld,Pt,Qn
Immuunuuringud,Vitamiin B12,1362,pmol/l,,,Bld,Pt,Qn
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),P-LCR,B-CBC+Diff,%,LCR,NFr,Bld,Pt,Qn
Liikvori analüüs,CSF-Ig-oligo Immuunglobuliinid (oligoklonaalsed) liikvoris,,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogu,30331,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,f 302 sp IgE mandariini suhtes,f302spIgEmandariinisuhtes,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Tsiprofloksatsiin MIK,30094,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Vaba PSA,VabaPSA,,,,Bld,Pt,Qn
Toksikoloogia analüüs Hiiul,Mangaan seerumis,Mangaanseerumis,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Dr-Anaer(Anaeroobse mikrofloora külv (dreenist)),1780,,,,Bld,Pt,Qn
Hematoloogilised uuringud,Neutrofiilide abs ar,1855,x 10 9/L,Neut,Num,Bld,Pt,Qn
Immuunuuringud,AFP,45061,kU/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,Basofiilid,735,%,Baso,NCnc,Bld,Pt,Qn
Biokeemia analüüs,S-Osmol (osmolaalsus),,,,,urine,,
Biokeemia labor (haigla),S2-CK-M,10509,,,,Bld,Pt,Qn
Hematoloogilised uuringud,C(Rakuline HGB (HGB keskmine sisaldus rakus)),614,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tetrats. 8,910,,,,urine,,
Kliinilise keemia uuringud,B-HbA1c-IFCC,10984,mmol/mol,HbA1c,SFr,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsefoksitiin,146195,,,,urine,,
Seente DNA veres (real-time PCR-meetodil),C.tropicalis,B-Fungi_DNA,-,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),,30157,,,,Bld,Pt,Qn
Kliinilise keemia uuringud,Kaltsiu,589,mmol/l,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,TMP-SMX,144303,,,,urine,,
Mikrobioloogia labor (haigla),Nimetus,30315,,,,Bld,Pt,Qn
Kliinilise keemia uuringud,Naatrium,587,mmol/l,Na,SCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsiprofloksatsiin(Tsiprofloksatsiin),65785,,,,urine,,
Biokeemia analüüs,fP-Ammon (ammoonium),,,,,urine,,
Immuunuuringud,tomat(tomat),11218,IU/ml,,,Bld,Pt,Qn
Biokeemia analüüs,CSF-IgGin Immuunglobuliin G indeks,CSF-IgGinImmuunglobuliinGindeks,,,,urine,,
Mikrobioloogia labor (haigla),Mikroobi kogu,30342,,,,Bld,Pt,Qn
Toksikoloogia analüüs Hiiul,Plii veres,Pliiveres,,,,Bld,Pt,Qn
Hematoloogia labori analüüsid,MCHC,206,g/l,MCHC,MCnc,Bld,Pt,Qn
T/B-lümfotsüütide uuring,CD3+4+ absoluutarv,B-Lymph,x/ul,Lymph,Num,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Vankomütsiin MIK,30147,,,,Bld,Pt,Qn
uriini sademe mikroskoopia,sõmersilindrid,U-Sed-m,-,,,urine,,
Gram-positiivsete bakterite DNA veres (real-time PCR-meetodil,S.aureus,B-Gpos_DNA,-,,,Bld,Pt,Qn
Uriini uuringud,Urobilinogeen,4870,,Urobilinogeen UBG,SCnc,urine,,
Hemogramm viieosalise leukogrammiga,Mono%,vB-CBC-5Diff,%,Mono,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Nimetus,144541,,,,Bld,Pt,Qn
B-autom5diff,PCT,,%,,,Bld,Pt,Qn
Hematoloogilised uuringud,B-MCHC(Keskmine hemoglobiini konsentratsioon erütrotsüüdis),612,g/l,MCHC,MCnc,Bld,Pt,Qn
Uriini sademe mikroskoopia,Bakterid,U-sedim-suprav,.,,,urine,,
Uriini analüüs 10-parameetrilise testribaga,Nitritid,U-Strip,-,,,urine,,
Mikrobioloogilised uuringud,Nimetus(Soole),68049,,,,Bld,Pt,Qn
Biokeemilised uuringud,fs-Glu(Glükoos),76,mmol/l,Gluc,SCnc,Bld,Pt,Qn
Hematoloogilised uuringud,%EO(Eosinofiilid protsent),527,%,Eo,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,Basofiilide %,7591,%,Baso,NCnc,Bld,Pt,Qn
Vere automaatuuring 3-osalise leukogrammiga,RDW Erütrotsüütide anisotsütoosi näitaja,B-A3Diff,%,RDW,Ratio,Bld,Pt,Qn
Hematoloogilised ja uriini uuringud,MCV(MCV),11095,fL,MCV,EntVol,Bld,Pt,Qn
Mikrobioloogilised uuringud,Trichomonas vaginali,742,,,,Bld,Pt,Qn
Vereäige mikroskoopia,Erütrotsüütide poikilotsütoos,B-Smear-m,-,,,Bld,Pt,Qn
Vereäige mikroskoopiline uuring (hemogramm),Monotsüüdid,B-Hemogramm,%,Mono,NCnc,Bld,Pt,Qn
Uriini uuringud,Trippelfosfaadi,1038,,,,urine,,
Hematoloogilised uuringud,2 B-WBC(Leukotsüüdid),605,/nL,WBC,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Nimetus(H. influenzae),67688,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsiprofloksatsiin(Tsiprofloksatsiin),66029,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Erütromütsiin(Erütromütsiin),58817,,,,Bld,Pt,Qn
"Hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",P-LCR,B-CBC-5DIFF-NRBC-RET,%,LCR,NFr,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Penitsilliin MIK,30146,,,,Bld,Pt,Qn
Hematoloogilised uuringud,Lümfotsüüdid,88,%,Lymph,NCnc,Bld,Pt,Qn
Biokeemia,ALAT,88,U/l,ALAT,CCnc,Bld,Pt,Qn
Immuunmeetoditel uuringud,B-hepatiidi viiruse tuuma antig. vast. IgM ja IgG ant,B-hepatiidiviirusetuumaantig.vast.IgMjaIgGant,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Nitrofurantoi(Nitrofurantoin),7238,,,,Bld,Pt,Qn
Biokeemia labor,Glükoos 06.00,10568,mmol/l,Gluc,SCnc,urine,,
Hemogramm viieosalise leukogrammiga,NEUT#,B-CBC-5Diff,10^9/L,Neut,Num,Bld,Pt,Qn
Uriini sademe mikroskoopia,Lameepiteelid,U-Sedim,-,Lameepiteeli rakud,Naric,urine,,
Biokeemia analüüs,S-Alb (albumiin),S-Alb(albumiin),,,,urine,,
Mikrobioloogilised uuringud,Uc-Aer(Aeroobide uuring uriinist (kateeter)),561,,,,urine,,
Kliiniline vere ja glükohemoglobiini analüüs,WBC,,,WBC,NCnc,Bld,Pt,Qn
Immuunmeetoditel uuringud,C-BorG-WB Borrelia burgdorferi vast IgG liikvoris (kinnitav),,,,,Bld,Pt,Qn
