id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la;sentence_analysis_data;peasona;verb;label
533;Train/ilu_indrikson_ud211.conllu;See sobiks sulle , aga see on jama !;11;16;sulle;free;See sobiks , aga see on jama !;100.0;100.0;100.0;('sulle', 2, 2, 'sobiks', 2);sulle;sobiks;1
536;Dev/aja_ee199920_osa4_ud211.conllu;Norra kuninga nö riigiusku alamad ummistasid tänavaid , ülempreester seisis oma lossi rõdul ja imelik hakkas sellel , kellel ei olnud käes Norra lipukest .;134;138;käes;free;Norra kuninga nö riigiusku alamad ummistasid tänavaid , ülempreester seisis oma lossi rõdul ja imelik hakkas sellel , kellel ei olnud Norra lipukest .;87.5;100.0;87.5;('käes', 21, 19, 'hakkas', 16);käes;hakkas;1
543;Train/aja_pm19980926e_ud211.conllu;Naiskülalised võtsid korterisse sisenedes kohe oma mustad mantlid ja pearätid maha ning lausa särasid oma värvilistes tualettides .;102;129;oma värvilistes tualettides;free;Naiskülalised võtsid korterisse sisenedes kohe oma mustad mantlid ja pearätid maha ning lausa särasid .;100.0;100.0;100.0;('tualettides', 16, 14, 'särasid', 14);tualettides;särasid;1
547;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Hingamisteede amüloidoosi manifestatsioonide ja kliinilise tähenduse varieeruvus tingib optimaalsete ravitulemuste tagamiseks äärmiselt individuaalse lähenemise igale patsiendile .;88;125;optimaalsete ravitulemuste tagamiseks;free;Hingamisteede amüloidoosi manifestatsioonide ja kliinilise tähenduse varieeruvus tingib äärmiselt individuaalse lähenemise igale patsiendile .;92.9;92.9;92.9;('tagamiseks', 10, 8, 'tingib', 8);tagamiseks;tingib;1
549;Train/tea_AA_05_6_ud211.conllu;E-politsei süsteem võimaldab otse patrullsõidukist Interneti kaudu liiklejate andmeid kontrollida .;51;66;Interneti kaudu;free;E-politsei süsteem võimaldab otse patrullsõidukist liiklejate andmeid kontrollida .;100.0;100.0;100.0;('kaudu', 6, 6, 'kontrollida', 10);kaudu;kontrollida;1
552;Train/aja_ee200110_osa_2_ud211.conllu;Ülalkirjeldatud meditsiiniline protseduur leiab aset Pirital Tippspordi Uuringukeskuses teisipäeval umbes veerand viis pärast lõunat .;61;87;Tippspordi Uuringukeskuses;free;Ülalkirjeldatud meditsiiniline protseduur leiab aset Pirital teisipäeval umbes veerand viis pärast lõunat .;100.0;100.0;100.0;('Uuringukeskuses', 7, 4, 'leiab', 4);Uuringukeskuses;leiab;1
554;Train/aja_ee200110_osa_2_ud211.conllu;Ülalkirjeldatud meditsiiniline protseduur leiab aset Pirital Tippspordi Uuringukeskuses teisipäeval umbes veerand viis pärast lõunat .;100;118;umbes veerand viis;free;Ülalkirjeldatud meditsiiniline protseduur leiab aset Pirital Tippspordi Uuringukeskuses teisipäeval pärast lõunat .;100.0;100.0;100.0;('viis', 11, 4, 'leiab', 4);viis;leiab;1
559;Train/aja_sloleht20071217_ud211.conllu;Karuks on tänulik Eesti Televisioonile , kes 2002. aastal pakkus osalemist Salt Lake'i tiimis .;18;93;Eesti Televisioonile , kes 2002. aastal pakkus osalemist Salt Lake'i tiimis;free;Karuks on tänulik .;100.0;100.0;100.0;('Televisioonile', 4, 3, 'on', 2);Televisioonile;on;1
560;Train/aja_sloleht20071217_ud211.conllu;Karuks on tänulik Eesti Televisioonile , kes 2002. aastal pakkus osalemist Salt Lake'i tiimis .;45;57;2002. aastal;free;Karuks on tänulik Eesti Televisioonile , kes pakkus osalemist Salt Lake'i tiimis .;100.0;100.0;100.0;('2002.', 7, 9, 'pakkus', 10);2002.;pakkus;1
562;Train/tea_geofyysika.conllu;Geoloogia rakenduslikud suunad tegelevadki kogutud geoloogilisi teadmisi kasutades kaevandatavate maavarade maardlate otsimisega ja varude mahu määramisega .;83;155;kaevandatavate maavarade maardlate otsimisega ja varude mahu määramisega;free;Geoloogia rakenduslikud suunad tegelevadki kogutud geoloogilisi teadmisi kasutades .;100.0;100.0;100.0;('otsimisega', 11, 4, 'tegelevadki', 4);otsimisega;tegelevadki;1
563;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Kliiniliste haigussümptomite tugevus vähenes ravi jooksul tõepäraselt mõlemas rühmas .;45;57;ravi jooksul;free;Kliiniliste haigussümptomite tugevus vähenes tõepäraselt mõlemas rühmas .;100.0;100.0;100.0;('ravi', 4, 4, 'vähenes', 4);ravi;vähenes;1
566;Train/aja_pm20001004_osa_1_ud211.conllu;"Nüüd on aeg ja võimalus minna , "" ütleb tatari rahvusest julgur , kes viis aastat tagasi Tartu Raekoja kella remontis , nüüd aga soovib inglaste 19. sajandil ehitatud koloniaalraudteel läbi Pakistani mägede sõita .";136;144;inglaste;free;"Nüüd on aeg ja võimalus minna , "" ütleb tatari rahvusest julgur , kes viis aastat tagasi Tartu Raekoja kella remontis , nüüd aga soovib 19. sajandil ehitatud koloniaalraudteel läbi Pakistani mägede sõita .";97.1;97.1;100.0;('inglaste', 25, 29, 'soovib', 25);inglaste;soovib;1
568;Train/aja_pm20001004_osa_1_ud211.conllu;"Nüüd on aeg ja võimalus minna , "" ütleb tatari rahvusest julgur , kes viis aastat tagasi Tartu Raekoja kella remontis , nüüd aga soovib inglaste 19. sajandil ehitatud koloniaalraudteel läbi Pakistani mägede sõita .";145;157;19. sajandil;free;"Nüüd on aeg ja võimalus minna , "" ütleb tatari rahvusest julgur , kes viis aastat tagasi Tartu Raekoja kella remontis , nüüd aga soovib inglaste ehitatud koloniaalraudteel läbi Pakistani mägede sõita .";97.0;97.0;100.0;('19.', 26, 28, 'soovib', 25);19.;soovib;1
572;Train/aja_sloleht20071217_ud211.conllu;Temale antud intervjuus ütles Jaak Uudmäe Moskva olümpiavõidu järel skandaalse lause ning veidi hiljem korraldas Karuks eetrikeelu toonud jalgpallimängu .;42;67;Moskva olümpiavõidu järel;free;Temale antud intervjuus ütles Jaak Uudmäe skandaalse lause ning veidi hiljem korraldas Karuks eetrikeelu toonud jalgpallimängu .;100.0;100.0;100.0;('olümpiavõidu', 7, 4, 'ütles', 4);olümpiavõidu;ütles;1
574;Train/ilu_kanep_ud211.conllu;Läksin kööki ja panin vee tulele .;7;12;kööki;free;Läksin ja panin vee tulele .;100.0;100.0;100.0;('kööki', 1, 1, 'Läksin', 1);kööki;Läksin;1
577;Train/ilu_kanep_ud211.conllu;Seda kõledam tundus tuulepuhang laastatud kehal .;32;47;laastatud kehal;free;Seda kõledam tundus tuulepuhang .;100.0;100.0;100.0;('kehal', 5, 2, 'tundus', 3);kehal;tundus;1
579;Train/aja_pm19980926e_ud211.conllu;2000 aastat e.m.a - Egiptuse hauakambritest on leitud joonistusi zhongleerivatest naistest .;20;43;Egiptuse hauakambritest;free;2000 aastat e.m.a - on leitud joonistusi zhongleerivatest naistest .;80.0;80.0;90.0;('Egiptuse', 4, 6, 'leitud', 8);Egiptuse;leitud;1
600;Train/ilu_kivirahk_ud211.conllu;Aga seal meenus talle sinine purk ja tõusis isu .;16;21;talle;free;Aga seal meenus sinine purk ja tõusis isu .;100.0;100.0;100.0;('talle', 3, 3, 'meenus', 3);talle;meenus;1
601;Train/tea_toohoive.conllu;Võib näha , et Eesti keskmise palga väline ostujõud on viimase kümnendi vältel tõusnud 40 korda .;55;78;viimase kümnendi vältel;free;Võib näha , et Eesti keskmise palga väline ostujõud on tõusnud 40 korda .;100.0;100.0;100.0;('viimase', 10, 12, 'tõusnud', 14);viimase;tõusnud;1
605;Train/tea_toohoive.conllu;Sellega kaasnes muidugi ka tööhõive kaotus neis sektoreis .;43;57;neis sektoreis;free;Sellega kaasnes muidugi ka tööhõive kaotus .;85.7;85.7;100.0;('sektoreis', 7, 2, 'kaasnes', 2);sektoreis;kaasnes;1
614;Train/aja_ml200247_osa_8_ud211.conllu;Kadrile oli juba enne Tartu Treffneri gümnaasiumi lõpetamist selge , et pelgalt mõnd teoreetilist laadi eriala õppides poleks see tema rahutule hingele edaspidises elus piisavaid väljakutseid esitanud .;130;151;tema rahutule hingele;free;Kadrile oli juba enne Tartu Treffneri gümnaasiumi lõpetamist selge , et pelgalt mõnd teoreetilist laadi eriala õppides poleks see edaspidises elus piisavaid väljakutseid esitanud .;88.0;88.0;100.0;('tema', 19, 22, 'esitanud', 27);tema;esitanud;1
615;Train/aja_ml200247_osa_8_ud211.conllu;Kadrile oli juba enne Tartu Treffneri gümnaasiumi lõpetamist selge , et pelgalt mõnd teoreetilist laadi eriala õppides poleks see tema rahutule hingele edaspidises elus piisavaid väljakutseid esitanud .;152;168;edaspidises elus;free;Kadrile oli juba enne Tartu Treffneri gümnaasiumi lõpetamist selge , et pelgalt mõnd teoreetilist laadi eriala õppides poleks see tema rahutule hingele piisavaid väljakutseid esitanud .;88.5;88.5;100.0;('edaspidises', 22, 24, 'esitanud', 27);edaspidises;esitanud;1
618;Train/tea_toohoive.conllu;Osaajaga töötamise põhjuste struktuuris on aastail 1989-1996 enam-vähem samaks jäänud õppimisega seotud osaajaga töötamise põhjendus ( ca 10 % ) .;43;60;aastail 1989-1996;free;Osaajaga töötamise põhjuste struktuuris on enam-vähem samaks jäänud õppimisega seotud osaajaga töötamise põhjendus ( ca 10 % ) .;;;;('1989-1996', 6, 6, 'jäänud', 10);1989-1996;jäänud;1
621;Train/aja_epl20061216_ud211.conllu;Lisaks toidule jättiski unustamatu mulje teenindus - viis meest liikusid pidevalt laudade vahel , pakkudes leiba , vett , küsides soove .;82;95;laudade vahel;free;Lisaks toidule jättiski unustamatu mulje teenindus - viis meest liikusid pidevalt , pakkudes leiba , vett , küsides soove .;100.0;100.0;100.0;('laudade', 11, 10, 'liikusid', 10);laudade;liikusid;1
624;Train/aja_luup200202_osa_2_ud211.conllu;Kahtlemata mõõdavad-analüüsivad Euroopa õukondade tseremooniameistrid videolintidelt põhjalikult stseeni , kui lossi rõdule rahvale lehvitama tulnud noorpaari naispool võttis ohjad enda kätte ja suudles Hollandi kuningliku laevastiku kapteni vormis abikaasat pikalt ja kirglikult .;111;123;lossi rõdule;free;Kahtlemata mõõdavad-analüüsivad Euroopa õukondade tseremooniameistrid videolintidelt põhjalikult stseeni , kui rahvale lehvitama tulnud noorpaari naispool võttis ohjad enda kätte ja suudles Hollandi kuningliku laevastiku kapteni vormis abikaasat pikalt ja kirglikult .;93.5;93.5;93.5;('lossi', 10, 12, 'lehvitama', 14);lossi;lehvitama;1
625;Train/aja_luup200202_osa_2_ud211.conllu;Kahtlemata mõõdavad-analüüsivad Euroopa õukondade tseremooniameistrid videolintidelt põhjalikult stseeni , kui lossi rõdule rahvale lehvitama tulnud noorpaari naispool võttis ohjad enda kätte ja suudles Hollandi kuningliku laevastiku kapteni vormis abikaasat pikalt ja kirglikult .;124;131;rahvale;free;Kahtlemata mõõdavad-analüüsivad Euroopa õukondade tseremooniameistrid videolintidelt põhjalikult stseeni , kui lossi rõdule lehvitama tulnud noorpaari naispool võttis ohjad enda kätte ja suudles Hollandi kuningliku laevastiku kapteni vormis abikaasat pikalt ja kirglikult .;93.8;93.8;93.8;('rahvale', 12, 14, 'lehvitama', 14);rahvale;lehvitama;1
627;Train/tea_AA_05_6_ud211.conllu;Et otsingut üle erinevate repositooriumide kiirendada , luuakse LRE keskkonna jaoks agentidel põhinev tarkvara , mis indekseerib liitunud repositooriumide õpiressursse nende metaandmete järgi .;64;83;LRE keskkonna jaoks;free;Et otsingut üle erinevate repositooriumide kiirendada , luuakse agentidel põhinev tarkvara , mis indekseerib liitunud repositooriumide õpiressursse nende metaandmete järgi .;85.7;90.5;85.7;('keskkonna', 9, 8, 'luuakse', 8);keskkonna;luuakse;1
629;Train/tea_AA_05_6_ud211.conllu;Et otsingut üle erinevate repositooriumide kiirendada , luuakse LRE keskkonna jaoks agentidel põhinev tarkvara , mis indekseerib liitunud repositooriumide õpiressursse nende metaandmete järgi .;168;191;nende metaandmete järgi;free;Et otsingut üle erinevate repositooriumide kiirendada , luuakse LRE keskkonna jaoks agentidel põhinev tarkvara , mis indekseerib liitunud repositooriumide õpiressursse .;90.5;90.5;95.2;('metaandmete', 21, 17, 'indekseerib', 17);metaandmete;indekseerib;1
633;Train/aja_luup200106_osa_5_ud211.conllu;Eesmärk oli jätta rootslased ilma transiitkaubanduse vahendamiselt laekuvatest tuludest .;34;66;transiitkaubanduse vahendamiselt;free;Eesmärk oli jätta rootslased ilma laekuvatest tuludest .;37.5;37.5;50.0;('transiitkaubanduse', 5, 7, 'jätta', 3);transiitkaubanduse;jätta;1
646;Train/aja_ml200247_osa_2_ud211.conllu;Iga natukese aja tagant palub mõni prominentne sakslane vabandust selle eest , mis Molotovi-Ribbentropi pakti pärast aset leidis .;83;116;Molotovi-Ribbentropi pakti pärast;free;Iga natukese aja tagant palub mõni prominentne sakslane vabandust selle eest , mis aset leidis .;100.0;100.0;100.0;('Molotovi-Ribbentropi', 13, 15, 'leidis', 18);Molotovi-Ribbentropi;leidis;1
648;Train/aja_pm20001004_osa_2_ud211.conllu;Loomingulised peavad omal kombel olema aga mõlemad .;21;32;omal kombel;free;Loomingulised peavad olema aga mõlemad .;83.3;100.0;83.3;('kombel', 3, 1, 'peavad', 2);kombel;peavad;1
652;Train/tea_geofyysika.conllu;Uue katastroofihüpoteesi esitas 1917. a. inglise füüsik James Hopwood Jeans ( 1877-1946 ) .;32;40;1917. a.;free;Uue katastroofihüpoteesi esitas inglise füüsik James Hopwood Jeans ( 1877-1946 ) .;83.3;83.3;91.7;('a.', 4, 3, 'esitas', 3);a.;esitas;1
656;Dev/aja_epl20070812_ud211.conllu;Sõiduauto MB juht ja kaassõitja , 1971. aastal sündinud Viktoria , paiskusid autost välja ning hukkusid sündmuskohal , tagaistmel istunud 2-aastane poiss toimetati Rakvere haiglasse ja sealt edasi Tallinna Lastehaiglasse .;104;116;sündmuskohal;free;Sõiduauto MB juht ja kaassõitja , 1971. aastal sündinud Viktoria , paiskusid autost välja ning hukkusid , tagaistmel istunud 2-aastane poiss toimetati Rakvere haiglasse ja sealt edasi Tallinna Lastehaiglasse .;90.0;93.3;96.7;('sündmuskohal', 16, 16, 'hukkusid', 16);sündmuskohal;hukkusid;1
662;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Auskultatsioonil olid inspiiriumis kuuldavad peened räginad vasaku kopsu alaosas .;22;34;inspiiriumis;free;Auskultatsioonil olid kuuldavad peened räginad vasaku kopsu alaosas .;88.9;88.9;88.9;('inspiiriumis', 2, 4, 'olid', 2);inspiiriumis;olid;1
670;Train/aja_ml200247_osa_1_ud211.conllu;Jäljed põllul on värskemad ja esemeid , mis koeral jäljelt üles leida tuleb , on samuti vähem .;7;13;põllul;free;Jäljed on värskemad ja esemeid , mis koeral jäljelt üles leida tuleb , on samuti vähem .;88.2;94.1;94.1;('põllul', 1, 4, 'on', 3);põllul;on;1
671;Train/aja_ml200247_osa_1_ud211.conllu;Jäljed põllul on värskemad ja esemeid , mis koeral jäljelt üles leida tuleb , on samuti vähem .;44;50;koeral;free;Jäljed põllul on värskemad ja esemeid , mis jäljelt üles leida tuleb , on samuti vähem .;82.4;88.2;88.2;('koeral', 8, 13, 'tuleb', 13);koeral;tuleb;1
676;Train/aja_epl20061216_ud211.conllu;""" President ei saa paratamatult olla kursis kogu Eesti Vabariigis toimuvaga , ja selleks ongi tal nõunikud , "" selgitas ta .";94;97;tal;free;""" President ei saa paratamatult olla kursis kogu Eesti Vabariigis toimuvaga , ja selleks ongi nõunikud , "" selgitas ta .";85.7;85.7;90.5;('tal', 15, 14, 'selgitas', 20);tal;selgitas;1
679;Train/aja_epl20061216_ud211.conllu;Sellest hoolimata kulges kährikute päästmine Rikbergi hinnangul sujuvalt .;45;63;Rikbergi hinnangul;free;Sellest hoolimata kulges kährikute päästmine sujuvalt .;100.0;100.0;100.0;('hinnangul', 6, 3, 'kulges', 3);hinnangul;kulges;1
683;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .;151;167;raviteenuse eest;free;Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes saamata jäänud tuluga .;87.5;91.7;95.8;('eest', 21, 21, 'saamata', 23);eest;saamata;1
685;Train/aja_pm19980926e_ud211.conllu;Samas võib seesama mulla teha avalikkuse ees mõnele naisterahvale märkuse , kui tal väike juuksetukk rätiku alt välja kipub .;30;44;avalikkuse ees;free;Samas võib seesama mulla teha mõnele naisterahvale märkuse , kui tal väike juuksetukk rätiku alt välja kipub .;94.4;100.0;94.4;('avalikkuse', 5, 5, 'teha', 5);avalikkuse;teha;1
687;Train/aja_pm19980926e_ud211.conllu;Samas võib seesama mulla teha avalikkuse ees mõnele naisterahvale märkuse , kui tal väike juuksetukk rätiku alt välja kipub .;80;83;tal;free;Samas võib seesama mulla teha avalikkuse ees mõnele naisterahvale märkuse , kui väike juuksetukk rätiku alt välja kipub .;94.7;100.0;94.7;('tal', 12, 19, 'kipub', 19);tal;kipub;1
700;Train/aja_luup200106_osa_2_ud211.conllu;See uus klass oli oma eesmärkide teostamisel eriti tige ja sallimatu .;18;44;oma eesmärkide teostamisel;free;See uus klass oli eriti tige ja sallimatu .;100.0;100.0;100.0;('oma', 4, 6, 'oli', 4);oma;oli;1
704;Train/aja_ml200247_osa_2_ud211.conllu;""" Me tuleme pärast õpinguid Eestisse tagasi , "" ütles Harri Altroff , kes tudeerib siin molekulaarbioloogiat .";12;27;pärast õpinguid;free;""" Me tuleme Eestisse tagasi , "" ütles Harri Altroff , kes tudeerib siin molekulaarbioloogiat .";81.2;81.2;87.5;('õpinguid', 4, 3, 'tuleme', 3);õpinguid;tuleme;1
705;Train/aja_ml200247_osa_2_ud211.conllu;""" Me tuleme pärast õpinguid Eestisse tagasi , "" ütles Harri Altroff , kes tudeerib siin molekulaarbioloogiat .";28;36;Eestisse;free;""" Me tuleme pärast õpinguid tagasi , "" ütles Harri Altroff , kes tudeerib siin molekulaarbioloogiat .";82.4;82.4;88.2;('Eestisse', 5, 3, 'tuleme', 3);Eestisse;tuleme;1
707;Train/aja_ee200110_osa_1_ud211.conllu;Sposato väitel põgenes tema ekslauljast pruut Inglismaale Eesti politsei ahistamise eest .;46;57;Inglismaale;free;Sposato väitel põgenes tema ekslauljast pruut Eesti politsei ahistamise eest .;90.9;90.9;100.0;('Inglismaale', 6, 3, 'põgenes', 3);Inglismaale;põgenes;1
719;Train/aja_ee200110_osa_11_ud211.conllu;Kozelek ootab parasjagu oma ansambli 1997. aastal salvestatud albumi avaldamist ( lõpuks ometi ) .;37;49;1997. aastal;free;Kozelek ootab parasjagu oma ansambli salvestatud albumi avaldamist ( lõpuks ometi ) .;92.3;92.3;92.3;('1997.', 5, 7, 'ootab', 2);1997.;ootab;1
721;Train/aja_pm20001004_osa_3_ud211.conllu;Lisaks on IRIS kutsutud juba rahvusvahelisele konkursile Jerevani .;29;56;rahvusvahelisele konkursile;free;Lisaks on IRIS kutsutud juba Jerevani .;100.0;100.0;100.0;('konkursile', 6, 4, 'kutsutud', 4);konkursile;kutsutud;1
722;Train/aja_pm20001004_osa_3_ud211.conllu;Lisaks on IRIS kutsutud juba rahvusvahelisele konkursile Jerevani .;57;65;Jerevani;free;Lisaks on IRIS kutsutud juba rahvusvahelisele konkursile .;87.5;87.5;100.0;('Jerevani', 7, 4, 'kutsutud', 4);Jerevani;kutsutud;1
731;Train/tea_geofyysika.conllu;Neist kraadimõõtmistest suurima , 25o 20' ehk üle 2800 km haaraval kaarel 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;34;73;25o 20' ehk üle 2800 km haaraval kaarel;free;Neist kraadimõõtmistest suurima , 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;0.0;11.1;22.2;"(""20'"", 5, 5, 'oli', 17)";20';oli;1
732;Train/tea_geofyysika.conllu;Neist kraadimõõtmistest suurima , 25o 20' ehk üle 2800 km haaraval kaarel 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;74;83;1816-1855;free;Neist kraadimõõtmistest suurima , 25o 20' ehk üle 2800 km haaraval kaarel toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;0.0;14.7;20.6;('1816-1855', 12, 14, 'oli', 17);1816-1855;oli;1
733;Train/ilu_valton_ud211.conllu;Arvanud oli ta endast seda juba varemgi , aga nüüd tundis selgesti ära .;15;21;endast;free;Arvanud oli ta seda juba varemgi , aga nüüd tundis selgesti ära .;92.3;92.3;100.0;('endast', 3, 1, 'Arvanud', 1);endast;Arvanud;1
742;Dev/aja_luup200009_ud211.conllu;Mehel ei olnud raha kaasas ja nii jäi ta teisele võlgu .;41;48;teisele;free;Mehel ei olnud raha kaasas ja nii jäi ta võlgu .;100.0;100.0;100.0;('teisele', 9, 8, 'jäi', 8);teisele;jäi;1
745;Train/aja_ee200110_osa_10_ud211.conllu;"Kalju Suur on üks tähtsamaid eesti fotograafe eelmise sajandi neljal viimasel kümnendil ; ja ta pildistab ka uuel sajandil .";46;87;eelmise sajandi neljal viimasel kümnendil;free;"Kalju Suur on üks tähtsamaid eesti fotograafe ; ja ta pildistab ka uuel sajandil .";100.0;100.0;100.0;('kümnendil', 11, 7, 'on', 3);kümnendil;on;1
748;Train/aja_ml200247_osa_3_ud211.conllu;Üllar Neemrand teab , et varumisdirektor on lubanud sel nädalal osa raha ära maksta .;52;63;sel nädalal;free;Üllar Neemrand teab , et varumisdirektor on lubanud osa raha ära maksta .;100.0;100.0;100.0;('nädalal', 9, 8, 'lubanud', 8);nädalal;lubanud;1
759;Train/ilu_maailm_ud211.conllu;Varsti viskas ta kahvli kappi tagasi , raius lukku noaga ja vandus .;24;29;kappi;free;Varsti viskas ta kahvli tagasi , raius lukku noaga ja vandus .;91.7;100.0;91.7;('kappi', 4, 2, 'viskas', 2);kappi;viskas;1
778;Train/aja_ee200110_osa_4_ud211.conllu;The Global Beauties on internetilehekülg , mida peavad USAs Miamis kaks latiinot .;60;66;Miamis;free;The Global Beauties on internetilehekülg , mida peavad USAs kaks latiinot .;100.0;100.0;100.0;('Miamis', 9, 8, 'peavad', 8);Miamis;peavad;1
780;Train/aja_ee200110_osa_11_ud211.conllu;Filmimuusika loomine on mitmes mõttes erinev kontserdisaalis ette kantava teose kirjutamisest , sisaldades nii kitsendusi kui ka ahvatlevaid võimalusi .;24;37;mitmes mõttes;free;Filmimuusika loomine on erinev kontserdisaalis ette kantava teose kirjutamisest , sisaldades nii kitsendusi kui ka ahvatlevaid võimalusi .;94.4;100.0;94.4;('mitmes', 3, 5, 'on', 3);mitmes;on;1
783;Train/aja_luup200202_osa_2_ud211.conllu;Kas neist programmidest ka mingit kasu on , selles pole IMF isegi kindel .;44;50;selles;free;Kas neist programmidest ka mingit kasu on , pole IMF isegi kindel .;69.2;76.9;84.6;('selles', 8, 13, 'on', 7);selles;on;1
786;Dev/aja_luup200009_ud211.conllu;Elate Keila lähedal Tuula külas .;20;31;Tuula külas;free;Elate Keila lähedal .;100.0;100.0;100.0;('külas', 4, 1, 'Elate', 1);külas;Elate;1
789;Train/aja_sloleht20071217_ud211.conllu;28.-30. detsembrini näitab ETV kolmes jaos printsess Diana mälestuskontserti , mis oli juulis Londoni Wembley staadionil .;31;42;kolmes jaos;free;28.-30. detsembrini näitab ETV printsess Diana mälestuskontserti , mis oli juulis Londoni Wembley staadionil .;0.0;6.7;0.0;('jaos', 5, 3, 'näitab', 3);jaos;näitab;1
790;Train/aja_sloleht20071217_ud211.conllu;28.-30. detsembrini näitab ETV kolmes jaos printsess Diana mälestuskontserti , mis oli juulis Londoni Wembley staadionil .;87;93;juulis;free;28.-30. detsembrini näitab ETV kolmes jaos printsess Diana mälestuskontserti , mis oli Londoni Wembley staadionil .;0.0;0.0;0.0;('juulis', 12, 16, 'näitab', 3);juulis;näitab;1
791;Train/aja_luup200106_osa_1_ud211.conllu;Panga mõistes keskmisel miljonäril seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;0;13;Panga mõistes;free;keskmisel miljonäril seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;94.1;100.0;94.1;('Panga', 0, 2, 'seisab', 5);Panga;seisab;1
796;Train/tea_AA_05_6_ud211.conllu;Moraal antud loos on ikkagi see , et üksi tehniliselt ilusast lahendusest ei piisa , vaid tuleb luua uus struktuur ja kujundada uued äriprotsessid , arvestades seejuures kõigi osapoolte huve .;7;17;antud loos;free;Moraal on ikkagi see , et üksi tehniliselt ilusast lahendusest ei piisa , vaid tuleb luua uus struktuur ja kujundada uued äriprotsessid , arvestades seejuures kõigi osapoolte huve .;82.8;82.8;93.1;('loos', 2, 1, 'on', 4);loos;on;1
801;Dev/aja_luup200009_ud211.conllu;Nördinud teadlased ei tee oma pahameelest saladust , vaid valavad selle ametnike peale välja .;72;86;ametnike peale;free;Nördinud teadlased ei tee oma pahameelest saladust , vaid valavad selle välja .;100.0;100.0;100.0;('ametnike', 11, 10, 'valavad', 10);ametnike;valavad;1
804;Train/aja_horisont2000_osa_4_ud211.conllu;Tagajärjeks ühinesid võitlusse valgekaartlaste vastu ka need tšetšeenid ja ingušid , kes seni hirmust punakaartlaste ees olid hoidnud Denikini poole .;21;52;võitlusse valgekaartlaste vastu;free;Tagajärjeks ühinesid ka need tšetšeenid ja ingušid , kes seni hirmust punakaartlaste ees olid hoidnud Denikini poole .;83.3;88.9;88.9;('võitlusse', 2, 2, 'ühinesid', 2);võitlusse;ühinesid;1
807;Train/ilu_valton_ud211.conllu;Nähtavasti ei raatsinud kukk oma erakordset leidu teistega jagamata jätta .;50;58;teistega;free;Nähtavasti ei raatsinud kukk oma erakordset leidu jagamata jätta .;100.0;100.0;100.0;('teistega', 7, 9, 'jagamata', 9);teistega;jagamata;1
812;Train/aja_horisont2000_osa_3_ud211.conllu;Kogu inimkonna ajalugu demonstreerib seda meile selgelt .;42;47;meile;free;Kogu inimkonna ajalugu demonstreerib seda selgelt .;85.7;85.7;100.0;('meile', 5, 4, 'demonstreerib', 4);meile;demonstreerib;1
817;Train/arborest_ud211.conllu;Kadrioru ja Toompea vahel käis naljakas võidujooks , mille võitsid Savisaar ja Meri .;0;25;Kadrioru ja Toompea vahel;free;käis naljakas võidujooks , mille võitsid Savisaar ja Meri .;90.0;90.0;100.0;('Toompea', 2, 1, 'käis', 5);Toompea;käis;1
822;Train/aja_pm20001004_osa_2_ud211.conllu;Teisipäeval kell 19.14 viis noorsoopolitsei turvakodusse 10-aastase poisi , kes kurtis , et vanemad olid teda peksnud ja ta kodust välja ajanud .;12;22;kell 19.14;free;Teisipäeval viis noorsoopolitsei turvakodusse 10-aastase poisi , kes kurtis , et vanemad olid teda peksnud ja ta kodust välja ajanud .;100.0;100.0;100.0;('19.14', 2, 2, 'viis', 4);19.14;viis;1
