analysis_name, parameter_name, t_lyhend
fS-HDL-Chol,fS-HDL-Chol,"S,P-HDL-Chol"
fS-LDL-Chol,fS-LDL-Chol,"S,P-LDL-Chol"
fS-Urea,fS-Urea,"S,P-Urea"
fs-Urea,fs-Urea,"S,P-Urea"
FT4,FT4,"S,P-fT4"
fT4,fT4,"S,P-fT4"
FT4 Vaba t?roksiin seerumis,FT4 Vaba t?roksiin seerumis,"S,P-fT4"
FT4 Vaba türoks,FT4 Vaba türoks,"S,P-fT4"
FT4 Vaba türoksiin seerumis,FT4 Vaba türoksiin seerumis,"S,P-fT4"
Glükohemoglobii,Glükohemoglobii,B-HbA1c
glükohemoglobii,glükohemoglobii,B-HbA1c
Glükohemoglobiin,Glükohemoglobiin,B-HbA1c
Glükohemoglobiin (IFCC),Glükohemoglobiin,B-HbA1c (IFCC)
Glükohemoglobiin ver,Glükohemoglobiin ver,B-HbA1c
Glükohemoglobiin veres,B-HbA1c-IFCC,B-HbA1c (IFCC)
Glükohemoglobiin veres,Glükohemoglobiin veres,B-HbA1c
Glükohemoglobiin veres (IFCC),Glükohemoglobiin veres,B-HbA1c (IFCC)
Glükohemoglobiin veres (SI),Glükohemoglobiin veres,B-HbA1c
Glükohemoglobiin veres (SI),HbA1c %,B-HbA1c
Glükoos,Glükoos,"S,P-Gluc"
Glükoosi profiil kapillaarverest,"gluc.13,00",fcB-Gluc
glükoosi taluvuse proov,Glükoos paastuseerumis/paastuplasmas enne koormust,"fS,P-Gluc 0 min (pre 75 g Gluc PO)"
glükoosi taluvuse proov,Glükoos seerumis/plasmas 120 minutit pärast koormust,"S,P-Gluc 120 min (post 75g Gluc PO)"
Glükoos kapillaarverest,cB-Gluc,cB-Gluc POCT
Glükoos paastu,Glükoos paastu,"fS,fP-Gluc"
Glükoos paastuplasmas,Glükoos paastuplasmas,"fS,fP-Gluc"
Glükoos paastu plasmas,Glükoos paastu plasmas,"fS,fP-Gluc"
Glükoos paastuseerumis/-plasma,Glükoos paastuseerumis/-plasma,"fS,fP-Gluc"
Glükoos seerumis,Glükoos seerumis,"S,P-Gluc"
Happe-alus tasakaal,Glükoos korduv,"S,P-Gluc"
HbA1c,HbA1c,B-HbA1c
HbA1c %,HbA1c %,B-HbA1c
HbA1c%,HbA1c%,B-HbA1c
HbA1c (IFCC),HbA1c,B-HbA1c (IFCC)
HbA1c (IFCC ?hik),HbA1c,B-HbA1c (IFCC)
HbA1c (IFCC ühi,HbA1c (IFCC ühi,B-HbA1c (IFCC)
HbA1c (IFCC ühik),HbA1c,B-HbA1c (IFCC)
HCT,HCT,B-Hct
Hct,Hct,B-Hct
HCT Hematokritt,HCT Hematokritt,B-Hct
HDL,HDL,"S,P-HDL-Chol"
HDL kolest.,HDL kolest.,"S,P-HDL-Chol"
HDL- kolesteroo,HDL- kolesteroo,"S,P-HDL-Chol"
HDL-Kolesterool,HDL-Kolesterool,"S,P-HDL-Chol"
HDL kolesterool,HDL kolesterool,"S,P-HDL-Chol"
HDL-kolesterool,HDL-kolesterool,"S,P-HDL-Chol"
HDL- kolesterool paastuseerumi,HDL- kolesterool paastuseerumi,"S,P-HDL-Chol"
HDL-kolesterool seer,HDL-kolesterool seer,"S,P-HDL-Chol"
HDL-kolesterool seerumis,HDL-kolesterool seerumis,"S,P-HDL-Chol"
HDL-kolesterool seerumis/plasm,HDL-kolesterool seerumis/plasm,"S,P-HDL-Chol"
Hematocrit,Hematocrit,B-Hct
Hematokrit,Hematokrit,B-Hct
Hematokrit %,Hematokrit %,B-Hct
hematokrit,hematokrit,B-Hct
hematokrit%,hematokrit%,B-Hct
Hematokritt,Hematokritt,B-Hct
Hematoloogilised ja uriini uuringud,Albumiini ja kreatiniini suhe,U-Alb/U-Crea
Hematoloogilised ja uriini uuringud,Basofiilne sõmerus erütrotsüütides,B-Basofiilne sõmerus
Hematoloogilised ja uriini uuringud,EO#,B-Eo#
Hematoloogilised ja uriini uuringud,Hüpersegmentatsioon neutrofiilide,B-Hüpersegmentatsioon
Hematoloogilised ja uriini uuringud,Hüpersegmentatsioon neutrofiilides,B-Hüpersegmentatsioon
Hematoloogilised ja uriini uuringud,IG,B-IG#
Hematoloogilised ja uriini uuringud,Nitritid,U-Nit strip
Hematoloogilised uuringud,1 RDW%,B-RDW-CV
Hematoloogilised uuringud,2 RDW%,B-RDW-CV
Hematoloogilised uuringud,3 RDW%,B-RDW-CV
Hematoloogilised uuringud,4 RDW%,B-RDW-CV
Hematoloogilised uuringud,5 RDW%,B-RDW-CV
Hematoloogilised uuringud,6 RDW%,B-RDW-CV
Hematoloogilised uuringud,Abs. arv Eosonofiilid,B-Eo#
Hematoloogilised uuringud,Basof. sõmerus,B-Basofiilne sõmerus
Hematoloogilised uuringud,B-Diff-Eo-ar,B-Eo#
Hematoloogilised uuringud,B-Diff-Eo-arv,B-Eo#
Hematoloogilised uuringud,Eosinofiilide abs arv,B-Eo#
Hematoloogilised uuringud,Erütrotsüütide basofiilne sumerus,B-Basofiilne sõmerus
Hematoloogilised uuringud,Hüpersegmentatsioo,B-Hüpersegmentatsioon
Hematoloogilised uuringud,IG,B-IG#
Hematoloogilised uuringud,IG#,B-IG#
Hematoloogilised uuringud,Lym+mono arv,B-Lymph# + Mono#
Hematoloogilised uuringud,Neutrofiilide hüpersegmentatsioon,B-Hüpersegmentatsioon
Hematoloogilised uuringud,P-PT-IN,P-PT-INR
Hemoglobiin,Hemoglobiin,B-Hb
Hemogramm 3 osalise leukogrammiga,Hematokrit:,B-Hct
Hemogramm 3 osalise leukogrammiga,MCH:,B-MCH
Hemogramm 3 osalise leukogrammiga,MCHC:,B-MCHC
Hemogramm 3 osalise leukogrammiga,MCV:,B-MCV
Hemogramm 3 osalise leukogrammiga,MPV:,B-MPV
Hemogramm 3 osalise leukogrammiga,Trombotsüüdid:,B-Plt
Hemogramm leukogrammiga,Hematogrit,B-Hct
"Hemogramm, lihtne (mikroskoopia)",Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
"Hemogramm, lihtne (mikroskoopia)",Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
"Hemogramm, (mikroskoopia)",Basofiilne teralisus,B-Basofiilne sõmerus
"Hemogramm, (mikroskoopia)",Basofiilne teralisus,B-Basofiilne sõmerus
"Hemogramm, (mikroskoopia)",Segmenttuumseid,B-Segmenttuumsed neutrofiilid %
"Hemogramm, (mikroskoopia)",Segmenttuumseid,B-Segmenttuumsed neutrofiilid %
"Hemogramm, (mikroskoopia)",Tuuma hupersegmentatsioon,B-Hüpersegmentatsioon
"Hemogramm, (mikroskoopia)",Tuuma hupersegmentatsioon,B-Hüpersegmentatsioon
"Hemogramm, patoloogiline (mikroskoopia)",Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
"Hemogramm, patoloogiline (vereäige mikroskoopia)",Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
Hemogramm viieosalise leukogrammiga*,-10 INR,P-PT-INR
Hemogramm viieosalise leukogrammiga*,-1 S-ANA IgG mustrid,"S,P-ANA IgG pattern"
Hemogramm viieosalise leukogrammiga*,"-1 S,P-ANA IgG mustrid","S,P-ANA IgG pattern"
Hemogramm viieosalise leukogrammiga*,-2 S-ANA IgG tiiter,"S,P-ANA IgG titr"
Hemogramm viieosalise leukogrammiga*,"-2 S,P-ANA IgG tiiter","S,P-ANA IgG titr"
Hemogramm viieosalise leukogrammiga*,5 S-ANA Ab,"S,P-ANA Ab"
Hemogramm viieosalise leukogrammiga*,"5 S,P-ANA Ab","S,P-ANA Ab"
Hemogramm viieosalise leukogrammiga*,Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga,"B-RBC Ab screen I, II"
Hemogramm viieosalise leukogrammiga*,U. urealyticum,XXX-U urealyticum DNA
Hemostasiogramm,P-PT-INR - Protrombiini aeg- rahvusvaheline normitud suhe,P-PT-INR
Hemostasiogramm,P-PTs - Protrombiini aeg sekundites,P-PT
HGB,HGB,B-Hb
Hgb,Hgb,B-Hb
hgb,hgb,B-Hb
HgbA1c,HgbA1c,B-HbA1c
HGB Hemoglobiin,HGB Hemoglobiin,B-Hb
IG,IG,B-IG#
IG#,IG#,B-IG#
IG%,IG%,B-IG%
IG Ebak?psete granulots??dide,IG Ebak?psete granulots??dide,B-IG#
IG% Ebak?psete granulots??dide,IG% Ebak?psete granulots??dide,B-IG%
IG% Ebaküpsete,IG% Ebaküpsete,B-IG%
IG Ebaküpsete g,IG Ebaküpsete g,B-IG#
IG% Ebaküpsete granu,IG% Ebaküpsete granu,B-IG%
IG Ebaküpsete granul,IG Ebaküpsete granul,B-IG#
IG Ebaküpsete granulotsüüdide,IG Ebaküpsete granulotsüüdide,B-IG#
IG% Ebaküpsete granulotsüüdide,IG% Ebaküpsete granulotsüüdide,B-IG%
Immuunmeetoditel uuringud,ANA /Tuumavastane IgG seerumis,"S,P-ANA IgG"
Immuunmeetoditel uuringud,CT / Kaltsitoniin,"S,P-CT"
Immuunmeetoditel uuringud,FT4 / Vaba türoksiin,"S,P-fT4"
Immuunmeetoditel uuringud,S-AMA M2 IgG ana,"S,P-AMA M2 IgG"
Immuunmeetoditel uuringud,S-ANA Ab,"S,P-ANA Ab"
Immuunmeetoditel uuringud,S-ANA-IB / ANA IgG paneel,"S,P-ANA Ab"
Immuunmeetoditel uuringud,S-CentrB IgG ana,"S,P-CENP-B IgG"
Immuunmeetoditel uuringud,S-dsDNA IgG ana,"S,P-dsDNA IgG"
Immuunmeetoditel uuringud,S-Histone IgG ana,"S,P-Histone IgG"
Immuunmeetoditel uuringud,S-Jo1 IgG ana,"S,P-Jo1 IgG"
Immuunmeetoditel uuringud,S-Nucleos IgG ana,"S,P-Nucleos IgG"
Immuunmeetoditel uuringud,S-pCNA IgG ana,"S,P-PCNA IgG"
Immuunmeetoditel uuringud,S-PM/Scl100 IgG ana,"S,P-PM/Scl100 IgG"
Immuunmeetoditel uuringud,S-Rib P Prot IgG ana,"S,P-Rib P Prot IgG"
Immuunmeetoditel uuringud,"S-RNP,Sm IgG ana","S,P-RNP, Sm IgG"
Immuunmeetoditel uuringud,S-Ro52 IgG ana,"S,P-Ro52 IgG"
Immuunmeetoditel uuringud,S-Scl70 IgG ana,"S,P-Scl70 IgG"
Immuunmeetoditel uuringud,S-Sm IgG ana,"S,P-Sm IgG"
Immuunmeetoditel uuringud,S-SSA/Ro IgG ana,"S,P-SSA IgG"
Immuunmeetoditel uuringud,S-SSB/La IgG ana,"S,P-SSB IgG"
Immuunmeetoditel uuringud,Süsteemsete sidekoehaigustega seotud IgG seerumis,"S,P-ANA IgG"
Immuunmeetoditel uuringud,TSH / Türeotropiin,"S,P-TSH"
Immuunmeetoditel uuringud,Tuumavastased antikehad seerumis,"S,P-ANA Ab"
Immuunmeetoditel uuringud,Ureaplasma urealyticum DNA emakakaelakanalikaapest,XXX-U urealyticum DNA
Immuunmeetoditel uuringud,Ureaplasma urealyticum DNA ureetrakaapest,XXX-U urealyticum DNA
Immuunmeetodi uuringud,Kaltsitoniin C,"S,P-CT"
Immuunmeetodi uuringud,Kaltsitoniin CT,"S,P-CT"
Immuunmeetodi uuringud,S-ANA Ab,"S,P-ANA Ab"
Immuunmeetodi uuringud,S-ANA IgG panee,"S,P-ANA IgG panel IIF"
Immuunmeetodi uuringud,S-ANA IgG paneel,"S,P-ANA IgG panel IIF"
Kaltsitoniin,Kaltsitoniin,"S,P-CT"
Kepptuumsed neutrofiilid %,Kepptuumsed neutrofiilid %,B-Kepptuumsed neutrofiilid %
Kliiniline vereanalüüs,Erütrots. basofiilne sõmerlus,B-Basofiilne sõmerus
Kliiniline vereanalüüs,Hematokritt,B-Hct
Kliiniline vereanalüüs,IG - Ebaküpsed granulotsüüdid,B-IG#
Kliiniline vereanalüüs,IG - Ebaküpsete granulotsüütide arv,B-IG#
Kliiniline vereanalüüs,IG% - Ebaküpsete granulotsüütide suhtarv,B-IG%
Kliiniline vereanalüüs,Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
"kliiniline vereanalüüs- neutrof 1,68->1,79; biokeemia analüüs-",S-ALAT,"S,P-ALAT"
"kliiniline vereanalüüs- neutrof 1,68->1,79; biokeemia analüüs-",S-ASAT,"S,P-ASAT"
"Kliiniline vereanalüüs-normis; immuunmeetoditel uuringud (TSH,FT3, FT4,B10,B12)-normis; biokeemia analüüs:",S-ALAT,"S,P-ALAT"
"Kliiniline vereanalüüs-normis; immuunmeetoditel uuringud (TSH,FT3, FT4,B10,B12)-normis; biokeemia analüüs:",S-ASAT,"S,P-ASAT"
Kliiniline vere ja glükohemoglobiini,IG - Ebaküpsed granulotsüüdid,B-IG#
Kliiniline vere ja glükohemoglobiini analüüs,"B-CBC-5Diff,RET",B-CBC-5Diff-NRBC-Ret
Kliiniline vere ja glükohemoglobiini analüüs,Erütrots. basofiilne sõmerlus,B-Basofiilne sõmerus
Kliiniline vere ja glükohemoglobiini analüüs,Erütrotsüütide aglomeratsioon,B-Aglomeratsioon
Kliiniline vere ja glükohemoglobiini analüüs,Erütrotsüütide fragmentatsioon,B-Fragmentatsioon
Kliiniline vere ja glükohemoglobiini analüüs,Erütrotsüütide hüpokromaasia,B-Hüpokromaasia
Kliiniline vere ja glükohemoglobiini analüüs,Erütrotsüütide poikilotsütoos,B-Poikilotsütoos
Kliiniline vere ja glükohemoglobiini analüüs,Erütrotsüütide polükromaasia,B-Polükromaasia
Kliiniline vere ja glükohemoglobiini analüüs,ESR Erütrotsüütide settekiirus,B-ESR
Kliiniline vere ja glükohemoglobiini analüüs,Hemogramm leukogrammita - CBC,B-CBC
Kliiniline vere ja glükohemoglobiini analüüs,IG - Ebaküpsed granulotsüüdid,B-IG#
Kliiniline vere ja glükohemoglobiini analüüs,IG - Ebaküpsed granulotsüüdid,B-IG#
Kliiniline vere ja glükohemoglobiini analüüs,IG - Ebaküpsete granulotsüütide arv,B-IG#
Kliiniline vere ja glükohemoglobiini analüüs,IG% - Ebaküpsete granulotsüütide suhtarv,B-IG%
Kliiniline vere ja glükohemoglobiini analüüs,IPF-ebaküpsed trombotsüüdid,B-IPF
Kliiniline vere ja glükohemoglobiini analüüs,Neutrofiilide toks. granulatsioon,B-Toksogeenne granulatsioon
Kliiniline vere ja glükohemoglobiini analüüs,NRBC#,B-NRBC#
Kliiniline vere ja glükohemoglobiini analüüs,RET‰,B-Ret%
Kliiniline vere ja glükohemoglobiini analüüs,RET-He,B-RetHb
Kliiniline vere ja glükohemoglobiini analüüs,Retikulotsüüdid,B-Ret#
Kliiniline vere ja glükohemoglobiini analüüs,Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
"Kliiniline vere ja glükohemoglobiini analüüs 13.00 - 9,0; 17.00 - 6,0; 21.00 - 5,5.",IG - Ebaküpsed granulotsüüdid,B-IG#
Kliiniline vere ja glükohemoglobiini analüüs. Ravi muutusteta. INR-i kontroll tromboosi kab-s,IG - Ebaküpsed granulotsüüdid,B-IG#
Kl keemia ja immunoloogia automaatliinil teostatud uuring,fP-GlucP /Glükoos paastuplasmas,"fS,fP-Gluc"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,fP-Lac-Gluc0 Glükoos paastuplasmas enne laktoosilahuse manus,"fS,fP-Gluc 0 min (pre Lactose PO)"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,fP-Lac-Gluc20 Glükoos plasmas 20 min pärast laktoosilahuse m,"S,P-Gluc 20 min (post 50g Lactose PO)"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,fP-Lac-Gluc40 Glükoos plasmas 40 min pärast laktoosilahuse m,"S,P-Gluc 40 min (post 50g Lactose PO)"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,fP-Lac-Gluc60 Glükoos plasmas 60 min pärast laktoosilahuse m,"S,P-Gluc 60 min (post 2g Lactose/1kg BW PO)"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,fS-Gluc Glükoos seerumis,"S,P-Gluc"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-ALP Aluseline fosfataas,"S,P-ALP"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-Chol Kolesterool,"S,P-Chol"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-CK Kreatiniini kinaas,"S,P-CK"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-CK-MBm Kreatiini kinaasi MB isoensüümi mass,"S,P-CK-MBm"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-cTnT-hs Troponiin T,"S,P-cTnT-hs"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-fT4 Vaba türoksiin plasmas,"S,P-fT4"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-HDL-Chol HDL kolesterool,"S,P-HDL-Chol"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-LDH Laktaadi dehüdrogenaas,"S,P-LDH"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-LDL-Chol LDL kolesterool,"S,P-LDL-Chol"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-NT-proBNP B-tüüpi natriureetiline propeptiidi N-fragment,"S,P-NT-proBNP"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-PCT Prokaltsitoniin,"S,P-PCT"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-TSH Kilpnääret stimuleeriv hormoon plasmas,"S,P-TSH"
Kl keemia ja immunoloogia automaatliinil teostatud uuring,P-UA Kusihape,"S,P-UA"
Kolesterool,Kolesterool,"S,P-Chol"
Kolesterool see,Kolesterool see,"S,P-Chol"
Kolesterool seerumis,Kolesterool seerumis,"S,P-Chol"
Kolesterool seerumis/plasmas,Kolesterool seerumis/plasmas,"S,P-Chol"
Kolesterool (ül,Kolesterool (ül,"S,P-Chol"
Kolesterool (üld),Kolesterool,"S,P-Chol"
Kreatiini kinaa,Kreatiini kinaa,"S,P-CK"
Kreatiini kinaas,Kreatiini kinaas,"S,P-CK"
Kreatiini kinaas seerumis,Kreatiini kinaas seerumis,"S,P-CK"
Kreatiniin,Kreatiniin,"S,P-Crea"
Kreatiniin paas,Kreatiniin paas,"S,P-Crea"
Kreatiniin paastuseerumis,eGFR HK:0000,eGFR
Kreatiniin paastuseerumis,Kreatiniin paastuseerumis,"S,P-Crea"
Kreatiniin seer,Kreatiniin seer,"S,P-Crea"
Kreatiniin urii,Kreatiniin urii,U-Crea
Kreatiniin uriinis,Kreatiniin uriinis,U-Crea
Külv U.urealyticum/parvum. M.hominis,Külv U.urealyticum/parvum. M.h,"XXX-M hominis, U urealyticum culture"
Külv U.urealyticum/parvum. M.hominis emakakaelakanalikaapest,Külv U.urealyticum/parvum. M.h,"XXX-M hominis, U urealyticum culture"
Külv U.urealyticum/parvum. M.hominis ureetrakaapest,Külv U.urealyticum/parvum. M.h,"XXX-M hominis, U urealyticum culture"
LDL,LDL,"S,P-LDL-Chol"
LDL kolest.,LDL kolest.,"S,P-LDL-Chol"
LDL- kolesteroo,LDL- kolesteroo,"S,P-LDL-Chol"
LDL-Kolesterool,LDL-Kolesterool,"S,P-LDL-Chol"
LDL kolesterool,LDL kolesterool,"S,P-LDL-Chol"
LDL-kolesterool,LDL-kolesterool,"S,P-LDL-Chol"
LDL- kolesterool paastuseerumi,LDL- kolesterool paastuseerumi,"S,P-LDL-Chol"
LDL- kolesterool see,LDL- kolesterool see,"S,P-LDL-Chol"
LDL- kolesterool seerumis,LDL- kolesterool seerumis,"S,P-LDL-Chol"
LDL-kolesterool seerumis/plasm,LDL-kolesterool seerumis/plasm,"S,P-LDL-Chol"
Liikvori analüüs,CSF-baso,CSF-Basofiilid %
Liikvori analüüs,CSF-Gluc Glükoos liikvoris,CSF-Gluc
Liikvori analüüs,CSF-Gluc/S-Gluc Glükoosi suhe liikvoris ja seerumis,"CSF-Gluc/S,P-Gluc"
Liikvori analüüs,CSF-monomakro Monotsüüdid/makrofaagid,CSF-Monotsüüdid/makrofaagid %
Liikvori analüüs,CSF-WBC,CSF-WBC
Liikvori analüüs,CSF-WBC Leukotsüüdid,CSF-WBC
LTKH allhanked,U urealyticum DNA,XXX-U urealyticum DNA
Lümfotsüütide suhtarv,Lümfotsüütide suhtarv,B-Lymph%
LYMPH#,LYMPH#,B-Lymph#
LYMPH%,LYMPH%,B-Lymph%
Lymph%,Lymph%,B-Lymph%
LYMPH Lümfotsüütide absoluutar,LYMPH Lümfotsüütide absoluutar,B-Lymph#
LYMPH% Lümfotsüütide suhtarv,LYMPH% Lümfotsüütide suhtarv,B-Lymph%
Lymph+monos,Lymph+monos,B-Lymph# + Mono#
% lymphs+monos,lymphs+monos%,B-Lymph% + Mono%
"Maksa autoimmuunhaigustega seotud autoantikehade uuring seerumist IF meetodil (ANA, AMA, ASMA,LKMA)",ANA,"S,P-ANA Ab"
"Maksahaiguste Ab paneel (ANA, AMA, SMA, LKMA)",ANA HEp-2,"S,P-ANA IgG titr Hep2"
MCH,MCH,B-MCH
MCHC,MCHC,B-MCHC
MCHC g/l,MCHC g/l,B-MCHC
MCHC Keskmine h,MCHC Keskmine h,B-MCHC
MCHC Keskmine hemogl,MCHC Keskmine hemogl,B-MCHC
MCHC Keskmine hemoglobiini kon,MCHC Keskmine hemoglobiini kon,B-MCHC
MCH Keskmine he,MCH Keskmine he,B-MCH
MCH Keskmine hemoglo,MCH Keskmine hemoglo,B-MCH
MCH Keskmine hemoglobiin erütr,MCH Keskmine hemoglobiin erütr,B-MCH
MCH Keskmine hemoglobiini hulk,MCH Keskmine hemoglobiini hulk,B-MCH
MCH pg,MCH pg,B-MCH
MCV,MCV,B-MCV
MCV Er?trots??tide keskmine ru,MCV Er?trots??tide keskmine ru,B-MCV
MCV Erütrotsüüt,MCV Erütrotsüüt,B-MCV
MCV Erütrotsüütide k,MCV Erütrotsüütide k,B-MCV
MCV Erütrotsüütide keskmine ru,MCV Erütrotsüütide keskmine ru,B-MCV
MCV fl,MCV fl,B-MCV
M. hominis ja U. urealyticum (sh. U. parvum) külv emakakaelakanalikaapelt,Cx-M hominis U urealyticum,"XXX-M hominis, U urealyticum culture"
M. hominis ja U. urealyticum (sh. U. parvum) külv emakakaelakanalikaapelt,Cx-M_hominis_U_urealyticum,"XXX-M hominis, U urealyticum culture"
M. hominis ja U. urealyticum (sh. U. parvum) külv uriinist (esmasjoa),fvU-M hominis U urealyticum,"XXX-M hominis, U urealyticum culture"
M. hominis ja U. urealyticum (sh. U. parvum) külv uriinist (esmasjoa),fvU-M_hominis_U_urealyticum,"XXX-M hominis, U urealyticum culture"
Mikrobioloogilised uuringud,Ureaplasma urealyticu,XXX-U urealyticum DNA
Mikrobioloogilised uuringud,Ureaplasma urealyticum,XXX-U urealyticum DNA
MONO#,MONO#,B-Mono#
MONO%,MONO%,B-Mono%
Mono%,Mono%,B-Mono%
MONO% Monotsüüt,MONO% Monotsüüt,B-Mono%
MONO Monotsüütide absoluutarv,MONO Monotsüütide absoluutarv,B-Mono#
MONO Monotsüütide ar,MONO Monotsüütide ar,B-Mono#
MONO% Monotsüütide s,MONO% Monotsüütide s,B-Mono%
MONO% Monotsüütide suhtarv,MONO% Monotsüütide suhtarv,B-Mono%
% Monotsüüdid,Monotsüüdid%,B-Monotsüüdid %
MPV,MPV,B-MPV
MPV fl,MPV fl,B-MPV
MPV Trombots??tide keskmine ma,MPV Trombots??tide keskmine ma,B-MPV
MPV Trombotsüüt,MPV Trombotsüüt,B-MPV
MPV Trombotsüütide k,MPV Trombotsüütide k,B-MPV
MPV Trombotsüütide keskmine ma,MPV Trombotsüütide keskmine ma,B-MPV
Mycoplasma hominis ja Ureaplasma urealyticum emakakaelakanalikaapelt,Cx-M hominis U urealyticum,"XXX-M hominis, U urealyticum culture"
Mycoplasma hominis ja Ureaplasma urealyticum emakakaelakanalikaapelt,Cx-M_hominis_U_urealyticum,"XXX-M hominis, U urealyticum culture"
Mycoplasma hominis ja Ureaplasma urealyticumi uuring esmasjoa uriinist,fvU-M hominis U urealyticum,"XXX-M hominis, U urealyticum culture"
Mycoplasma hominis ja Ureaplasma urealyticumi uuring esmasjoa uriinist,fvU-M_hominis_U__urealyticum,"XXX-M hominis, U urealyticum culture"
Mycoplasma hominis ja Ureaplasma urealyticumi uuring ureetrakaapelt,Um-M hominis U urealyticum,"XXX-M hominis, U urealyticum culture"
Mycoplasma hominis ja Ureaplasma urealyticumi uuring ureetrakaapelt,Um-M_hominis_U_urealyticum,"XXX-M hominis, U urealyticum culture"
"Mycoplasma, ureaplasma",Ureaplasma urealyticum,"XXX-M hominis, U urealyticum culture"
NEUT#,NEUT#,B-Neut#
NEUT%,NEUT%,B-Neut%
NEUT Neutrofiilide absoluutarv,NEUT Neutrofiilide absoluutarv,B-Neut#
NEUT% Neutrofiilide suhtarv,NEUT% Neutrofiilide suhtarv,B-Neut%
Neutrofiilide a,Neutrofiilide a,B-Neutrofiilid #
Neutrofiilide arv,Neutrofiilide arv,B-Neutrofiilid #
Neutrofiilide s,Neutrofiilide s,B-Neutrofiilid %
Neutrofiilide suhtarv,Neutrofiilide suhtarv,B-Neutrofiilid %
NRBC#,NRBC#,B-NRBC#
NRBC%,NRBC%,B-NRBC%
"Paneel 1, PCR, emakakaelakanalikaapest",U. urealyticum/parvum,XXX-U urealyticum/U parvum DNA
"Paneel 1, PCR, ureetrast",U. urealyticum,XXX-U urealyticum DNA
"Paneel 1, PCR, ureetrast",U. urealyticum/parvum,XXX-U urealyticum/U parvum DNA
PCR: Muu materjal,Ureaplasma urealyticum DN,XXX-U urealyticum DNA
PCR: Sperma,Ureaplasma urealyticum DN,XXX-U urealyticum DNA
PCR: Uriin (esmasjoa),Ureaplasma urealyticum DN,XXX-U urealyticum DNA
PCT,PCT,B-Pct
Pct,Pct,B-Pct
PDW,PDW,B-PDW
PDW %,PDW %,B-PDW-CV
PLT,PLT,B-Plt
Plt,Plt,B-Plt
PLT Trombots??did,PLT Trombots??did,B-Plt
PLT Trombotsüüd,PLT Trombotsüüd,B-Plt
PLT Trombotsüüdid,PLT Trombotsüüdid,B-Plt
P-PT,P-PT,P-PT
P-PT/INR,P-PT/INR,P-PT-INR
Prokaltsitoniin,Prokaltsitoniin,"S,P-PCT"
Prokaltsitoniin,S- PCT,"S,P-PCT"
Prokaltsitoniin,S-_PCT,"S,P-PCT"
prokaltsitoniin,prokaltsitoniin,"S,P-PCT"
Prokaltsitoniin seerumis,Prokaltsitoniin seerumis,"S,P-PCT"
prokaltsitoniin seerumis,S-prokaltsit.,"S,P-PCT"
Punktaadi analüüs,PlrF-Chol pleuravedelikus,PlrF-Chol
Punktaadi analüüs,PlrF-Chol/S-Chol suhe pleuravedelikus/seerumis,"PrcF-Chol/S,P-Chol"
Punktaadi analüüs,PlrF-WBC,PlrF-WBC
Punktaadi analüüs,PrcF-Chol perikardivedelikus,PrcF-Chol
Punktaadi analüüs,PrcF-Chol/S-Chol suhe perikardivedelikus/seerumis,"PrcF-Chol/S,P-Chol"
Punktaadi analüüs,PrtF-Crea/P-Crea Kreatiniini suhe kõhuõõnevedelikus ja plas,"PrtF-Crea/S,P-Crea"
Punktaadi analüüs,SynF-WBC,SynF-WBC
RBC,RBC,B-RBC
RBC Erütrotsüüd,RBC Erütrotsüüd,B-RBC
RDW,RDW,B-RDW-CV
RDW %,RDW %,B-RDW-CV
RDW%,RDW%,B-RDW-CV
RDW-CV,RDW-CV,B-RDW-CV
RDW- CV,RDW- CV,B-RDW-CV
RDW-CW,RDW-CW,B-RDW-CV
RDW-CV Er?trots??tide anisots?,RDW-CV Er?trots??tide anisots?,B-RDW-CV
RDW-CV Erütrots,RDW-CV Erütrots,B-RDW-CV
