analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
Histoloogia,,f83/spIgEkanalihasuhtes,Lokatsioon,,5
Histoloogia,,41160,Lokatsioon,,2
Histoloogia,,147140,Diagnoos 1,,11
Histoloogia,,"S,P_IgM",Diagnoos 1,,8
Histoloogia,,41164,Arhiivi number,,16
Histoloogia,,419,Arhiivi number,,75
Histoloogia,,PF-LDH,Diagnoos 1,,12
Histoloogia,,AntigeenYovastaneIgGseerumis/Neuronaalsedautoantikehad,Arhiivi number,,3
Histoloogia,,144405,Arhiivi number,,1
Histoloogia,,Cm-HPVpos-PCR,Arhiivi number,,1
Histoloogia,,S-T_gondii_IgM,Diagnoos 1,,13
Hematoloogilised uuringud,,146312,RDW%,,1
Hematoloogilised uuringud,,RSviirused,PLCR,,3
Histoloogia,,2228,Diagnoos 1,,2
Hematoloogilised uuringud,,MCHC,PLCR,,6760
Histoloogia,,Blis-HSV1_DNA,Lokatsioon,,1
Histoloogia,,30259,Arhiivi number,,3
Histoloogia,,1636,Diagnoos 1,,8
Histoloogia,,1524,Lokatsioon,,2
Hematoloogilised uuringud,,1470,RDW%,,1
Histoloogia,,606,Diagnoos 1,,4544
Histoloogia,,4206,Kirjeldus,,49
Hematoloogilised uuringud,,4656,RDW%,,5
Histoloogia,,561,Diagnoos 1,,285
Hematoloogilised uuringud,,S-aANCA,PLCR,,1
Histoloogia,,4200,Lokatsioon,,48
Histoloogia,,58711,Arhiivi number,,1
Hematoloogilised uuringud,,Lihaskiudseeditud,RDW%,,1
Histoloogia,,5034,Lokatsioon,,5
Histoloogia,,S-1_T.palliddum_IgM+IgG,Diagnoos 1,,1
Histoloogia,,P-Gluc,Lokatsioon,,563
Histoloogia,,11203,Diagnoos 1,,10
Hematoloogilised uuringud,,f9/spIgEriisisuhtes,PLCR,,7
Hematoloogilised uuringud,,P-FIX-FaktorIX,PLCR,,4
Histoloogia,,2386,Diagnoos 1,,1
Histoloogia,,S-T_pallidum_IgG,Lokatsioon,,29
Histoloogia,,11931,Lokatsioon,,1
Hematoloogilised uuringud,,1745,PLCR,,1
Histoloogia,,5632,Lokatsioon,,5
Histoloogia,,41501,Lokatsioon,,1
Histoloogia,,S-d1_IgE,Lokatsioon,,150
Hematoloogilised uuringud,,10388,RDW%,,3
Histoloogia,,67583,Diagnoos 1,,2
Hematoloogilised uuringud,,7919,RDW%,,1
Hematoloogilised uuringud,,S-S.sonnei,PLCR,,5
Hematoloogilised uuringud,,40179,RDW%,,1
Histoloogia,,MCV,Kirjeldus,,6776
Histoloogia,,3522,Diagnoos 1,,2
Hematoloogilised uuringud,,30081,RDW%,,1
Histoloogia,,Sh.FlexVI,Arhiivi number,,2
Histoloogia,,1180,Arhiivi number,,80
Histoloogia,,147155,Diagnoos 1,,2
Histoloogia,,1929,Lokatsioon,,50
Histoloogia,,10166,Lokatsioon,,1742
Hematoloogilised uuringud,,7345,RDW%,,1
Hematoloogilised uuringud,,144304,RDW%,,2
Histoloogia,,147163,Kirjeldus,,6
Hematoloogilised uuringud,,841,RDW%,,19
Histoloogia,,71506,Diagnoos 1,,86
Histoloogia,,3370,Kirjeldus,,1
Histoloogia,,7586,Lokatsioon,,14
Histoloogia,,30111,Diagnoos 1,,3
Hematoloogilised uuringud,,45065,RDW%,,3
Histoloogia,,E2/Östradiool,Kirjeldus,,21
Histoloogia,,O2Hb,Kirjeldus,,83
Hematoloogilised uuringud,,CSF-muudrakud,RDW%,,7
Histoloogia,,SBE,Lokatsioon,,235
Hematoloogilised uuringud,,1431,PLCR,,58
Hematoloogilised uuringud,,1745,RDW%,,1
Histoloogia,,HCT(hematokrit),Lokatsioon,,1371
Histoloogia,,71379,Diagnoos 1,,14
Hematoloogilised uuringud,,U-Amylaas,RDW%,,15
Hematoloogilised uuringud,,Vaskseerumis,PLCR,,6
Histoloogia,,6822_HBsAG_määr.ELISA_meet.1-koh,Kirjeldus,,2
Histoloogia,,5639,Kirjeldus,,5
Hematoloogilised uuringud,,69550,PLCR,,65
Histoloogia,,3325,Kirjeldus,,1
Histoloogia,,12432,Arhiivi number,,1
Histoloogia,,Cf-Aer,Lokatsioon,,28
Histoloogia,,5554,Lokatsioon,,1
Histoloogia,,B-HBV_DNA_QN,Arhiivi number,,4
Histoloogia,,3470,Diagnoos 1,,1
Histoloogia,,70406,Diagnoos 1,,12
Histoloogia,,1580,Diagnoos 1,,3
Histoloogia,,43211,Kirjeldus,,68
Histoloogia,,Lümfoomirakud,Diagnoos 1,,1
Histoloogia,,S-aCtr-A,Lokatsioon,,1
Histoloogia,,dU-ProtValk,Arhiivi number,,25
Hematoloogilised uuringud,,409,PLCR,,80
Hematoloogilised uuringud,,10176,RDW%,,1666
Histoloogia,,1028,Arhiivi number,,136
Histoloogia,,1659,Arhiivi number,,8
Hematoloogilised uuringud,,66707__S-cTnT,RDW%,,220
Hematoloogilised uuringud,,s/spIgEinhalats.allerg.seg,PLCR,,51
Histoloogia,,CSF-B_burgdorferi_IgG,Kirjeldus,,13
Histoloogia,,1179,Diagnoos 1,,339
Hematoloogilised uuringud,,10797,PLCR,,54
Histoloogia,,144358,Arhiivi number,,1
Hematoloogilised uuringud,,m2/spIgECladosporiumherba,PLCR,,19
Histoloogia,,4663,Lokatsioon,,10
Histoloogia,,315,Lokatsioon,,2
Hematoloogilised uuringud,,Lihtherpesviiruse1.ja2.tüübivastaneIgGseerumis,RDW%,,4
Histoloogia,,S-Borrel-IgM,Diagnoos 1,,22
Hematoloogilised uuringud,,U-Up-PCR,RDW%,,21
Hematoloogilised uuringud,,4339,PLCR,,1
Hematoloogilised uuringud,,m2/spIgECladosporiumherba,RDW%,,19
Hematoloogilised uuringud,,94,RDW%,,51
Histoloogia,,1844,Diagnoos 1,,55
Hematoloogilised uuringud,,11198,PLCR,,12
Histoloogia,,Cm-Ravimitundlikuse_määramine,Lokatsioon,,3
Histoloogia,,668,Arhiivi number,,4
Histoloogia,,1399,Arhiivi number,,9
Hematoloogilised uuringud,,1799,PLCR,,98
Hematoloogilised uuringud,,2333,RDW%,,28
Hematoloogilised uuringud,,S-Bil(bilirubiin),PLCR,,3750
Histoloogia,,665,Diagnoos 1,,5
Hematoloogilised uuringud,,S-inhal.IgE,RDW%,,200
Hematoloogilised uuringud,,S-Fol,RDW%,,289
Histoloogia,,Va-Uu-PCR,Diagnoos 1,,2
Hematoloogilised uuringud,,CSF-WBC,PLCR,,170
Hematoloogilised uuringud,,11063,RDW%,,39
Hematoloogilised uuringud,,P-vWF:Ac,RDW%,,1
Hematoloogilised uuringud,,383,PLCR,,51
Histoloogia,,144386,Lokatsioon,,2
Hematoloogilised uuringud,,S-i211spIgEherilasemürgikomponendirVesv1fosfolipaa,RDW%,,3
Histoloogia,,S2-Alb,Arhiivi number,,17
Histoloogia,,7677,Lokatsioon,,1
Hematoloogilised uuringud,,e3/spIgEhobusesuhtes,RDW%,,10
Histoloogia,,62536,Arhiivi number,,2
Hematoloogilised uuringud,,10695,PLCR,,28
Histoloogia,,Trichomonas_vaginalis,Lokatsioon,,29
Hematoloogilised uuringud,,70409,PLCR,,3
Histoloogia,,3511,Arhiivi number,,2
Histoloogia,,3896,Diagnoos 1,,35
Hematoloogilised uuringud,,Mo-HSV12-PCR,PLCR,,2
Hematoloogilised uuringud,,2236,RDW%,,44
Histoloogia,,CK-MBm_STAT,Arhiivi number,,30
Histoloogia,,4313,Lokatsioon,,4
Histoloogia,,59922,Diagnoos 1,,2
Hematoloogilised uuringud,,S-Bil-D,RDW%,,7
Histoloogia,,144339,Lokatsioon,,3
Histoloogia,,S-Scl70_IgG,Diagnoos 1,,1
Histoloogia,,S-S-100,Lokatsioon,,3
Hematoloogilised uuringud,,45089,RDW%,,1
Hematoloogilised uuringud,,71424,RDW%,,4
Histoloogia,,28,Kirjeldus,,1596
Hematoloogilised uuringud,,30109,RDW%,,3
Histoloogia,,S-Bil-Cj,Arhiivi number,,505
Hematoloogilised uuringud,,"iCa2+pH7,4",PLCR,,244
Histoloogia,,U-Aer,Lokatsioon,,50
Hematoloogilised uuringud,,147290,PLCR,,2
Histoloogia,,72137,Kirjeldus,,2
Histoloogia,,S-aGAD65G,Lokatsioon,,1
Histoloogia,,58931,Lokatsioon,,1
Hematoloogilised uuringud,,145378,RDW%,,1
Hematoloogilised uuringud,,Trichophytonrubrum,RDW%,,10
Hematoloogilised uuringud,,ViirusmeningiiditekitajatekompleksuuringPCRmeetodilliik,PLCR,,6
Histoloogia,,4663,Kirjeldus,,10
Histoloogia,,Mütseelidvarbaküünest,Diagnoos 1,,30
Histoloogia,,U-HPV-genotüüp-PCR,Arhiivi number,,1
Hematoloogilised uuringud,,Ravimite_kontsentratsiooni_2,RDW%,,2
Histoloogia,,S-Transf,Arhiivi number,,78
Histoloogia,,1296,Arhiivi number,,1
Histoloogia,,P-LTT,Arhiivi number,,120
Histoloogia,,S-aACA,Lokatsioon,,1
Histoloogia,,3364,Kirjeldus,,1
Histoloogia,,Mo-Myc,Kirjeldus,,3
Histoloogia,,S-QFeron,Lokatsioon,,22
Hematoloogilised uuringud,,62,PLCR,,492
Histoloogia,,572,Kirjeldus,,4
Histoloogia,,69475,Diagnoos 1,,30
Histoloogia,,"S-HIV1,2Ag+Ab",Arhiivi number,,147
Histoloogia,,B-CBC-5Diff,Arhiivi number,,147674
Histoloogia,,7785,Kirjeldus,,2
Histoloogia,,MTRMetronidazole,Kirjeldus,,8
Hematoloogilised uuringud,,S-Coxsackie_B_1-6_virus_IgG,RDW%,,1
Hematoloogilised uuringud,,638,RDW%,,108
Histoloogia,,P-Amyl,Diagnoos 1,,92
Histoloogia,,RIFRifampitsiin,Arhiivi number,,3
Hematoloogilised uuringud,,146342,PLCR,,1
Histoloogia,,2204,Kirjeldus,,1
Hematoloogilised uuringud,,2336,PLCR,,28
Hematoloogilised uuringud,,4455,PLCR,,1
Histoloogia,,S-centrAb/TsentromeerivastaneIgGseerumis,Diagnoos 1,,4
Histoloogia,,146066,Kirjeldus,,2
Histoloogia,,2342,Kirjeldus,,28
Hematoloogilised uuringud,,2194,PLCR,,3
Hematoloogilised uuringud,,57772,PLCR,,3
Histoloogia,,108,Diagnoos 1,,3028
Hematoloogilised uuringud,,147196,PLCR,,8
Hematoloogilised uuringud,,7305,PLCR,,1
Hematoloogilised uuringud,,CSF-TBEV_IgM,RDW%,,2
Histoloogia,,2527,Diagnoos 1,,1
Histoloogia,,"CSF-HSV2-IgG,IgM",Kirjeldus,,4
Hematoloogilised uuringud,,10510,RDW%,,273
Hematoloogilised uuringud,,2699,PLCR,,3
Hematoloogilised uuringud,,AstrovirusRNA,RDW%,,1
Histoloogia,,11114,Arhiivi number,,404
Hematoloogilised uuringud,,B1-Vereanalüüs-Sysmex,RDW%,,20
Hematoloogilised uuringud,,S2-IgG,RDW%,,1
Histoloogia,,"B-LeidenV,_PT_G20210A",Lokatsioon,,14
Hematoloogilised uuringud,,10529,PLCR,,2
Hematoloogilised uuringud,,10080,RDW%,,2
Histoloogia,,1623,Lokatsioon,,6
Histoloogia,,f13/spIgEmaapähklisuhtes,Arhiivi number,,15
Histoloogia,,S-Aden_IgA,Arhiivi number,,1
Histoloogia,,S-VALP,Diagnoos 1,,1
Histoloogia,,61168,Kirjeldus,,37
Hematoloogilised uuringud,,43163,RDW%,,2
Hematoloogilised uuringud,,S-E1_IgE,RDW%,,53
Histoloogia,,S-hCGb,Diagnoos 1,,33
Histoloogia,,PlrF-Tbc,Diagnoos 1,,5
Histoloogia,,S-CMV_IgG,Lokatsioon,,33
Histoloogia,,93,Diagnoos 1,,99
Histoloogia,,Angiotensiinikonverteerivens,Arhiivi number,,4
Hematoloogilised uuringud,,S-af12,PLCR,,8
Histoloogia,,Bactecümberkülv,Kirjeldus,,2
Histoloogia,,2839,Kirjeldus,,1
Histoloogia,,43991,Diagnoos 1,,6
Histoloogia,,67520,Arhiivi number,,2
Histoloogia,,58706,Lokatsioon,,1
Histoloogia,,Chol.,Arhiivi number,,111
Histoloogia,,Sk-T-St,Kirjeldus,,103
Hematoloogilised uuringud,,10111,PLCR,,10
Hematoloogilised uuringud,,71585,RDW%,,30
Hematoloogilised uuringud,,S-aMypnM,RDW%,,149
Histoloogia,,S-Prog,Arhiivi number,,216
Histoloogia,,S-fK/S-fL(KappajaLambdavabadekergahelatesuhe),Kirjeldus,,74
Hematoloogilised uuringud,,DNA_analüüs_PCR-meetodil,PLCR,,43
Histoloogia,,Cx-U_urealyticum_DNA,Diagnoos 1,,7
Histoloogia,,Bx-Hpy-Bsk,Arhiivi number,,2
Histoloogia,,802,Arhiivi number,,1
Histoloogia,,1975,Diagnoos 1,,2
Histoloogia,,S-LDL,Diagnoos 1,,2276
Histoloogia,,41477,Kirjeldus,,1
Histoloogia,,S-ARAIgA/RetikuliinivastaneIgAseerumis,Kirjeldus,,1
Histoloogia,,40492,Lokatsioon,,1
Histoloogia,,"iCa2+pH7,4",Arhiivi number,,244
Histoloogia,,S-SSA/Ro_IgG,Diagnoos 1,,1
Histoloogia,,CSF-Xan,Diagnoos 1,,11
Histoloogia,,3327,Lokatsioon,,1
Hematoloogilised uuringud,,"B-,_sobitamised",PLCR,,16
Hematoloogilised uuringud,,11127,PLCR,,7
Histoloogia,,Um-_Ctr-PCR,Lokatsioon,,1
Histoloogia,,ex73/spIgEsulgedesegusuh,Lokatsioon,,44
Histoloogia,,144317,Diagnoos 1,,102
Hematoloogilised uuringud,,245,PLCR,,3
Hematoloogilised uuringud,,1742,PLCR,,1
Hematoloogilised uuringud,,41475,RDW%,,1
Histoloogia,,S-Carba(karbamasepiin),Arhiivi number,,36
Hematoloogilised uuringud,,41394,RDW%,,1
Histoloogia,,Ureaplasmaurealyticum(PCR),Lokatsioon,,13
Histoloogia,,Varicella-ZostervirusDNA,Lokatsioon,,6
Histoloogia,,1362,Arhiivi number,,1
Hematoloogilised uuringud,,144518,PLCR,,4
Histoloogia,,"S,P-NT--proBNP",Lokatsioon,,80
Hematoloogilised uuringud,,71428,PLCR,,94
Histoloogia,,Pliiveres,Kirjeldus,,2
Hematoloogilised uuringud,,45115,PLCR,,3
Histoloogia,,"puudI(sarapuu,kask,lepp)",Kirjeldus,,5
Histoloogia,,U-Isoprisopropanooluriinis,Arhiivi number,,1
Histoloogia,,ASPI-Trombots.agregatsioonarahhidoonhappetoimel,Diagnoos 1,,15
Histoloogia,,11529,Lokatsioon,,15
Hematoloogilised uuringud,,4877,RDW%,,7
Hematoloogilised uuringud,,164,PLCR,,9
Histoloogia,,427,Kirjeldus,,1
Histoloogia,,289,Lokatsioon,,1
Histoloogia,,66735,Kirjeldus,,1
Histoloogia,,328,Kirjeldus,,2
Hematoloogilised uuringud,,Verevarustusetüüp,PLCR,,1
Histoloogia,,10678,Diagnoos 1,,1
Hematoloogilised uuringud,,WBC,RDW%,,6965
Histoloogia,,Epstein-BarrviirusekapsiidiantigvastIgMseerumis,Lokatsioon,,18
Histoloogia,,ChlamydophilapmeumoniaeDNA,Diagnoos 1,,2
Histoloogia,,B-Hemo,Diagnoos 1,,3212
Hematoloogilised uuringud,,41384,PLCR,,6
Histoloogia,,Mütseelidvarbaküünest,Arhiivi number,,30
Histoloogia,,EtOHEtanool,Arhiivi number,,56
Hematoloogilised uuringud,,41195,PLCR,,1
Histoloogia,,1593,Arhiivi number,,10
Histoloogia,,S-T_gondii_IgA,Arhiivi number,,6
Histoloogia,,"fS,fP-CT",Lokatsioon,,2
Histoloogia,,11218,Lokatsioon,,13
Histoloogia,,S-TrplgM-IgM,Diagnoos 1,,1
Histoloogia,,45120,Arhiivi number,,2
Histoloogia,,U-sedim-suprav,Arhiivi number,,752
Hematoloogilised uuringud,,d73/spIgEGlycophagusdom,RDW%,,5
Histoloogia,,P-FVIII:C,Kirjeldus,,1
Hematoloogilised uuringud,,"cBase(B,ox)",PLCR,,4
Histoloogia,,69547,Lokatsioon,,31
Histoloogia,,1167,Arhiivi number,,76
Histoloogia,,10300,Kirjeldus,,465
Histoloogia,,62243,Arhiivi number,,4
Histoloogia,,40162,Arhiivi number,,18
Histoloogia,,134,Diagnoos 1,,84
Histoloogia,,638,Lokatsioon,,108
Histoloogia,,1335,Lokatsioon,,1
Histoloogia,,EPO/erütropoetiin,Lokatsioon,,27
Histoloogia,,3360,Lokatsioon,,2
Hematoloogilised uuringud,,390,PLCR,,26
Histoloogia,,PF-WBC,Kirjeldus,,22
Histoloogia,,3471,Arhiivi number,,1
Hematoloogilised uuringud,,histamiin,PLCR,,12
Histoloogia,,dU-PorfPorfüriinid(uro-jakoproporfüriinid)ööpäevases,Diagnoos 1,,1
Hematoloogilised uuringud,,U-Candida_albicans,PLCR,,1
Histoloogia,,10529,Arhiivi number,,2
Histoloogia,,2369,Lokatsioon,,104
Histoloogia,,S1-Mypn_Ak,Lokatsioon,,1
Hematoloogilised uuringud,,S2-i1_IgE,RDW%,,1
Histoloogia,,579,Kirjeldus,,6
Hematoloogilised uuringud,,3361,RDW%,,1
Histoloogia,,B-AB0_ctrl,Diagnoos 1,,42
Histoloogia,,P4-CA125,Diagnoos 1,,1
Histoloogia,,S2-Fol,Lokatsioon,,1
Hematoloogilised uuringud,,Anti-EBVEAIgG,PLCR,,3
Histoloogia,,IG%-Ebaküps.granulotsüütide%,Diagnoos 1,,6022
Histoloogia,,10005,Diagnoos 1,,16
Histoloogia,,AdenovirusDNA,Diagnoos 1,,1
Hematoloogilised uuringud,,4361,RDW%,,6
Histoloogia,,582,Arhiivi number,,288
Hematoloogilised uuringud,,7790,RDW%,,1
Hematoloogilised uuringud,,CSF-aHSV1M,RDW%,,2
Histoloogia,,11057,Lokatsioon,,40
Histoloogia,,1473,Kirjeldus,,1
Histoloogia,,3434,Kirjeldus,,1
Hematoloogilised uuringud,,10326,PLCR,,39
Histoloogia,,KOH-m,Lokatsioon,,21
Histoloogia,,2387,Diagnoos 1,,1
Histoloogia,,167,Diagnoos 1,,9
Hematoloogilised uuringud,,Mycoplasma_genitalum,RDW%,,37
Histoloogia,,1279,Kirjeldus,,4
Hematoloogilised uuringud,,44327,PLCR,,1
Histoloogia,,11122,Arhiivi number,,398
Hematoloogilised uuringud,,145761,PLCR,,1
Histoloogia,,41161,Lokatsioon,,12
Histoloogia,,P-Tropon_I,Lokatsioon,,95
Histoloogia,,Bikarbonaat,Kirjeldus,,180
Histoloogia,,Crea,Kirjeldus,,313
Hematoloogilised uuringud,,503,RDW%,,6
Histoloogia,,2485,Diagnoos 1,,19
Histoloogia,,S2-tp1_IgE,Kirjeldus,,22
Hematoloogilised uuringud,,2118,PLCR,,40
Histoloogia,,PlrF-Cholpleuravedelikus,Lokatsioon,,1
Histoloogia,,P-GTT-0,Diagnoos 1,,19
Histoloogia,,U-BilBilirubiin,Kirjeldus,,1484
Hematoloogilised uuringud,,fS-C-pept,RDW%,,26
Histoloogia,,504,Arhiivi number,,22
Histoloogia,,Eo-Myc,Arhiivi number,,15
Histoloogia,,137,Kirjeldus,,36
Histoloogia,,"S,P-CK",Arhiivi number,,16
Histoloogia,,2328,Lokatsioon,,28
Histoloogia,,S-f49_IgE,Lokatsioon,,39
Histoloogia,,3346,Kirjeldus,,1
Histoloogia,,63487,Diagnoos 1,,21
Histoloogia,,2526,Diagnoos 1,,1
Hematoloogilised uuringud,,P-PS,RDW%,,11
Hematoloogilised uuringud,,70,RDW%,,335
Hematoloogilised uuringud,,146228,PLCR,,2
Hematoloogilised uuringud,,Cm-Samastamine,RDW%,,2
Hematoloogilised uuringud,,7280,PLCR,,2
Hematoloogilised uuringud,,1840,PLCR,,58
Histoloogia,,LYM#(lümfotsüütidearv),Lokatsioon,,1182
Hematoloogilised uuringud,,11200,PLCR,,8
Hematoloogilised uuringud,,147287,RDW%,,11
Histoloogia,,Rakkudediferentsneutrofiilid,Diagnoos 1,,5
Hematoloogilised uuringud,,147288,RDW%,,10
Histoloogia,,Karboksühemoglobiin,Lokatsioon,,159
Hematoloogilised uuringud,,3041,RDW%,,52
Histoloogia,,1980,Lokatsioon,,5
Hematoloogilised uuringud,,Bakterid,PLCR,,523
Hematoloogilised uuringud,,B-HCV_genot,RDW%,,1
Histoloogia,,S-MeOHmetanoolveres,Kirjeldus,,1
Hematoloogilised uuringud,,10454,RDW%,,70
Histoloogia,,11949,Arhiivi number,,2
Histoloogia,,7333,Diagnoos 1,,1
Histoloogia,,S2-Crea,Arhiivi number,,161
Histoloogia,,11185,Arhiivi number,,15
Hematoloogilised uuringud,,JAK-2V617Fmutatsioon,RDW%,,5
Hematoloogilised uuringud,,695,PLCR,,436
Hematoloogilised uuringud,,147101,RDW%,,5
Hematoloogilised uuringud,,2157,PLCR,,1
Hematoloogilised uuringud,,Sp-Tbc-Sens-2,RDW%,,5
Histoloogia,,TsüklilisetsitrulleeritudpeptiidivastIgGseerumis,Diagnoos 1,,51
Hematoloogilised uuringud,,67583,RDW%,,2
Hematoloogilised uuringud,,SynF-RBC,PLCR,,2
Histoloogia,,1782,Lokatsioon,,7
Histoloogia,,2195,Lokatsioon,,9
Histoloogia,,Fol/Foolhape,Arhiivi number,,928
Hematoloogilised uuringud,,S-tp5_IgE,PLCR,,15
Hematoloogilised uuringud,,3465,PLCR,,2
Hematoloogilised uuringud,,U-S-Crea-Cmõõdetav(kretiniinikliirens),PLCR,,13
Hematoloogilised uuringud,,65103,PLCR,,1
Histoloogia,,S-B_pertussis_IgG,Kirjeldus,,11
Hematoloogilised uuringud,,S2-ip8_IgE,RDW%,,45
Histoloogia,,S-INS,Kirjeldus,,2
Histoloogia,,58178,Diagnoos 1,,1
Histoloogia,,CandidaalbicansDNART-PCRmeetodiltäisverest,Lokatsioon,,2
Hematoloogilised uuringud,,1462,RDW%,,49
Histoloogia,,S-aCtr-A,Kirjeldus,,1
Histoloogia,,146064,Kirjeldus,,2
Hematoloogilised uuringud,,VitB12/kobalamiin,PLCR,,950
Histoloogia,,7333,Kirjeldus,,1
Histoloogia,,S2-CK,Diagnoos 1,,290
Histoloogia,,PlrF-Makrofaagid,Diagnoos 1,,4
Histoloogia,,S2-T.p_IgG+IgM,Lokatsioon,,3
Histoloogia,,_Liikvori_(seljaajuvedeliku)makr,Lokatsioon,,10
Hematoloogilised uuringud,,4866,PLCR,,3
Histoloogia,,30340,Diagnoos 1,,10
Histoloogia,,S-Chol,Kirjeldus,,4227
Histoloogia,,F-Hb,Kirjeldus,,101
Histoloogia,,S-f78_IgE,Kirjeldus,,25
Hematoloogilised uuringud,,11993,PLCR,,2
Histoloogia,,S2-PSA,Lokatsioon,,7
Hematoloogilised uuringud,,10082,RDW%,,1
Histoloogia,,502,Arhiivi number,,431
Histoloogia,,1078,Diagnoos 1,,4
Histoloogia,,67326,Arhiivi number,,1
Histoloogia,,AntigeenamphiphysinvastaneIgGseerumist/Neuronaalsedau,Kirjeldus,,3
Histoloogia,,S2-IgE-FP2,Kirjeldus,,8
Histoloogia,,PapilloomviirusDNA(66608),Lokatsioon,,48
Histoloogia,,ImmuunglobuliinGindeks,Lokatsioon,,1
Histoloogia,,30112,Lokatsioon,,3
Histoloogia,,F-Rota-PCR,Lokatsioon,,1
Histoloogia,,S-21OH_IgG,Kirjeldus,,1
Histoloogia,,147075,Diagnoos 1,,1
Hematoloogilised uuringud,,S1-IgA_Tr.glut.,PLCR,,1
Histoloogia,,U-MOPopiaadiduriinis,Diagnoos 1,,13
Histoloogia,,147170,Kirjeldus,,5
Hematoloogilised uuringud,,MycoplasmahominisDNAemakakaelakanalikaapest,RDW%,,85
Histoloogia,,S-HAVIgM/A-hepatiidiviirusevastaneIgMseerumis,Lokatsioon,,26
Histoloogia,,Erütrotsüütidesferotsütoos,Kirjeldus,,5
Histoloogia,,2187,Arhiivi number,,241
Histoloogia,,569,Lokatsioon,,25
Hematoloogilised uuringud,,8088,RDW%,,1
Histoloogia,,41552,Kirjeldus,,34
Histoloogia,,4600,Lokatsioon,,15
Histoloogia,,144303,Arhiivi number,,2
Hematoloogilised uuringud,,S-aBope-A,PLCR,,2
Histoloogia,,1192,Kirjeldus,,171
Hematoloogilised uuringud,,Tritsükloantidepressandidur.,RDW%,,3
Histoloogia,,11917,Diagnoos 1,,1
Histoloogia,,d72/spIgETyrophagusputr,Diagnoos 1,,5
Histoloogia,,11062,Arhiivi number,,55
Histoloogia,,w20/spIgEkõrvenõgesesuht,Diagnoos 1,,3
Hematoloogilised uuringud,,44326,PLCR,,1
Hematoloogilised uuringud,,Pst-Aer,RDW%,,2
Hematoloogilised uuringud,,318,RDW%,,2
Histoloogia,,41461,Kirjeldus,,4
Histoloogia,,4284,Kirjeldus,,1
Hematoloogilised uuringud,,147295,RDW%,,1
Hematoloogilised uuringud,,U-Albumiin,RDW%,,1
Histoloogia,,1980,Diagnoos 1,,5
Histoloogia,,Bioloogilisemataeroobnekülv,Kirjeldus,,5
Hematoloogilised uuringud,,Bx-Histo,PLCR,,96
Histoloogia,,71149,Kirjeldus,,1
Hematoloogilised uuringud,,30121,RDW%,,9
Histoloogia,,f55/spIgEhirsisuhtes,Lokatsioon,,2
Hematoloogilised uuringud,,PrcF-WBC,PLCR,,1
Histoloogia,,P-ASAT,Arhiivi number,,109
Histoloogia,,B1-HLAB27,Kirjeldus,,5
Hematoloogilised uuringud,,S-Lepto,PLCR,,3
Histoloogia,,30225,Diagnoos 1,,5
Hematoloogilised uuringud,,44694,PLCR,,2
Hematoloogilised uuringud,,621,RDW%,,4305
Hematoloogilised uuringud,,3527,RDW%,,2
Histoloogia,,w20/spIgEkõrvenõgesesuht,Kirjeldus,,3
Hematoloogilised uuringud,,3622,RDW%,,7
Histoloogia,,144648,Lokatsioon,,3
Histoloogia,,dU-gam-glGammaglobuliiniduriinis,Arhiivi number,,6
Histoloogia,,S-aNA-HEp-2,Kirjeldus,,3
Hematoloogilised uuringud,,Ns-Inf_A/B_rt-PCR,RDW%,,2
Histoloogia,,S-ep1_IgE,Kirjeldus,,39
Histoloogia,,58685,Arhiivi number,,1
Histoloogia,,S-Urea_,Kirjeldus,,9
Histoloogia,,146221,Arhiivi number,,17
Histoloogia,,125,Lokatsioon,,46
Histoloogia,,71896,Arhiivi number,,31
Histoloogia,,136,Arhiivi number,,36
Histoloogia,,71435,Diagnoos 1,,1
Histoloogia,,58720,Arhiivi number,,1
Histoloogia,,S-Hanta,Kirjeldus,,9
Histoloogia,,F-Salm,Kirjeldus,,3
Hematoloogilised uuringud,,10249,PLCR,,15
Histoloogia,,30080,Diagnoos 1,,1
Hematoloogilised uuringud,,s-Bil,PLCR,,1
Histoloogia,,70877,Diagnoos 1,,145
Histoloogia,,Vähegranuleeritudneutrofiilid,Lokatsioon,,4
Histoloogia,,S-InfB_IgA,Diagnoos 1,,1
Hematoloogilised uuringud,,S-ENA-paneel,RDW%,,24
Histoloogia,,30315,Arhiivi number,,5
Histoloogia,,S2-aTrepM-Blot,Diagnoos 1,,8
Histoloogia,,66124,Diagnoos 1,,1
Hematoloogilised uuringud,,S-IgE,PLCR,,507
Histoloogia,,1003,Diagnoos 1,,1636
Histoloogia,,45022,Lokatsioon,,2
Histoloogia,,144319,Lokatsioon,,26
Histoloogia,,S-IgA,Kirjeldus,,312
Histoloogia,,B-gly,Arhiivi number,,15
Histoloogia,,P-Fibr-Fibrinogeen,Kirjeldus,,73
Histoloogia,,144442,Arhiivi number,,101
Histoloogia,,550,Lokatsioon,,56
Hematoloogilised uuringud,,12441,RDW%,,3
Histoloogia,,572,Diagnoos 1,,4
Histoloogia,,147099,Arhiivi number,,13
Histoloogia,,S-f78_IgE,Arhiivi number,,25
Histoloogia,,U-PCPfentsüklidiinuriinis,Kirjeldus,,10
Histoloogia,,5624,Kirjeldus,,5
Histoloogia,,65045,Lokatsioon,,39
