dirty_code,loinc_code(T-luhend)
"s,p-K 10(Kaalium)","S,P-K"
"s,p-K 11(Kaalium)","S,P-K"
"s,p-K 1(Kaalium)","S,P-K"
"s,p-K 2(Kaalium)","S,P-K"
"s,p-K 3(Kaalium)","S,P-K"
"s,p-K 4(Kaalium)","S,P-K"
"s,p-K 7(Kaalium)","S,P-K"
"s,p-K 8(Kaalium)","S,P-K"
"s,p-K 9(Kaalium)","S,P-K"
"s,p-(Kaalium)","S,P-K"
"s,p-K(Kaalium)","S,P-K"
"s,p-K(kaalium)","S,P-K"
"s,p-K(Kaalium seerumis)","S,P-K"
"s,p-LDH(Laktaadi dehudrogenaas )","S,P-LDH"
"s,p-LDH(laktaadidehudrogenaas)","S,P-LDH"
"s,p-LDH(Laktaadi dehudrogenaas seerumis)","S,P-LDH"
"s,p-LD(Laktaadi dehudrogenaas )","S,P-LDH"
"s,p-LD(Laktaadi dehudrogenaas seerumis)","S,P-LDL-Chol"
"s,p-LH(Luteiniseeriv hormoon)","S,P-LH"
"s,p-Li(3. Liitium seerumis)","S,P-Li"
"s,p-Li(liitium)","S,P-Li"
"s,p-Li(Lipaas)","S,P-Li"
"s,p-Lip(Lipaas)","S,P-Lip"
"s,p-Lip(lipaas)","S,P-Lip"
"s,p-Lip( Q)","S,P-Lip"
"s,p-L(Luteiniseeriv hormoon)","S,P-LH"
"s,p-Lp(a)(lipoproteiina)","S,P-Lp(a)"
"s,p-Mg(Magneesium)","S,P-Mg"
"s,p-Mg(magneesium)","S,P-Mg"
"s,p-Mg(Magneesium seerumis)","S,P-Mg"
"s,p-M(Magneesium)","S,P-Mg"
"s,p-Myogl(Muoglobiin)","S,P-Myogl"
"s,p-Myogl(muoglobiin)","S,P-Myogl"
"s,p-Myog(Muoglobiin)","S,P-Myogl"
"s,p-Na 10(Naatrium)","S,P-Na"
"s,p-Na 11(Naatrium)","S,P-Na"
"s,p-Na 1(Naatrium)","S,P-Na"
"s,p-Na 2(Naatrium)","S,P-Na"
"s,p-Na 3(Naatrium)","S,P-Na"
"s,p-Na 4(Naatrium)","S,P-Na"
"s,p-Na 7(Naatrium)","S,P-Na"
"s,p-Na 8(Naatrium)","S,P-Na"
"s,p-Na 9(Naatrium)","S,P-Na"
"s,p-Na(Naatrium)","S,P-Na"
"s,p-Na(naatrium)","S,P-Na"
"s,p-Na( Naatrium seerumis)","S,P-Na"
"s,p-Na(Naatrium seerumis)","S,P-Na"
"s,p-N(Naatrium)","S,P-Na"
"s,p-Osteoca(osteokaltsiin)","S,P-Osteoca"
"s,p-PAPP-A(Rasedusega seotud plasma protein A)","S,P-PAPP-A"
"s,p-Paracet(paratsetamool)","S,P-Paracet"
"s,p- PC(Prokaltsitoniin)","S,P-PCT"
"s,p-PC(Prokaltsitoniin)","S,P-PCT"
"s,p- PCT(Prokaltsitoniin)","S,P-PCT"
"s,p-PCT(Prokaltsitoniin)","S,P-PCT"
"s,p-PCT(prokaltsitoniin)","S,P-PCT"
"s,p-P(Fosfaat)","S,P-P"
"s,p-P(fosfaat)","S,P-P"
"s,p-P(Fosfaat seerumis)","S,P-P"
"s,p-Progesteroon(Progesteroon)","S,P-Prog"
"s,p-Prog(Progesteroon)","S,P-Prog"
"s,p-Prolaktiin(Prolaktiin)","S,P-Prol"
"s,p-Prol(Prolaktiin)","S,P-Prol"
"s,p-Pro(Progesteroon)","S,P-Prog"
"s,p-Pro(Prolaktiin)","S,P-Prol"
"s,p-Prot(???ldvalk)","S,P-Prot"
"s,p-Prot(Uldvalk)","S,P-Prot"
"s,p-Prot(valk)","S,P-Prot"
"s,p-PSA(Prostataspetsiifiline antigeen)","S,P-PSA"
"s,p-PS(Prostataspetsiifiline antigeen)","S,P-PSA"
"s,p-PTH( Parathormoon)","S,P-PTH"
"s,p-PTH(Parathormoon)","S,P-PTH"
"s,p-PT( Parathormoon)","S,P-PTH"
"s,p-PT(Parathormoon)","S,P-PTH"
S-PR-3Ab,S-PR3 IgG
"s,p-RF(Reumatoidfaktor)","S,P-RF"
"s,p-RF(reumatoidfaktor)","S,P-RF"
S-Prl,"S,P-Prol"
S-Prog,"S,P-Prog"
S-Prokaltsitoniin,"S,P-PCT"
S-Prol,"S,P-Prol"
S-Prol ,"S,P-Prol"
S-Prot,"S,P-Prot"
S-Prot-Fr,S-Prot-Fr
"s,p-R(Reumatoidfaktor)","S,P-RF"
S-PSA,"S,P-PSA"
"s,p-Salic(salitsulaadid)","S,P-Salic"
"s,p-SHBG(1. Suguhormoone siduv globuliin)","S,P-SHBG"
"s,p-SHBG(Suguhormoone siduv globuliin)","S,P-SHBG"
"s,p-SHBG(Suguhormoone siduv globuliin VANA)","S,P-SHBG"
"s,p-SHB(Suguhormoone siduv globuliin)","S,P-SHBG"
"s,p-Testosteroon(Testosteroon)","S,P-Testo"
"s,p-Testo(Testosteroon)","S,P-Testo"
"s,p-Test(Testosteroon)","S,P-Testo"
"s,p-TG(Tureoglobuliin)","S,P-TG"
S-PTH,"S,P-PTH"
"s,p-Theoph(teofulliin)","S,P-Theoph"
"s,p-TnI(Troponiin I)","S,P-cTnI"
"s,p-Tn(Troponiin I)","S,P-cTnI"
"s,p-TPO IgG(Tureoidperoksudaasi vastane IgG)","S,P-TPO IgG"
"s,p-TPO Ig(Tureoidperoksudaasi vastane IgG)","S,P-TPO IgG"
"s,p-Transf-sR(Transferriini lahustuvad retseptorid)","S,P-Transf-sR"
"s,p-Transf-sR(transferriinilahustuvadretseptorid)","S,P-Transf-sR"
"s,p-Transf(Transferriin)","S,P-Transf"
"s,p-Transf(transferriin)","S,P-Transf"
"s,p-Transf(Transferriin seerumis)","S,P-Transf"
"s,p-Trans(Transferriin)","S,P-Transf"
"s,p-Trigl(Triglutseriidid)","fS,fP-Trigl"
"s,p-Trigl(triglutseriidid)","fS,fP-Trigl"
"s,p-Trig(Triglutseriidid)","fS,fP-Trigl"
"s,p-TSH(Tureotropiin ehk kilpnaaret stimuleeriv hormoon)","S,P-TSH"
"s,p-T(Tureoglobuliin)","S,P-TG"
"s,p-UA(Kusihape)","S,P-UA"
"s,p-UA(kusihape)","S,P-UA"
"s,p-UA(Kusihape seerumis)","S,P-UA"
"s,p-U(Kusihape)","S,P-UA"
"s,p-Urea 1(Uurea)","S,P-Urea"
"s,p-Urea 2(Uurea)","S,P-Urea"
"s,p-Urea 3(Uurea)","S,P-Urea"
"s,p-Urea 4(Uurea)","S,P-Urea"
"s,p-Urea 6(Uurea)","S,P-Urea"
"s,p-Urea(Uurea)","S,P-Urea"
"s,p-Urea(uurea)","S,P-Urea"
"s,p-Urea(Uurea seerumis)","S,P-Urea"
"s,p-Ure(Uurea)","S,P-Urea"
"s,p-Valpr(valproaat)","S,P-Valpr"
"s,p-VitD3(25-OH)(VitamiinD,25-hudroksu)","S,P-Vit D3 (25-OH)"
"s,p-Yers03(IgG)","S,P-IgG"
"s,p-Yers09(IGA)","S,P-IgA"
S-RF,"S,P-RF"
S-Rf,"S,P-RF"
S-RPR,S-RPR
S-RubellavirusIgG,S-Rubella virus IgG
S-RubellavirusIgM,S-Rubella virus IgM
S-SHBG,"S,P-SHBG"
S-SHBG ,"S,P-SHBG"
S-SMAIgGtitr,S-SMA IgG titr
S-sTransf,"S,P-sTransf"
S-sTrf-r,"S,P-Transf-sR"
S-Zn,S-Zn
S-Zn (Q),S-Zn
S-t14IgE,S-t14 IgE
S-t16IgE,S-t16 IgE
S-t2IgE,S-t2 IgE
S-T3,"S,P-T3"
S-t3IgE,S-t3 IgE
S-T4,"S,P-T4"
S-t4IgE,S-t4 IgE
S-t7IgE,S-t7 IgE
S-TBA,S-TBA
S-TBEVIgG,S-TBEV IgG
S-TBEVIgM,S-TBEV IgM
S-Testo,"S,P-Testo"
S-testo,"S,P-Testo"
S-TG,"S,P-TG"
S-TG ,"S,P-TG"
S-TGIgG,S-TG IgG
S-TgondiiIgA,S-T gondii IgA
S-TgondiiIgG,S-T gondii IgG
S-T.gondiiIgG,S-T gondii IgG
S-TgondiiIgGavd,S-T gondii IgG avd
S-TgondiiIgM,S-T gondii IgM
S-T.gondiiIgM,S-T gondii IgM
S-TpallidumAb,S-T pallidum Ab
S-TpallidumIgG,S-T pallidum IgG
S-TpallidumIgM,S-T pallidum IgM
S-TPOIgG,"S,P-TPO IgG"
S-TPO IgG,"S,P-TPO IgG"
S-Transf,"S,P-Transf"
S-Transf-sR,"S,P-Transf-sR"
S-Trf,"S,P-Transf"
S-TrfS,"S,P-Transf"
S-TRIgG,S-TR IgG
S--TRIgG,S-TR IgG
S-Trigl,"fS,fP-Trigl"
S-TSH,"S,P-TSH"
S-TSH ,"S,P-TSH"
S-tTGIgA,S-tTG IgA
S-UA,"S,P-UA"
S-Urea,"S,P-Urea"
S-Urea ,"S,P-Urea"
S-w6IgE,S-w6 IgE
S-w7IgE,S-w7 IgE
S-w8IgE,S-w8 IgE
S-Valpr,"S,P-Valpr"
S-VitB12,"S,P-Vit B12"
S-VitD(25-OH),"S,P-Vit D (25-OH)"
S-VitD3(25-OH),"S,P-Vit D3 (25-OH)"
S-VZVIgG,S-VZV IgG
S-VZVIgM,S-VZV IgM
Trombotsuutideagregaadid,B-Trombotsuutide agregaadid
Trombotsuutideanisotsutoos,B-Trombotsuutide anisotsutoos
Trombotsuutidemakrotsutoos,B-Trombotsuutide makrotsutoos
WBC,B-WBC
